"","feature","rho","p.value"
"1","GC_percentage",-0.0927361539114853,0
"2","lowComplexity_density",-0.00804066349282605,1
"3","CpG",-0.00659018017306779,1
"4","GA",0.0117109653711401,0.50743210115556
"5","GT",0.00147751955559349,1
"6","TA",0.0593076506999985,0
"7","T",0.0464080965591719,7.22613968662245e-10
"8","C",-0.0502035526254566,2.03148609045911e-11
"9","G",-0.0508069500482742,1.24150689728708e-11
"10","phyloP_max_241w",-0.00396364775190462,1
"11","phyloP_max_100w",0.00546220457753975,1
"12","GERP_91_mammals_max",0.0121134874835852,0.50743210115556
"13","GERP_63_amniotes_max",-0.0110468746011366,0.882654384741546
"14","RPKM_tissue",0.0401118925672785,1.33188953712103e-07
"15","RPKM_primary.cell",-0.0513459941124009,8.0792515534865e-12
"16","H3K9ac_MaxScaledSignal",-0.0777792212722775,0
"17","H3K79me2_MaxScaledSignal",-0.0200745228034268,0.0277710702755525
"18","H3K79me1_MaxScaledSignal",-0.0516171288122548,7.12763181809350e-12
"19","chrm_acc_MaxScaledSignal",-0.0561159965974819,8.49320613838245e-14
"20","methylome",-0.0430150708369272,1.26250343512879e-08
"21","repeat_distance",0.00973690139380482,0.777418682056099
"22","copy_number",-0.0248786570745648,0.00320902219371025
"23","coding_potential",0.00211934412602944,1
"24","fickett",0.00280405113407928,1
"25","Max_covariance",0.0230110518778626,0.00991710578144822
"26","MFE",0.0445222384791623,3.64755861878311e-09
"27","MaxEnt_splicing",0.00170855141714148,1
"28","Interaction_ave",0.05376192749465,8.91287044169076e-13
"29","SNP_density",-0.00998303822338299,0.776272799433095
"30","MAF_avg",0.00447310321767159,1
