"","feature","rho","p.value"
"1","GC_percentage",-0.11063325281055,0
"2","lowComplexity_density",-0.0123481156593588,0.357080655961732
"3","CpG",-0.0257980043335932,0.00182117946362999
"4","GA",0.0238178026769599,0.00475152833365522
"5","GT",0.00176944853048448,1
"6","TA",0.0421404220452739,3.17984296037212e-08
"7","T",0.0458267236660319,1.52651224993861e-09
"8","C",-0.0555229241256537,1.15907283770866e-13
"9","G",-0.0581552305106968,7.49400541621981e-15
"10","phyloP_max_241w",-0.0175961870005232,0.0712150269186015
"11","phyloP_max_100w",-0.0124981991315173,0.357080655961732
"12","GERP_91_mammals_max",0.00246743321646416,1
"13","GERP_63_amniotes_max",-0.0376971359192399,3.48333809183643e-05
"14","RPKM_tissue",-0.0686709745918427,0
"15","RPKM_primary.cell",-0.174770049861436,0
"16","H3K9ac_MaxScaledSignal",-0.125023186002336,0
"17","H3K79me2_MaxScaledSignal",-0.0778083769982076,0
"18","H3K79me1_MaxScaledSignal",-0.0905339445431575,0
"19","chrm_acc_MaxScaledSignal",-0.0984103691240465,0
"20","methylome",-0.0548882178648578,2.07107058775529e-13
"21","repeat_distance",-0.00581904299615365,1
"22","copy_number",0.0150896042544736,0.164388910837351
"23","coding_potential",0.00587642261834833,1
"24","fickett",0.00911887783893154,0.740959871599747
"25","Max_covariance",0.0109186672854734,0.50921408737544
"26","MFE",0.0578134904218717,8.88178419700125e-15
"27","MaxEnt_splicing",0.0038478900068574,1
"28","Interaction_ave",0.0427739014932302,2.01003490774864e-08
"29","SNP_density",-0.0121879399391093,0.360006382143776
"30","MAF_avg",0.0282255469372118,0.000535086334547269
