"","feature","rho","p.value"
"1","GC_percentage",-0.104285501834218,0
"2","lowComplexity_density",-0.0169327631537888,0.400879963736553
"3","CpG",-0.0859275445083725,0
"4","GA",-0.0162355306137483,0.439350856358559
"5","GT",0.012669711792783,0.723403855270664
"6","TA",0.0279103795147431,0.0281917726481451
"7","T",0.0579006130703089,6.31932598557009e-08
"8","C",-0.0757612702577322,4.36014860580061e-13
"9","G",-0.0895816484560533,0
"10","phyloP_max_241w",-0.00976478169393934,1
"11","phyloP_max_100w",0.0158341510063898,0.449595828431061
"12","GERP_91_mammals_max",0.0360998587346767,0.00374755322303884
"13","GERP_63_amniotes_max",-0.0227726585687571,0.293844524759799
"14","RPKM_tissue",-0.1140528963261,0
"15","RPKM_primary.cell",-0.276323875388405,0
"16","H3K9ac_MaxScaledSignal",-0.118729938757328,0
"17","H3K79me2_MaxScaledSignal",-0.0936675133869119,0
"18","H3K79me1_MaxScaledSignal",-0.066808835825169,2.49337217539392e-10
"19","chrm_acc_MaxScaledSignal",-0.114466036269011,0
"20","methylome",-0.0931975464051449,0
"21","repeat_distance",0.0118560623117536,0.799081021834662
"22","copy_number",-0.0157087864224498,0.449595828431061
"23","coding_potential",0.0138341384643902,0.618378939580956
"24","fickett",-0.00588749339906453,1
"25","Max_covariance",0.036523508609521,0.00203872563440607
"26","MFE",0.0778076931618353,9.99200722162641e-14
"27","MaxEnt_splicing",-0.00694917027162967,1
"28","Interaction_ave",0.0515641671808658,2.00143789256099e-06
"29","SNP_density",-0.0269366433678582,0.0379798445128088
"30","MAF_avg",0.0440183374788718,8.78789083156306e-05
