H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00406,7.38702,1.00406,64.6809,11.19455,8.74914,61.5224,12.31792,10.4471,65.2019,12.67005,9.2435,0,0,0,67.8875,12.44877,9.65278,0,0,0,126.133,21.17236,14.9082,0,0,0,0,0,0,0,0,0,3.02024,4.89366,1.92421,0,0,0,0,0,0,168.343,17.02691,17.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8317,12.60604,9.23611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.797,12.60604,12.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5811,12.60604,12.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29564,3.29564,3.29564,0,0,0,0,0,0,0,0,0,0,0,0,17.8822,14.54341,14.5434,194.756,12.37041,12.3704,0,0,0,0,0,0,69.0785,5.70129,5.70129,0,0,0,5.06257,5.06257,5.06257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29564,3.29564,3.29564,0,0,0,0,0,0,0,0,0,0,0,0,7.04038,14.54341,5.90376,178.602,12.37041,12.3704,0,0,0,0,0,0,70.4509,5.70129,5.70129,0,0,0,5.06257,5.06257,5.06257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.627,24.54246,24.5425,8.7092,10.24239,4.28241,6.80994,6.80994,6.80994,5.64394,4.70005,4.70005,0,0,0,0,0,0,0,0,0,9.21501,9.21501,9.21501,2.99697,2.99697,2.99697,4.74566,4.74566,4.74566,12.0455,12.04551,12.0455,7.43913,7.43913,7.43913,3.72723,4.82629,3.72723,3200.12,146.04036,146.04,824.677,25.60958,25.6096,51.4166,13.74278,13.7428,1.85158,2.71029,1.85158,1819.79,29.78510,29.7851,1562.77,51.04551,50.1656,10814,226.67078,226.671,1.44652,4.71287,1.44652,0,0,0,9.33823,7.18147,6.04381,942.168,69.51763,69.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7358,6.14754,6.14754,0,0,0,16.6311,11.38138,11.3814,5.8631,4.90848,4.37389
0,0,0,2.23466,4.42634,2.23466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34641,3.34641,3.34641,0,0,0,0,0,0,0,0,0,0,0,0,780.968,134.89182,134.892,31.513,11.32720,10.4557,5.56844,7.65796,3.23419,0,0,0,539.204,31.16799,31.168,80.6277,26.21999,23.0061,1496.49,87.35171,58.0303,0,0,0,0,0,0,0,0,0,14.8878,12.35459,3.91671,0,0,0,0,0,0,0.89674,4.50557,0.89674,0,0,0,0,0,0,0.547876,2.68720,0.547876,0,0,0,0,0,0,0,0,0
8.94835,5.38500,5.385,2.53368,3.85060,2.34676,0,0,0,0,0,0,0,0,0,4.78768,4.88249,4.78768,0,0,0,4.88018,4.88018,4.88018,2.72902,2.72902,2.72902,0,0,0,0,0,0,0,0,0,0,0,0,705.819,44.07553,44.0755,56.7428,11.08693,7.77968,15.6245,19.83399,9.62815,0,0,0,321.858,23.09093,17.2225,73.9323,24.40855,24.4086,132.976,19.94491,19.9449,0,0,0,0,0,0,0,0,0,66.9864,21.29911,21.2991,0,0,0,0,0,0,0.123392,6.35470,0.123392,0,0,0,0,0,0,4.79803,3.49364,2.76625,0,0,0,0,0,0,0,0,0
