H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.393,18.84647,18.8465,2.30608,3.51075,2.30608,3.55001,3.55001,3.55001,0,0,0,323.99,13.83855,13.8385,225.596,16.35226,16.3523,1117.63,43.39164,43.3916,0,0,0,0,0,0,20.9938,6.00755,6.00755,13.8855,4.65936,4.44883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.397,4.10827,4.10827,0,0,0,0,0,0,0,0,0
9.94627,5.26713,4.18844,4.85815,4.85815,4.85815,0,0,0,0,0,0,1.85749,5.57248,1.85749,6.96294,5.32038,5.32038,6.01388,6.41687,6.01388,3.58752,5.38128,3.58752,0,0,0,3.07384,6.72302,1.61232,5.95325,5.95325,5.95325,0,0,0,0,0,0,52.8132,9.97252,9.92434,335.202,21.01028,21.0103,0,0,0,2.33045,3.25948,2.33045,214.89,12.80980,12.8098,40.8567,4.98224,4.98224,0,0,0,0,0,0,2.1279,2.44709,2.1279,0,0,0,11.839,5.48503,4.82259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26538,7.45364,6.26538,4.23269,4.95009,4.23269
103.958,16.74920,16.7492,28.6996,12.35376,12.3538,11.5606,11.56062,11.5606,6.49268,5.43858,5.43858,4.85623,4.85623,4.85623,2.28093,2.28093,2.28093,0,0,0,20.602,8.49123,8.02863,2.3282,2.32820,2.3282,35.1227,13.12025,13.1203,31.6905,10.37364,10.3736,32.1684,10.51393,10.5139,9.41476,5.98541,5.98541,9309.62,68.18426,68.1843,67.1107,18.81366,12.8452,1035.72,50.90025,50.9002,35.1769,15.03707,15.0371,3103.12,33.71883,33.7188,1687.15,55.10947,55.1095,38784.1,201.99113,201.991,28.9229,26.86395,26.8639,28.6999,8.65476,7.66459,449.526,20.98023,20.9802,3345.98,74.05673,74.0567,0,0,0,0,0,0,12.0557,6.30523,6.30523,0,0,0,4.7379,4.73790,4.7379,150.262,9.69037,9.69037,17.7026,12.51305,11.5638,53.0057,13.25876,13.2588,43.6908,14.79336,14.7934
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.38,76.40071,76.4007,34.1269,4.66365,4.66365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3172,3.54080,3.5408,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722197,2.25918,0.722197,115.097,77.76699,7.66262,6.2064,6.20640,6.2064,0,0,0,21.8884,8.65292,8.65292,0,0,0,0.316636,1.75589,0.316636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5852,11.19525,11.1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81701,3.49719,3.49719,87.6755,6.97080,6.17761,0,0,0,0,0,0,7.58783,3.46111,3.01489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380.973,30.00557,30.0056,0,0,0,0,0,0,10.7566,5.99043,4.85737,0,0,0,0,0,0,0,0,0,11.1038,8.04212,6.08593,11.9677,3.67605,3.67605,11.7624,7.14006,5.62735,18.3782,9.63248,9.55679,5.46598,5.46598,5.46598,5.98687,5.98687,5.98687,15445.1,127.77785,127.778,31.0974,10.03452,10.0345,133.104,36.94991,36.9499,20.9934,9.90716,6.17474,759.14,18.74804,18.748,1288.82,35.35305,35.3531,28963.8,194.08977,194.09,19.8096,15.07386,15.0739,6.48659,6.42559,3.38646,56.4335,7.20582,7.20582,2857.88,72.17067,72.1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46581,2.94935,2.94935,4.03964,4.03964,4.03964,3.98812,5.85145,3.27646,1.6321,6.70973,1.6321
41.9495,15.06026,13.2426,6.76268,5.97913,5.97913,6.55528,6.55528,6.55528,8.79686,7.19565,7.19565,15.2938,5.99535,5.99535,8.02352,4.11629,4.11629,7.52592,4.14862,4.14862,0,0,0,2.05375,2.90531,2.05375,6.88959,6.52629,6.52629,19.0032,7.30007,7.30007,4.45125,4.45125,4.45125,11.2035,7.60473,7.60473,418.738,28.83826,28.8383,2158.84,55.28213,55.2821,31.041,13.60031,13.6003,10.1341,7.84581,7.84581,990.057,14.49685,14.4969,929.357,30.11597,30.116,11402.4,151.12473,151.125,11.8766,12.52439,11.8766,14.29,5.63374,5.63374,87.1789,23.20919,23.2092,463.314,55.86161,55.8616,3.10426,3.14036,3.10426,0,0,0,22.1643,10.10557,7.20167,0,0,0,0,0,0,17.0296,4.55725,4.55725,4.46884,4.46884,4.46884,24.9393,18.24832,18.2483,9.96504,6.55277,6.21383
8.97814,5.19661,5.19661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1914,4.59424,4.59424,0,0,0,0,0,0,0,0,0,0,0,0,233.263,22.68449,12.6854,12.6255,9.63350,2.99697,21.5447,7.81646,3.61683,0.867856,3.71589,0.867856,130.416,8.05820,7.47131,0,0,0,637.238,44.65967,44.6597,0,0,0,0,0,0,0,0,0,2.04242,2.95665,2.04242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.4278,3.42780,3.4278,0,0,0,3.62576,3.62576,3.62576,0,0,0,0,0,0,2.51311,2.51311,2.51311,0,0,0,2.91579,3.02794,2.91579,0,0,0,0,0,0,29.1665,8.86529,8.86529,289.629,15.93718,15.8747,1.47942,2.77391,1.47942,0,0,0,35.9754,6.17231,6.17231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44171,3.97206,1.44171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
