H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
3.22907,3.22907,3.22907,4.71421,4.71421,4.71421,0,0,0,0,0,0,1.82071,4.37838,1.82071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80057,4.80057,4.80057,0,0,0,1346.31,120.79445,120.794,350.961,23.49248,23.4925,97.1911,32.46476,32.4648,0,0,0,985.903,39.92556,39.9256,420.082,24.96869,24.9687,3050.84,106.62997,106.63,0,0,0,0,0,0,0,0,0,109.066,12.44246,12.4425,0,0,0,0,0,0,2.75669,2.75669,2.75669,0,0,0,0,0,0,162.154,12.50345,12.5035,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128.5,275.19119,275.191,40.9536,19.15658,19.1566,1620.88,27.24810,27.2481,4.18965,4.18965,4.18965,657.114,36.46701,36.467,10.9216,3.58557,3.58557,305.304,26.37766,22.4254,0,0,0,21.0124,7.30511,7.30511,402.551,18.15861,18.1586,131.296,13.44291,8.01536,4.49774,4.49774,4.49774,0,0,0,0,0,0,0,0,0,0,0,0,378.758,17.48117,17.4812,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05675,5.05675,5.05675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0905,4.94815,4.94815,82.8932,10.21669,10.2167,4.33413,3.33091,2.25834,0,0,0,13.2535,4.88113,4.88113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3695,2.36950,2.3695,0,0,0,0.0570143,3.93399,0.0570143,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.088,14.95878,14.9588,7.18016,7.18016,7.18016,2251.3,31.60285,31.6029,0,0,0,358.593,10.82941,10.8294,0,0,0,92.8099,17.14186,17.1419,0,0,0,1.37809,5.86965,1.37809,57.2474,10.44557,6.22626,9.82426,7.43747,5.17389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18948,4.74385,3.93496,0,0,0,0.83908,4.02059,0.83908,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5578,16.60937,16.6094,38.3185,10.43879,6.02244,676.159,20.73689,20.7369,0,0,0,23.2666,8.75582,8.75582,0,0,0,0,0,0,0,0,0,4.72665,5.61931,2.52553,0,0,0,1.30471,3.87063,1.30471,0,0,0,0,0,0,0.789661,3.51399,0.789661,0,0,0,0,0,0,9.51503,5.46706,5.46706,0,0,0,1.87867,4.77719,1.87867,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39091,3.39091,3.39091,0,0,0,24.5325,11.92361,6.1799,113.3,8.21188,8.21188,46.8706,7.47987,6.38974,0,0,0,241.792,18.75214,18.7521,196.66,23.17321,23.1732,1.04555,3.25614,1.04555,0,0,0,0,0,0,0,0,0,10.0568,4.38389,4.27463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0898,5.68252,5.68252,0,0,0,0,0,0,0,0,0
40.0997,11.56073,11.5607,5.28996,5.28996,5.28996,4.03245,4.03245,4.03245,0,0,0,9.20351,5.97051,5.97051,6.40849,4.81414,4.05375,0,0,0,5.35421,5.35421,5.35421,2.55069,2.55069,2.55069,2.85857,3.95472,2.85857,14.9238,5.33909,5.33909,5.85599,5.85599,5.85599,0,0,0,743.763,35.92527,35.9253,46.157,20.78708,20.7871,30.7143,17.65123,17.6512,3.53034,3.53034,3.53034,2279.69,37.45156,37.4516,530.173,29.99858,29.9986,400.315,68.09998,68.1,0,0,0,0,0,0,2.90466,2.90466,2.90466,90.0375,10.42710,10.4271,0,0,0,0,0,0,2.78827,3.51399,2.78827,0,0,0,0,0,0,155.655,23.20982,23.2098,0,0,0,7.36715,5.01511,5.01511,7.67537,5.11681,5.11681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6121,8.23946,7.52506,0,0,0,917.089,27.62379,27.6238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.228,33.45001,33.45,627.861,20.26589,19.4734,105.83,10.65905,10.6591,0,0,0,68.5616,18.23972,18.2397,0,0,0,15.7563,4.56233,3.64468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75437,2.75437,2.75437,0,0,0,0,0,0,0.0799585,2.38543,0.0799585,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978.726,95.58984,95.5898,14.1054,8.97688,8.97688,2893.35,52.82592,52.8259,0,0,0,986.282,21.23468,21.2347,25.2451,18.50739,18.5074,1648.84,221.84842,221.848,0,0,0,8.90729,4.55121,4.55121,271.842,13.56283,13.5628,13.6423,4.11203,4.11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7317,6.62999,6.36723,0,0,0,0,0,0,0,0,0
