H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01274,1.92701,1.01274,0,0,0,0,0,0,12.0719,3.72882,3.22319,90.7352,12.28784,12.0886,3.97713,20.18027,3.97713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.76267,4.71852,2.43879,0,0,0,0.137218,4.07080,0.137218,5.57248,5.57248,5.57248,5.13943,5.13943,5.13943,0,0,0,4.7593,4.75930,4.7593,0,0,0,0,0,0,4.30711,4.30711,4.30711,0,0,0,0,0,0,448.238,42.77270,42.7727,594.956,32.79317,32.7932,114.876,10.68553,10.6855,0,0,0,271.253,29.48070,29.4807,37.8091,15.94858,15.9486,264.579,87.61983,87.6198,0,0,0,0,0,0,49.2499,16.87903,16.879,77.3227,39.42374,39.4237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5926,6.73046,6.73046,0,0,0,0,0,0,0,0,0
0,0,0,6.15357,6.15357,6.15357,0,0,0,0,0,0,0,0,0,3.62282,5.50132,3.62282,0,0,0,0,0,0,3.83852,3.83852,3.83852,0,0,0,3.68981,3.68981,3.68981,3.74515,3.74515,3.74515,0,0,0,66.7073,32.69701,32.697,846.847,32.79317,32.7932,108.074,17.63112,17.6311,0,0,0,386.752,18.37203,18.372,288.489,23.05734,23.0573,45.2402,17.14186,17.1419,0,0,0,0,0,0,27.8747,9.52687,9.52687,26.165,6.41685,6.41685,0,0,0,0,0,0,7.08174,7.08174,7.08174,0,0,0,0,0,0,23.3676,6.73046,6.73046,0,0,0,0,0,0,0,0,0
32.8751,9.98686,9.98686,17.1591,9.66905,7.80514,8.65544,8.65544,8.65544,2.63124,7.25144,2.27154,8.03234,9.74069,3.28602,1.04496,3.33584,1.04496,4.43109,4.72822,2.60816,3.21401,6.00672,2.31584,7.91773,5.09487,2.96065,2.49402,6.13296,1.47782,14.6054,11.95251,11.9525,4.85691,4.85691,4.85691,0,0,0,5910.84,275.19119,275.191,37.497,6.48607,6.48607,30.1653,7.75142,7.75142,10.5042,8.99474,7.36918,3548.57,53.57186,53.5719,1359.99,60.30806,60.3081,14072.5,146.26183,144.132,3.77826,6.03068,3.77826,6.57119,5.32695,4.90251,198.482,29.93916,29.9392,1425.39,64.45504,64.455,3.83932,3.83932,3.83932,0,0,0,8.89163,8.30229,8.30229,0,0,0,0,0,0,198.929,10.33943,10.3394,0,0,0,3.40551,5.65314,3.40551,4.54123,7.94303,3.39284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65091,4.65091,4.65091,0,0,0,0,0,0,0,0,0,3.48129,3.48129,3.48129,0,0,0,92.7959,7.94598,7.94598,134.428,23.51095,23.511,8.76403,3.82698,3.74641,0,0,0,182.607,19.17896,19.179,2.90075,2.90075,2.90075,0,0,0,0,0,0,0,0,0,0,0,0,9.79728,6.72146,6.72146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3326,6.52784,6.52784,0,0,0,0,0,0,0,0,0
0,0,0,1.29328,3.74721,1.29328,2.28174,4.52345,2.28174,0,0,0,0,0,0,4.25528,4.80847,4.25528,0,0,0,0,0,0,4.36478,3.71017,3.0992,0,0,0,3.19243,3.50238,3.19243,0,0,0,0,0,0,841.716,52.82632,52.8263,1.98067,6.39472,1.98067,2276,38.11971,38.1197,0,0,0,531.357,29.40290,29.4029,80.5197,15.13018,15.1302,111.395,33.24544,33.2454,0,0,0,17.2329,5.72704,5.72704,4.12612,3.89911,3.89911,22.0918,7.43401,7.43401,3.33906,4.83736,3.33906,0,0,0,0,0,0,0,0,0,0,0,0,29.9412,3.54308,3.54308,0,0,0,0,0,0,0,0,0
12.1048,11.41629,3.86993,0,0,0,0,0,0,5.42638,28.39494,4.8127,0,0,0,0,0,0,1.13491,22.31996,1.13491,33.4683,27.33730,16.173,19.8907,7.91872,7.91872,0.31415,12.35656,0.31415,0.185074,10.91938,0.185074,0,0,0,0,0,0,33969.2,326.03622,326.036,770.938,83.89447,83.8945,676.496,192.10704,192.107,0.563773,16.63131,0.563773,498.056,72.10204,72.102,533.867,39.26892,39.2689,18097.2,275.63440,275.634,12.5128,25.03959,6.08532,0.637757,10.75076,0.637757,0,0,0,2557.45,63.46949,63.4695,0,0,0,0,0,0,100.923,30.59273,30.5927,0,0,0,0,0,0,0,0,0,3.19329,5.54129,3.19329,0.305971,18.05226,0.305971,1.53074,5.16077,1.53074
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.956,27.24656,27.2466,0,0,0,1051.53,15.03279,15.0328,0,0,0,7.8295,7.82950,7.8295,0,0,0,3.87305,5.74711,3.87305,0,0,0,2.34939,3.56281,2.34939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3017,4.29925,3.0588,0,0,0,0,0,0,0,0,0
28.5534,8.65759,7.70881,0,0,0,0,0,0,0,0,0,0,0,0,0.696115,4.23470,0.696115,0,0,0,2.34705,4.75930,2.34705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9481,28.06426,28.0643,1814.48,39.95639,39.9564,16.6118,10.51578,10.5158,0,0,0,334.685,13.77742,13.7774,130.051,15.16136,15.1614,1698.69,173.60777,173.608,0,0,0,0,0,0,0,0,0,20.8176,12.17384,12.1738,0,0,0,0,0,0,14.0562,6.41568,6.41568,0,0,0,0,0,0,0,0,0,0,0,0,0.539698,6.56632,0.539698,0,0,0
20.8308,5.08597,5.08597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18023,2.72382,2.72382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392.88,58.57035,58.5703,3.71027,3.71027,3.71027,0,0,0,59.3178,7.35767,7.35767,62.6124,13.55752,13.5575,353.941,75.15168,75.1517,0,0,0,0,0,0,0,0,0,6.87935,6.87935,6.87935,0,0,0,0,0,0,9.50964,9.50964,9.50964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
