"","meanAbsD"
"H2AFZ",0.145
"H2AK5ac",0.118333333333333
"H2AK9ac",0.0938333333333334
"H2BK120ac",0.1285
"H2BK12ac",0.118
"H2BK15ac",0.110666666666667
"H2BK20ac",0.0596666666666666
"H2BK5ac",0.131333333333333
"H3F3A",0.1735
"H3K14ac",0.143166666666667
"H3K18ac",0.152
"H3K23ac",0.1615
"H3K23me2",0.0878333333333333
"H3K27ac",0.234333333333333
"H3K27me3",0.120166666666667
"H3K36me3",0.372833333333333
"H3K4ac",0.150833333333333
"H3K4me1",0.272666666666667
"H3K4me2",0.256
"H3K4me3",0.276833333333333
"H3K56ac",0.132166666666667
"H3K79me1",0.298166666666667
"H3K79me2",0.376
"H3K9ac",0.279
"H3K9me1",0.043
"H3K9me2",0.0131666666666667
"H3K9me3",0.1195
"H4K12ac",0.071
"H4K20me1",0.307666666666667
"H4K5ac",0.104833333333333
"H4K8ac",0.148166666666667
"H4K91ac",0.136833333333333
"chrm_acc",0.257
"methylome",0.1515
