"","signed_D","max","min","p.val","p.val.adj"
"Random number",-0.0229783761729906,0.0167205222358222,-0.0229783761729906,0.293317862432973,0.293317862432973
"GC%",0.300168910648715,0.300168910648715,-0.00123398612811099,1.84643231070175e-142,8.17705737596488e-142
"Complexity",-0.158376937971076,0,-0.158376937971076,6.50985211677031e-40,9.60978169618474e-40
"CpG",0.223490820073439,0.223490820073439,-0.0118824969400245,3.65921050258013e-79,6.30197364333245e-79
"GA",0.220649530803754,0.220649530803754,-0.000968992248062017,3.57009851528279e-77,5.82489757756665e-77
"GT",-0.1393131374949,0.0023859649122807,-0.1393131374949,5.08465125247462e-31,7.16473585575969e-31
"TA",-0.296517339861281,0,-0.296517339861281,5.02380977671499e-139,1.94672628847706e-138
"T%",-0.30341667942242,0.000306138068268789,-0.30341667942242,1.52159315020946e-145,7.86156460941554e-145
"C%",0.265409638246849,0.265409638246849,-0.00362263380784733,1.8256352321162e-111,5.14497201778201e-111
"G%",0.262767437114139,0.262767437114139,-0.00136751875095664,2.89233390166125e-109,7.47186257929156e-109
"PhyloP-mammals",0.237552814026183,0.237552814026183,0,2.9491710780932e-89,5.71401896380558e-89
"PhyloP-vertebrates",0.241743710917862,0.241743710917862,0,2.69025004737294e-92,5.95698224775437e-92
"GERP-mammals",0.236629173656763,0.236629173656763,0,1.30704438667509e-84,2.38343388158399e-84
"GERP-vertebrates",0.115974342572381,0.115974342572381,-7.62776506483265e-05,4.3456140464326e-15,5.38856141757642e-15
"Tissue RPKM",0.354960424316605,0.354960424316605,0,4.79806063786793e-199,3.71849699434765e-198
"Primary cell RPKM",0.35759241126071,0.35759241126071,0,5.30470673740744e-202,5.48153029532102e-201
"H3K9ac",0.359135658914729,0.359135658914729,0,9.57274419657709e-204,1.48377535046945e-202
"H3K79me1",0.241221542227662,0.241221542227662,-0.000101999184006552,3.75360282566831e-92,7.75744583971451e-92
"H3K79me2",0.287491228070175,0.287491228070175,-5.09995920032758e-05,1.02491413914459e-130,3.53025981260913e-130
"Chromatin Accessibility",0.319017747858017,0.319017747858017,-0.000611995104039198,7.38574003260559e-161,4.57915882021546e-160
"Methylome",0.123235006119951,0.123235006119951,-0.105416360669115,2.29424877898487e-24,2.96340467285546e-24
"Repeat free",0.158406160750714,0.158406160750714,-0.00380395756833951,5.56549511110647e-40,8.62651742221502e-40
"Copies",-0.271963014609062,0,-0.271963014609062,5.96768783765626e-117,1.84998322967344e-116
"RNAcode",0.0334056866542716,0.0334056866542716,0,0.0810988965764466,0.0838021931289949
"Fickett",0.0757827417380661,0.0757827417380661,-0.000101999184006552,1.76928522744114e-09,2.03140155743242e-09
"Covariance",0.245510802790651,0.245510802790651,-0.000267465496950892,2.33501957437312e-92,5.56812360042821e-92
"MFE",-0.0927082823337413,0.000876988984088127,-0.0927082823337413,5.65265995641851e-14,6.73970994803746e-14
"Interactions",-0.133948388412893,0.000662994696042432,-0.133948388412893,1.04043083093661e-28,1.40231981561022e-28
"MaxEnt splicing",0.393115643655289,0.393115643655289,-5.10230113781596e-05,4.97251698965698e-244,1.54148026679366e-242
"SNPs",0.0475855843502903,0.0475855843502903,-0.0299830888066183,0.000564924519914126,0.000603884831632342
"MAF",-0.060166141048494,0.0131290278349102,-0.060166141048494,4.23990824026002e-06,4.69418412314503e-06
