"","meanAbsD"
"Random number",0.0269338498136679
"GC%",0.21030925023725
"Complexity",0.147379164769174
"CpG",0.205176863304047
"GA",0.197726131133411
"GT",0.140135629646395
"TA",0.2020213243145
"T%",0.238149460712568
"C%",0.159805595117559
"G%",0.260735774639365
"PhyloP-mammals",0.482240354010594
"PhyloP-vertebrates",0.461142312159673
"GERP-mammals",0.419065101885036
"GERP-vertebrates",0.24448318909637
"Tissue RPKM",0.644612125848291
"Primary cell RPKM",0.60873147852364
"H3K9ac",0.262150411185568
"H3K79me1",0.278186551868056
"H3K79me2",0.343942224505202
"Chromatin Accessibility",0.218224130122844
"Methylome",0.159776861046932
"Repeat free",0.150644483988279
"Copies",0.297672354044515
"RNAcode",0.239757737455274
"Fickett",0.14672920125998
"Covariance",0.296926049169953
"MFE",0.194672437720189
"Interactions",0.179017135463785
"MaxEnt splicing",0.3496890129475
"SNPs",0.139129842698349
"MAF",0.128625319140156
