"","signed_D","max","min","p.val","p.val.adj"
"Random number",0.0251948051948052,0.0251948051948052,-0.00203896103896103,0.200288150605849,0.200288150605849
"GC%",0.177351620947631,0.177351620947631,-0.0100989193682461,6.3628789480466e-50,8.57605423432368e-50
"Complexity",-0.162499846084911,0,-0.162499846084911,6.02626883355448e-42,7.78393057667454e-42
"CpG",0.242136363636364,0.242136363636364,-0.00405844155844159,1.08695362568781e-92,1.77345065243801e-92
"GA",0.247506493506494,0.247506493506494,-0.00097402597402596,7.91239454676671e-97,1.63522820633179e-96
"GT",-0.057474025974026,0.000590909090909091,-0.057474025974026,1.26693375200193e-05,1.30916487706866e-05
"TA",-0.271279220779221,0.000227272727272727,-0.271279220779221,3.09174439929893e-116,6.84600545559048e-116
"T%",-0.243651936573954,0.00353691187938653,-0.243651936573954,7.66390513861153e-94,1.31989477387199e-93
"C%",0.0886507668312971,0.0886507668312971,-0.0136598648297375,8.59926049424802e-13,9.87322501191439e-13
"G%",0.245281778008838,0.245281778008838,-0.0167650116974265,4.27072889494566e-95,8.27453723395722e-95
"PhyloP-mammals",0.839606572401152,0.839606572401152,0,0,0
"PhyloP-vertebrates",0.828215072522551,0.828215072522551,0,0,0
"GERP-mammals",0.668440444307041,0.668440444307041,0,0,0
"GERP-vertebrates",0.424087637461215,0.424087637461215,-0.000357416749336879,9.21399507015752e-247,2.85633847174883e-246
"Tissue RPKM",0.814571428571429,0.814571428571429,0,0,0
"Primary cell RPKM",0.712623376623377,0.712623376623377,0,0,0
"H3K9ac",0.243954545454545,0.243954545454545,0,4.41968243902499e-94,8.05942091822204e-94
"H3K79me1",0.357188311688312,0.357188311688312,-0.000577922077922177,3.35423047443306e-201,8.66509539228541e-201
"H3K79me2",0.491850649350649,0.491850649350649,0,0,0
"Chromatin Accessibility",0.138837662337662,0.138837662337662,-0.0193116883116883,9.26744033277293e-31,1.14916260126384e-30
"Methylome",0.223142857142857,0.223142857142857,0,8.77521150001577e-79,1.23650707500222e-78
"Repeat free",0.127623376623377,0.127623376623377,-0.00434415584415593,4.67067892778944e-26,5.56888641390279e-26
"Copies",-0.360570930111447,0,-0.360570930111447,5.6620427877695e-205,1.59566660382595e-204
"RNAcode",0.678182621326742,0.678182621326742,0,0,0
"Fickett",0.275961038961039,0.275961038961039,-0.000467532467532505,2.87285348258285e-120,6.85065061231295e-120
"Covariance",0.431823732649865,0.431823732649865,0,3.23975994278855e-292,1.11591731362717e-291
"MFE",-0.0737467532467533,0.000415584415584416,-0.0737467532467533,5.52644820854605e-09,5.90758256775612e-09
"Interactions",-0.0851818181818181,0.011961038961039,-0.0851818181818181,7.62969988058422e-12,8.44716772493253e-12
"MaxEnt splicing",0.508963088120613,0.508963088120613,0,0,0
"SNPs",-0.228446179808372,0.000613868199823461,-0.228446179808372,6.67745908617314e-82,9.85720150816035e-82
"MAF",-0.237579862464831,0.000599891477342731,-0.237579862464831,1.51086223231037e-88,2.34183646008108e-88
