"","signed_D","max","min","p.val","p.val.adj"
"Random number",0.0326283680732079,0.0326283680732079,-0.0173172343670564,0.288659449356944,0.298281431002175
"GC%",0.153407219115404,0.153407219115404,-0.0548317234367056,5.57751190745295e-19,9.10015100689692e-19
"Complexity",-0.121260710251536,0,-0.121260710251536,5.26216994515412e-12,6.27412570383761e-12
"CpG",0.149903406202339,0.149903406202339,-0.0245678698525674,3.84001551160175e-18,5.95202404298271e-18
"GA",0.125022369089985,0.125022369089985,-0.00305033045246572,9.49506189300279e-13,1.17738767473235e-12
"GT",0.223619725470259,0.223619725470259,-0.00162684290798165,7.50375981884001e-40,1.93847128653367e-39
"TA",-0.0382674123029995,0.0262262328418912,-0.0382674123029995,0.140060873905838,0.149720244520034
"T%",0.167379766141332,0.167379766141332,-0.111155058464667,1.63139169832043e-22,3.16082141549583e-22
"C%",-0.12535638027453,0.0914590747330961,-0.12535638027453,8.15760106301257e-13,1.05369013730579e-12
"G%",0.27415810879512,0.27415810879512,-0.0498327402135231,1.09897830803962e-59,4.25854094365351e-59
"PhyloP-mammals",0.369561675604445,0.369561675604445,-0.00181895543245879,9.69430839628998e-108,7.51308900712473e-107
"PhyloP-vertebrates",0.313468153038607,0.313468153038607,-0.00201207243460765,2.22312055801675e-77,9.84524818550274e-77
"GERP-mammals",0.352125687691303,0.352125687691303,0,2.64836197577577e-90,1.64198442498098e-89
"GERP-vertebrates",0.193387587255512,0.193387587255512,0,2.94521672254853e-19,5.07231768883358e-19
"Tissue RPKM",0.764304524656838,0.764304524656838,0,0,0
"Primary cell RPKM",0.755978647686833,0.755978647686833,0,0,0
"H3K9ac",0.18336102918743,0.18336102918743,0,6.21897296939724e-27,1.28525441367543e-26
"H3K79me1",0.236149801688193,0.236149801688193,-0.000203396725312777,2.15792364038219e-44,6.08142116834982e-44
"H3K79me2",0.252484796094783,0.252484796094783,0,1.09920438495876e-50,3.40753359337215e-50
"Chromatin Accessibility",0.196816980172852,0.196816980172852,-0.0386334519572954,5.75327759181519e-31,1.27394003818765e-30
"Methylome",0.132952719877987,0.132952719877987,-0.000525165226232804,2.3148044078867e-14,3.11995376715164e-14
"Repeat free",0.165903914590747,0.165903914590747,-0.0228825622775801,3.9844281057458e-22,7.26572183988939e-22
"Copies",-0.260483117413037,0.162731000714067,-0.260483117413037,6.62882865183355e-54,2.28326320229822e-53
"RNAcode",0.00768490438480873,0.00768490438480873,0,0.999999999046918,0.999999999046918
"Fickett",0.0884438230808338,0.0884438230808338,-0.00294560244026432,1.36061208116706e-06,1.56218424133996e-06
"Covariance",0.213443612069343,0.213443612069343,-0.000209885612341254,1.27336770565243e-35,3.03649222117118e-35
"MFE",-0.417562277580071,0.000915099135739705,-0.417562277580071,6.80490517760936e-138,7.03173535019634e-137
"Interactions",0.317921199796645,0.317921199796645,-0.000101677681748846,4.09227359880928e-80,2.1143413593848e-79
"MaxEnt splicing",0.146988307066599,0.146988307066599,-0.00074529740721907,1.84794570630134e-17,2.72791985215912e-17
"SNPs",0.141357763936386,0.141357763936386,-0.00805693431921676,5.32030279697892e-16,7.49679030483394e-16
"MAF",-0.0881299539071418,0.00444165264591627,-0.0881299539071418,1.76638642974049e-06,1.95564211864126e-06
