rna_type,gene_name,rnacentral_id,hgnc_id
"lncRNA","NONHSAG000047.2","URS000075B941_9606","HGNC:49377"
"lncRNA","LINC01342","URS000075ABDA_9606","HGNC:50551"
"lncRNA","MRPL20-AS1","URS000075B363_9606","HGNC:27125"
"lncRNA","PRDM16-DT","URS000075CF92_9606","HGNC:48664"
"lncRNA","LINC01646","URS0000BC45E4_9606","HGNC:52433"
"lncRNA","LINC01672","URS000075CC1C_9606","HGNC:52460"
"lncRNA","CAMTA1-DT","URS0000BC442D_9606","HGNC:53020"
"lncRNA","LNCTAM34A","URS00008E3A18_9606","HGNC:52548"
"lncRNA","EXOSC10-AS1","URS0000A76A99_9606","HGNC:40456"
"lncRNA","LINC01647","URS000075A243_9606","HGNC:52434"
"lncRNA","NPPA-AS1","URS000075D3D8_9606","HGNC:37635"
"lncRNA","LINC02766","URS00025E99F8_9606","HGNC:54286"
"lncRNA","LINC01784","URS0000BC43E0_9606","HGNC:52574"
"lncRNA","KAZN-AS1","URS0000BC44CB_9606","HGNC:53610"
"lncRNA","SLC25A34-AS1","URS0000BC43B5_9606","HGNC:53623"
"lncRNA","EPHA2-AS1","URS00022B48B9_9606","HGNC:40216"
"lncRNA","LINC01654","URS00007E4488_9606","HGNC:52442"
"lncRNA","EMC1-AS1","URS0000A77184_9606","HGNC:54050"
"lncRNA","LINC01757","URS0000BC45AC_9606","HGNC:52546"
"lncRNA","LINC01141","URS000075A082_9606","HGNC:49455"
"lncRNA","LINC01635","URS000075BDEA_9606","HGNC:52422"
"lncRNA","lnc-RPL11-1","URS0000D64BA3_9606","HGNC:29633"
"lncRNA","LINC02800","URS0000759DFB_9606","HGNC:27642"
"lncRNA","TAF12-DT","URS0000BC450F_9606","HGNC:52502"
"lncRNA","MATN1-AS1","URS000075AA67_9606","HGNC:40364"
"lncRNA","CSMD2-AS1","URS000075D4C3_9606","HGNC:40882"
"lncRNA","ZMYM4-AS1","URS0000BC45CD_9606","HGNC:40624"
"lncRNA","TFAP2E-AS1","URS00025F1626_9606","HGNC:41274"
"lncRNA","LITATS1","URS000075ABAD_9606","HGNC:49453"
"lncRNA","MIR3659HG","URS0001BBE517_9606","HGNC:54306"
"sRNA","RRAGC-DT","URS0000A76875_9606","HGNC:55793"
"lncRNA","CDC20-DT","URS00022AF296_9606","HGNC:55681"
