"","Var1","Var2","value"
"1","Random number","Random number",1
"2","GC%","Random number",-0.000579820795660931
"3","Complexity","Random number",-0.000143556725184106
"4","CpG","Random number",-0.004252578233347
"5","GA","Random number",-0.000358667751916664
"6","GT","Random number",-0.0035329067032909
"7","TA","Random number",-0.00244908758892706
"8","T%","Random number",0.00192878059148537
"9","C%","Random number",-0.00102675421403779
"10","G%","Random number",0.000796907299929749
"11","PhyloP-mammals","Random number",-0.00708627126918592
"12","PhyloP-vertebrates","Random number",-0.0033464467094336
"13","GERP-mammals","Random number",-0.000148066759412831
"14","GERP-vertebrates","Random number",-0.00308865361526216
"15","Tissue RPKM","Random number",0.0044594358828287
"16","Primary cell RPKM","Random number",0.00382855107771251
"17","H3K9ac","Random number",-0.00796632016143716
"18","H3K79me1","Random number",-0.0153308252380128
"19","H3K79me2","Random number",-0.00726053992174108
"20","Chromatin Accessibility","Random number",-0.00957056397383281
"21","Methylome","Random number",-0.00367425759861225
"22","Repeat free","Random number",-0.00895347210081806
"23","Copies","Random number",0.000915733226993704
"24","RNAcode","Random number",-0.00365467934317874
"25","Fickett","Random number",0.0067095385758202
"26","Covariance","Random number",-0.00308390359533542
"27","MFE","Random number",0.00199140267791938
"28","Interactions","Random number",-0.00073543127405491
"29","MaxEnt splicing","Random number",-0.00219741485103286
"30","SNPs","Random number",-0.00261998027395299
"31","MAF","Random number",0.00254161806715547
"32","Random number","GC%",-0.000579820795660931
"33","GC%","GC%",1
"34","Complexity","GC%",-0.137474422974039
"35","CpG","GC%",0.130559220866699
"36","GA","GC%",0.101958133644284
"37","GT","GC%",-0.0786058785790151
"38","TA","GC%",-0.535551111243698
"39","T%","GC%",-0.267407610565241
"40","C%","GC%",0.288605987254229
"41","G%","GC%",0.296563459672931
"42","PhyloP-mammals","GC%",0.0490258585186696
"43","PhyloP-vertebrates","GC%",0.0510340701925534
"44","GERP-mammals","GC%",-0.0131941758388458
"45","GERP-vertebrates","GC%",0.0379089912907368
"46","Tissue RPKM","GC%",0.000560497627008243
"47","Primary cell RPKM","GC%",0.204244073078914
"48","H3K9ac","GC%",0.38031341160065
"49","H3K79me1","GC%",0.257217872827975
"50","H3K79me2","GC%",0.189710536625285
"51","Chromatin Accessibility","GC%",0.461219526383319
"52","Methylome","GC%",0.251483490381443
"53","Repeat free","GC%",0.0825075740549906
"54","Copies","GC%",0.0655803061395547
"55","RNAcode","GC%",0.0114488393747128
"56","Fickett","GC%",0.0830737464566036
"57","Covariance","GC%",-0.0532272668543937
"58","MFE","GC%",-0.361968132876983
"59","Interactions","GC%",-0.412479404842562
"60","MaxEnt splicing","GC%",0.0825792597612496
"61","SNPs","GC%",0.252058677989469
"62","MAF","GC%",0.0356914604818287
"63","Random number","Complexity",-0.000143556725184106
"64","GC%","Complexity",-0.137474422974039
"65","Complexity","Complexity",1
"66","CpG","Complexity",0.141634662417756
"67","GA","Complexity",-0.0794818154747499
"68","GT","Complexity",-0.0342051047824053
"69","TA","Complexity",-0.0128684930588207
"70","T%","Complexity",0.023914843360168
"71","C%","Complexity",-0.0134524060766565
"72","G%","Complexity",-0.00556723217966305
"73","PhyloP-mammals","Complexity",-0.0229183076924464
"74","PhyloP-vertebrates","Complexity",-0.0480256108542631
"75","GERP-mammals","Complexity",-0.0880956840754847
"76","GERP-vertebrates","Complexity",0.00540071121799035
"77","Tissue RPKM","Complexity",-0.147298312230126
"78","Primary cell RPKM","Complexity",-0.126679072464935
"79","H3K9ac","Complexity",-0.0332232344000289
"80","H3K79me1","Complexity",-0.0342168501738355
"81","H3K79me2","Complexity",0.0103193651114417
"82","Chromatin Accessibility","Complexity",-0.0982178164680682
"83","Methylome","Complexity",0.084336459391261
"84","Repeat free","Complexity",-0.0532927953938927
"85","Copies","Complexity",0.293395028466068
"86","RNAcode","Complexity",0.0441728760327685
"87","Fickett","Complexity",-0.186840304011932
"88","Covariance","Complexity",-0.162695490683421
"89","MFE","Complexity",-0.225438439045929
"90","Interactions","Complexity",-0.171285973268718
"91","MaxEnt splicing","Complexity",0.0285496935527646
"92","SNPs","Complexity",0.333278293338613
"93","MAF","Complexity",0.210508944927866
"94","Random number","CpG",-0.004252578233347
"95","GC%","CpG",0.130559220866699
"96","Complexity","CpG",0.141634662417756
"97","CpG","CpG",1
"98","GA","CpG",-0.0394926255257556
"99","GT","CpG",0.015077303279279
"100","TA","CpG",0.00929583938527946
"101","T%","CpG",-0.0833533534806127
"102","C%","CpG",0.0839241754698572
"103","G%","CpG",0.104871868783387
"104","PhyloP-mammals","CpG",0.0180010225081187
"105","PhyloP-vertebrates","CpG",0.0147828258594402
"106","GERP-mammals","CpG",-0.0347262149105474
"107","GERP-vertebrates","CpG",0.00757777534877994
"108","Tissue RPKM","CpG",0.0285767707305646
"109","Primary cell RPKM","CpG",0.0782424220656464
"110","H3K9ac","CpG",0.187874910931318
"111","H3K79me1","CpG",0.132514213389662
"112","H3K79me2","CpG",0.130620936556245
"113","Chromatin Accessibility","CpG",0.0822253015964536
"114","Methylome","CpG",0.409284430808687
"115","Repeat free","CpG",0.0817086999827506
"116","Copies","CpG",0.124318577584087
"117","RNAcode","CpG",0.0434777577829316
"118","Fickett","CpG",-0.0851353183624936
"119","Covariance","CpG",-0.0970296393963195
"120","MFE","CpG",-0.106029366718881
"121","Interactions","CpG",-0.088717158846482
"122","MaxEnt splicing","CpG",0.0322230800937355
"123","SNPs","CpG",0.341356576859484
"124","MAF","CpG",0.0955006555090717
"125","Random number","GA",-0.000358667751916664
"126","GC%","GA",0.101958133644284
"127","Complexity","GA",-0.0794818154747499
"128","CpG","GA",-0.0394926255257556
"129","GA","GA",1
"130","GT","GA",-0.31377630483369
"131","TA","GA",-0.335382232880307
"132","T%","GA",-0.029294968562094
"133","C%","GA",0.0218767427362123
"134","G%","GA",0.0262864413809062
"135","PhyloP-mammals","GA",0.0384551438468456
"136","PhyloP-vertebrates","GA",0.0365627268336229
"137","GERP-mammals","GA",0.0577580555552335
"138","GERP-vertebrates","GA",0.0131344366763376
"139","Tissue RPKM","GA",0.0186993316754652
"140","Primary cell RPKM","GA",0.0178706274213148
"141","H3K9ac","GA",0.0455774694728239
"142","H3K79me1","GA",0.0373761616857619
"143","H3K79me2","GA",0.0229722446397478
"144","Chromatin Accessibility","GA",0.0549967827988748
"145","Methylome","GA",-0.0153663741191427
"146","Repeat free","GA",0.0379003126569369
"147","Copies","GA",-0.081033365624319
"148","RNAcode","GA",0.0133704643119475
"149","Fickett","GA",0.0247227873681014
"150","Covariance","GA",0.0583833430418664
"151","MFE","GA",-0.0312887081690407
"152","Interactions","GA",-0.0575878483710401
"153","MaxEnt splicing","GA",0.0456953280180372
"154","SNPs","GA",-0.0256693729382751
"155","MAF","GA",-0.00253806502886589
"156","Random number","GT",-0.0035329067032909
"157","GC%","GT",-0.0786058785790151
"158","Complexity","GT",-0.0342051047824053
"159","CpG","GT",0.015077303279279
"160","GA","GT",-0.31377630483369
"161","GT","GT",1
"162","TA","GT",0.140352705329892
"163","T%","GT",0.0425856184282177
"164","C%","GT",-0.0508584450519792
"165","G%","GT",-0.0174614426721164
"166","PhyloP-mammals","GT",-0.0546009846020951
"167","PhyloP-vertebrates","GT",-0.0485642418092512
"168","GERP-mammals","GT",-0.0474062314262051
"169","GERP-vertebrates","GT",-0.0368790898761306
"170","Tissue RPKM","GT",-0.0080405842506079
"171","Primary cell RPKM","GT",-0.0232356904448637
"172","H3K9ac","GT",-0.0639063032820237
"173","H3K79me1","GT",-0.030059539182048
"174","H3K79me2","GT",-0.0337205363877179
"175","Chromatin Accessibility","GT",-0.0346893248562107
"176","Methylome","GT",0.0456023568927504
"177","Repeat free","GT",-0.0508652307701628
"178","Copies","GT",0.0389389809554981
"179","RNAcode","GT",-0.0125733362680789
"180","Fickett","GT",0.0128147123298229
"181","Covariance","GT",-0.0314188553456889
"182","MFE","GT",0.0104798227203068
"183","Interactions","GT",0.0853505919154297
"184","MaxEnt splicing","GT",-0.019593119159246
"185","SNPs","GT",-0.0207219327928412
"186","MAF","GT",0.00441235763317307
"187","Random number","TA",-0.00244908758892706
"188","GC%","TA",-0.535551111243698
"189","Complexity","TA",-0.0128684930588207
"190","CpG","TA",0.00929583938527946
"191","GA","TA",-0.335382232880307
"192","GT","TA",0.140352705329892
"193","TA","TA",1
"194","T%","TA",0.157937232192658
"195","C%","TA",-0.167027113943027
"196","G%","TA",-0.166447176948162
"197","PhyloP-mammals","TA",-0.0511367521492798
"198","PhyloP-vertebrates","TA",-0.0510354452090838
"199","GERP-mammals","TA",-0.0185956832377228
"200","GERP-vertebrates","TA",-0.026554912902196
"201","Tissue RPKM","TA",-0.00998572645408398
"202","Primary cell RPKM","TA",-0.110801987269486
"203","H3K9ac","TA",-0.213395375771725
"204","H3K79me1","TA",-0.1269959706366
"205","H3K79me2","TA",-0.0904671564749226
"206","Chromatin Accessibility","TA",-0.25359978129841
"207","Methylome","TA",-0.0872089561914685
"208","Repeat free","TA",-0.0855654483898165
"209","Copies","TA",0.0150817529809974
"210","RNAcode","TA",-0.017393128065066
"211","Fickett","TA",-0.0306622254144984
"212","Covariance","TA",0.00416157470923196
"213","MFE","TA",0.164309473527438
"214","Interactions","TA",0.194979966892396
"215","MaxEnt splicing","TA",-0.0658171267181415
"216","SNPs","TA",-0.16396447387166
"217","MAF","TA",-0.0269257620766069
"218","Random number","T%",0.00192878059148537
"219","GC%","T%",-0.267407610565241
"220","Complexity","T%",0.023914843360168
"221","CpG","T%",-0.0833533534806127
"222","GA","T%",-0.029294968562094
"223","GT","T%",0.0425856184282177
