"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Random number",1,-0.000579820795660931,-0.000143556725184106,-0.004252578233347,-0.000358667751916664,-0.0035329067032909,-0.00244908758892706,0.00192878059148537,-0.00102675421403779,0.000796907299929749,-0.00708627126918592,-0.0033464467094336,-0.000148066759412831,-0.00308865361526216,0.0044594358828287,0.00382855107771251,-0.00796632016143716,-0.0153308252380128,-0.00726053992174108,-0.00957056397383281,-0.00367425759861225,-0.00895347210081806,0.000915733226993704,-0.00365467934317874,0.0067095385758202,-0.00308390359533542,0.00199140267791938,-0.00073543127405491,-0.00219741485103286,-0.00261998027395299,0.00254161806715547
"GC%",-0.000579820795660931,1,-0.137474422974039,0.130559220866699,0.101958133644284,-0.0786058785790151,-0.535551111243698,-0.267407610565241,0.288605987254229,0.296563459672931,0.0490258585186696,0.0510340701925534,-0.0131941758388458,0.0379089912907368,0.000560497627008243,0.204244073078914,0.38031341160065,0.257217872827975,0.189710536625285,0.461219526383319,0.251483490381443,0.0825075740549906,0.0655803061395547,0.0114488393747128,0.0830737464566036,-0.0532272668543937,-0.361968132876983,-0.412479404842562,0.0825792597612496,0.252058677989469,0.0356914604818287
"Complexity",-0.000143556725184106,-0.137474422974039,1,0.141634662417756,-0.0794818154747499,-0.0342051047824053,-0.0128684930588207,0.023914843360168,-0.0134524060766565,-0.00556723217966305,-0.0229183076924464,-0.0480256108542631,-0.0880956840754847,0.00540071121799035,-0.147298312230126,-0.126679072464935,-0.0332232344000289,-0.0342168501738355,0.0103193651114417,-0.0982178164680682,0.084336459391261,-0.0532927953938927,0.293395028466068,0.0441728760327685,-0.186840304011932,-0.162695490683421,-0.225438439045929,-0.171285973268718,0.0285496935527646,0.333278293338613,0.210508944927866
"CpG",-0.004252578233347,0.130559220866699,0.141634662417756,1,-0.0394926255257556,0.015077303279279,0.00929583938527946,-0.0833533534806127,0.0839241754698572,0.104871868783387,0.0180010225081187,0.0147828258594402,-0.0347262149105474,0.00757777534877994,0.0285767707305646,0.0782424220656464,0.187874910931318,0.132514213389662,0.130620936556245,0.0822253015964536,0.409284430808687,0.0817086999827506,0.124318577584087,0.0434777577829316,-0.0851353183624936,-0.0970296393963195,-0.106029366718881,-0.088717158846482,0.0322230800937355,0.341356576859484,0.0955006555090717
"GA",-0.000358667751916664,0.101958133644284,-0.0794818154747499,-0.0394926255257556,1,-0.31377630483369,-0.335382232880307,-0.029294968562094,0.0218767427362123,0.0262864413809062,0.0384551438468456,0.0365627268336229,0.0577580555552335,0.0131344366763376,0.0186993316754652,0.0178706274213148,0.0455774694728239,0.0373761616857619,0.0229722446397478,0.0549967827988748,-0.0153663741191427,0.0379003126569369,-0.081033365624319,0.0133704643119475,0.0247227873681014,0.0583833430418664,-0.0312887081690407,-0.0575878483710401,0.0456953280180372,-0.0256693729382751,-0.00253806502886589
"GT",-0.0035329067032909,-0.0786058785790151,-0.0342051047824053,0.015077303279279,-0.31377630483369,1,0.140352705329892,0.0425856184282177,-0.0508584450519792,-0.0174614426721164,-0.0546009846020951,-0.0485642418092512,-0.0474062314262051,-0.0368790898761306,-0.0080405842506079,-0.0232356904448637,-0.0639063032820237,-0.030059539182048,-0.0337205363877179,-0.0346893248562107,0.0456023568927504,-0.0508652307701628,0.0389389809554981,-0.0125733362680789,0.0128147123298229,-0.0314188553456889,0.0104798227203068,0.0853505919154297,-0.019593119159246,-0.0207219327928412,0.00441235763317307
"TA",-0.00244908758892706,-0.535551111243698,-0.0128684930588207,0.00929583938527946,-0.335382232880307,0.140352705329892,1,0.157937232192658,-0.167027113943027,-0.166447176948162,-0.0511367521492798,-0.0510354452090838,-0.0185956832377228,-0.026554912902196,-0.00998572645408398,-0.110801987269486,-0.213395375771725,-0.1269959706366,-0.0904671564749226,-0.25359978129841,-0.0872089561914685,-0.0855654483898165,0.0150817529809974,-0.017393128065066,-0.0306622254144984,0.00416157470923196,0.164309473527438,0.194979966892396,-0.0658171267181415,-0.16396447387166,-0.0269257620766069
"T%",0.00192878059148537,-0.267407610565241,0.023914843360168,-0.0833533534806127,-0.029294968562094,0.0425856184282177,0.157937232192658,1,-0.411056770923233,-0.646683022081515,-0.0506758235942685,-0.0472336789115063,-0.0176575999200017,-0.0402385732635962,-0.0405459838310895,-0.130700437403403,-0.178445212886207,-0.138296532920393,-0.12399936312951,-0.160063393520578,-0.0466679785554852,-0.0341551173984313,0.01938059559883,-0.0194736684747775,0.00184181037464949,-0.0117275160474511,0.104594743199444,0.111138726766482,-0.0518390943125307,-0.0718917636053527,-0.0123692281566951
"C%",-0.00102675421403779,0.288605987254229,-0.0134524060766565,0.0839241754698572,0.0218767427362123,-0.0508584450519792,-0.167027113943027,-0.411056770923233,1,0.256062324432355,0.0636838436245196,0.0558963864279883,0.0283490055786604,0.0343944301005292,0.0183593509823948,0.12619869233095,0.18190532312175,0.136890949297109,0.120307699954614,0.181333459258409,0.0726854147151442,0.0203038600803504,-0.00381258218092728,0.0340900425620531,0.0196435648534191,0.0107398943537522,-0.143703613649941,-0.150971995475823,0.0968775437465664,0.0709590152216092,0.0233532742665011
"G%",0.000796907299929749,0.296563459672931,-0.00556723217966305,0.104871868783387,0.0262864413809062,-0.0174614426721164,-0.166447176948162,-0.646683022081515,0.256062324432355,1,0.0617444899980192,0.0538594374478623,0.0231573063327546,0.0635217997691767,0.027830179363264,0.134931256500476,0.197024407167145,0.157678317011858,0.135807829304285,0.175124322105923,0.0767377370028535,0.0330184481958572,0.00229210332307405,0.0207655987481809,-0.0131647085598343,0.00554816787453077,-0.147479465764531,-0.136547279629359,0.0781402246682328,0.0836952457980454,0.00705635642662336
"PhyloP-mammals",-0.00708627126918592,0.0490258585186696,-0.0229183076924464,0.0180010225081187,0.0384551438468456,-0.0546009846020951,-0.0511367521492798,-0.0506758235942685,0.0636838436245196,0.0617444899980192,1,0.79965903856759,0.770168839685363,0.543849835090226,-0.0626740163386744,-0.0156888615159422,0.310686877755382,0.184317857078585,0.151264424807701,0.324691197131634,-0.0601649461224382,0.172213349152009,-0.412491110044724,0.051683958239753,-0.0581369235313263,0.737074185219394,-0.239270575776718,-0.182148176847961,0.114063736579046,-0.152646975438493,-0.0107932698649101
"PhyloP-vertebrates",-0.0033464467094336,0.0510340701925534,-0.0480256108542631,0.0147828258594402,0.0365627268336229,-0.0485642418092512,-0.0510354452090838,-0.0472336789115063,0.0558963864279883,0.0538594374478623,0.79965903856759,1,0.844666129098993,0.561768438323865,-0.0462455210489489,-0.0121068619426813,0.325685618732806,0.18544176158151,0.149292127730793,0.325489170894552,-0.0997812132993216,0.2440226661715,-0.487599850471325,0.0470361280691606,-0.0532886573374111,0.727190553153198,-0.172840671283238,-0.136704583474287,0.10282112187812,-0.150763448757841,-0.0439525072756814
"GERP-mammals",-0.000148066759412831,-0.0131941758388458,-0.0880956840754847,-0.0347262149105474,0.0577580555552335,-0.0474062314262051,-0.0185956832377228,-0.0176575999200017,0.0283490055786604,0.0231573063327546,0.770168839685363,0.844666129098993,1,0.564449469662285,-0.0168500055055537,0.000766126178060503,0.272528115869452,0.13857074743504,0.10553208035553,0.286263305226214,-0.123820580470062,0.221702078091207,-0.497386301614831,0.0291654773532521,-0.0192400453880305,0.75329532915512,-0.0900504132430364,-0.0610058422365044,0.0885174788652661,-0.199191082971249,-0.0703503520638923
