"","Var1","Var2","value"
"1","Random number","Random number",0
"2","GC%","Random number",0.940168587313005
"3","Complexity","Random number",0.983215143777911
"4","CpG","Random number",0.575213399306638
"5","GA","Random number",0.96209312511899
"6","GT","Random number",0.643594815972101
"7","TA","Random number",0.749480600508774
"8","T%","Random number",0.799175209501302
"9","C%","Random number",0.899405127652653
"10","G%","Random number",0.920630649061119
"11","PhyloP-mammals","Random number",0.334403394393917
"12","PhyloP-vertebrates","Random number",0.662191404064705
"13","GERP-mammals","Random number",0.983215143777911
"14","GERP-vertebrates","Random number",0.742119746035282
"15","Tissue RPKM","Random number",0.559075955389308
"16","Primary cell RPKM","Random number",0.615993720079452
"17","H3K9ac","Random number",0.271577901490282
"18","H3K79me1","Random number",0.0297975516949004
"19","H3K79me2","Random number",0.319541455612797
"20","Chromatin Accessibility","Random number",0.181326487235459
"21","Methylome","Random number",0.629776798161847
"22","Repeat free","Random number",0.212867192927918
"23","Copies","Random number",0.908640465384812
"24","RNAcode","Random number",0.643594815972101
"25","Fickett","Random number",0.359591044287493
"26","Covariance","Random number",0.693607278188307
"27","MFE","Random number",0.79512944437269
"28","Interactions","Random number",0.923850517217576
"29","MaxEnt splicing","Random number",0.775087096879248
"30","SNPs","Random number",0.73778257055971
"31","MAF","Random number",0.742119746035282
"32","Random number","GC%",0.940168587313005
"33","GC%","GC%",0
"34","Complexity","GC%",0
"35","CpG","GC%",0
"36","GA","GC%",0
"37","GT","GC%",0
"38","TA","GC%",0
"39","T%","GC%",0
"40","C%","GC%",0
"41","G%","GC%",0
"42","PhyloP-mammals","GC%",1.232125512729e-12
"43","PhyloP-vertebrates","GC%",1.592110667222e-13
"44","GERP-mammals","GC%",0.072332215125106
"45","GERP-vertebrates","GC%",7.34613136579721e-06
"46","Tissue RPKM","GC%",0.940406521938351
"47","Primary cell RPKM","GC%",0
"48","H3K9ac","GC%",0
"49","H3K79me1","GC%",0
"50","H3K79me2","GC%",0
"51","Chromatin Accessibility","GC%",0
"52","Methylome","GC%",0
"53","Repeat free","GC%",0
"54","Copies","GC%",0
"55","RNAcode","GC%",0.122685303175653
"56","Fickett","GC%",0
"57","Covariance","GC%",3.64414381024022e-14
"58","MFE","GC%",0
"59","Interactions","GC%",0
"60","MaxEnt splicing","GC%",0
"61","SNPs","GC%",0
"62","MAF","GC%",2.68709720201835e-07
"63","Random number","Complexity",0.983215143777911
"64","GC%","Complexity",0
"65","Complexity","Complexity",0
"66","CpG","Complexity",0
"67","GA","Complexity",0
"68","GT","Complexity",7.98519290996853e-07
"69","TA","Complexity",0.0706565315695191
"70","T%","Complexity",0.000621288542754705
"71","C%","Complexity",0.0589307141040766
"72","G%","Complexity",0.455447281162767
"73","PhyloP-mammals","Complexity",0.00110627766188814
