"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Random number",0,0.940168587313005,0.983215143777911,0.575213399306638,0.96209312511899,0.643594815972101,0.749480600508774,0.799175209501302,0.899405127652653,0.920630649061119,0.334403394393917,0.662191404064705,0.983215143777911,0.742119746035282,0.559075955389308,0.615993720079452,0.271577901490282,0.0297975516949004,0.319541455612797,0.181326487235459,0.629776798161847,0.212867192927918,0.908640465384812,0.643594815972101,0.359591044287493,0.693607278188307,0.79512944437269,0.923850517217576,0.775087096879248,0.73778257055971,0.742119746035282
"GC%",0.940168587313005,0,0,0,0,0,0,0,0,0,1.232125512729e-12,1.592110667222e-13,0.072332215125106,7.34613136579721e-06,0.940406521938351,0,0,0,0,0,0,0,0,0.122685303175653,0,3.64414381024022e-14,0,0,0,0,2.68709720201835e-07
"Complexity",0.983215143777911,0,0,0,0,7.98519290996853e-07,0.0706565315695191,0.000621288542754705,0.0589307141040766,0.455447281162767,0.00110627766188814,4.37889041266387e-12,0,0.562525643285051,0,0,1.65725104069837e-06,7.93997591921094e-07,0.149069279663538,0,0,9.87258084049143e-15,0,7.00000899350447e-10,0,0,0,0,4.05483251785943e-05,0,0
"CpG",0.575213399306638,0,0,0,1.02561571272789e-08,0.0327221056462429,0.19485901846776,0,0,0,0.0106745210887262,0.0377244344651771,1.21420201477085e-06,0.398424662077919,3.83239561878517e-05,0,0,0,0,0,0,0,0,1.19219370972104e-09,0,0,0,0,3.24867966530117e-06,0,0
"GA",0.96209312511899,0,0,1.02561571272789e-08,0,0,0,2.41515116102924e-05,0.00173102315899325,0.000156923025973376,2.90692547202437e-08,1.46413213760173e-07,4.2315877577926e-16,0.131942192347293,0.00768281747949565,0.0108558712041166,3.39488437361979e-11,6.13180763339857e-08,0.000990240757181751,8.39436921058045e-16,0.0294730662321086,3.9761133839336e-08,0,0.0699151893236984,0.000385435874266103,0,6.25081498585333e-06,0,3.06520995635799e-11,0.000237740319828678,0.742119746035282
"GT",0.643594815972101,0,7.98519290996853e-07,0.0327221056462429,0,0,0,6.25840553090149e-10,1.34225963677181e-13,0.0129187396294148,2.50811517303983e-15,2.23570239812007e-12,2.66685109615319e-11,1.30537455121465e-05,0.267769621211459,0.000862048977181649,0,1.44279038358152e-05,1.08625874542295e-06,5.26961664716594e-07,3.32263846066401e-11,1.31953650065777e-13,1.69440337507891e-08,0.0883276863534173,0.0710701944803702,9.370258482677e-06,0.141739282679566,0,0.0051569653265665,0.00316875029186166,0.563087039399809
"TA",0.749480600508774,0,0.0706565315695191,0.19485901846776,0,0,0,0,0,0,1.28062934933506e-13,1.592110667222e-13,0.0104296970636933,0.00183518775873337,0.1620129061418,0,0,0,0,0,0,0,0.0327231569598967,0.0171891947992927,9.59757569343035e-06,0.592036643038931,0,0,0,0,0.000113487979792018
"T%",0.799175209501302,0,0.000621288542754705,0,2.41515116102924e-05,6.25840553090149e-10,0,0,0,0,2.11585799386233e-13,8.94362442985464e-12,0.015186808307515,1.89982500968347e-06,4.06218060350678e-09,0,0,0,0,0,1.14859879183562e-11,7.92236622529529e-07,0.00571346763900915,0.00751778184328019,0.8074846779682,0.107936735926227,0,0,4.49964320019285e-14,0,0.0830627067268553
"C%",0.899405127652653,0,0.0589307141040766,0,0.00173102315899325,1.34225963677181e-13,0,0,0,0,0,8.39436921058045e-16,7.99203292350285e-05,4.93969842547647e-05,0.0088554057050319,0,0,0,0,0,0,0.00372527857805152,0.616677019593841,2.07927971573874e-06,0.00505104051301026,0.141568824343948,0,0,0,0,0.000855221103862563
"G%",0.920630649061119,0,0.455447281162767,0,0.000156923025973376,0.0129187396294148,0,0,0,0,0,6.60804744256893e-15,0.00134120078423689,3.57719103682373e-14,6.1359289813334e-05,0,0,0,0,0,0,1.83012397162221e-06,0.766078758963519,0.00427944546672739,0.0640403767844997,0.466761122908844,0,0,0,0,0.335576878943702
