"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Random number",1,0.00996206244296223,-0.0111564614561278,0.00537393318603087,0.00067840794769102,0.00110770244747757,-0.00903508118560903,-0.00551083263696976,0.0097374891591521,0.00392609379090506,0.00811249646700565,0.0138359553767575,0.00695430134273722,-0.005093307142346,0.00578224941024337,0.00194721434354066,-0.000547018165603414,0.00113857676643976,0.00255214233675332,0.00849109885201431,0.00794497381448662,0.00197663358307838,-0.00382427854664697,0.0108571501673842,0.010600930219768,0.00885476102432455,-0.00648343296695105,-0.0041523422534945,0.00275135724785418,-0.00355646540139522,-0.00702124501460743
"GC%",0.00996206244296223,1,-0.148222424914733,0.179338953439317,0.0647771441222271,-0.0788735521106433,-0.459559567941698,-0.217935642285627,0.241570953709299,0.236069728812597,0.0736795388890723,0.0884800376688457,0.0371389559432608,0.0261372180747435,0.0713342311800321,0.215202798278816,0.394279340362047,0.251681140511694,0.169508421749951,0.457439283293448,0.292425919117383,0.139847699480659,0.0280469044109261,0.118320792372452,0.0944705532687595,-0.0085211127885115,-0.530534180508012,-0.466399374696368,0.0456125975088089,0.266500098879215,0.0229395694440967
"Complexity",-0.0111564614561278,-0.148222424914733,1,0.0999972098227946,-0.0722823343821847,-0.0286997840878423,-0.0481129132616413,0.0147114369604317,0.00648191856619564,-0.0186130430591745,-0.137628516838128,-0.136581135188108,-0.154443735957615,-0.0681695386053332,-0.0942515060379693,-0.0773628299645115,-0.0685962082058723,-0.0808631308159511,-0.0641103924525703,-0.0880257312145021,-0.00611613790379985,-0.0494227597904885,0.196578268214815,-0.095168783985283,-0.144055728583647,-0.209380841713478,-0.00435216174532793,0.0123181424516025,-0.0454186614493495,0.334414309040441,0.177880151337342
"CpG",0.00537393318603087,0.179338953439317,0.0999972098227946,1,-0.0125560853984908,0.0196424575139883,-0.00304977183861663,-0.0952803161832833,0.0838600782059718,0.0944698057828849,0.0489650970684076,0.0538294791237465,0.0238561355212363,0.0142322322538375,0.0830420347375618,0.125428575080547,0.202973608767846,0.116884029379313,0.130218065720219,0.114867856985723,0.517905639485781,0.0851675247606863,0.0982118603663171,0.150596551687154,-0.0472831460951597,-0.0595493967385343,-0.10611608065307,-0.074161951004625,0.0316370774795271,0.325335118781236,0.0848821432548112
"GA",0.00067840794769102,0.0647771441222271,-0.0722823343821847,-0.0125560853984908,1,-0.31267909500259,-0.310649154570182,-0.0346168057905964,0.00535928841348684,0.0304051259240002,0.109785627410567,0.11047458273915,0.100960500337651,0.0666739396245186,0.0701377455323749,0.0633170547915276,0.0405358775559202,0.0733863693555792,0.0653095740462214,0.0374493692410013,0.0129059176543655,0.0309138579385914,-0.0850826778232104,0.126388810949295,0.0480684178609952,0.0997661259916792,-0.0299189050895308,-0.0540603900579259,0.04634653441182,-0.0656057045907775,-0.0308184582218419
"GT",0.00110770244747757,-0.0788735521106433,-0.0286997840878423,0.0196424575139883,-0.31267909500259,1,0.126692111231126,0.0216076459338805,-0.0297040745758551,-0.0115661929255823,-0.0576794423271966,-0.0551444717073838,-0.0520844275200514,-0.0301797309009838,0.00353644588057575,-0.0210716682278304,-0.0416664968971936,-0.0215837410219899,-0.0184833777726861,-0.0263068947411487,0.0414317087684466,-0.0423654392677121,0.0379816966959955,-0.0165786021255302,0.0273953766133696,-0.0341755190045289,0.0146596060448022,0.105447229857126,-0.00280279457076669,-0.0123115956433754,-0.000108524145733861
"TA",-0.00903508118560903,-0.459559567941698,-0.0481129132616413,-0.00304977183861663,-0.310649154570182,0.126692111231126,1,0.12026441130433,-0.118914140920812,-0.124243967300037,-0.113306773118661,-0.116383736843344,-0.0827101708870912,-0.0627036260588343,-0.0894242751950722,-0.1423914765218,-0.206731824369972,-0.147574325178997,-0.109662327372774,-0.215902668818255,-0.113436698350247,-0.106825977653824,0.0317451820358858,-0.13594814080899,-0.0407788939421282,-0.0395671546586543,0.226972011333115,0.190138141212015,-0.0455596464841494,-0.118512647826925,-0.00729811334971276
"T%",-0.00551083263696976,-0.217935642285627,0.0147114369604317,-0.0952803161832833,-0.0346168057905964,0.0216076459338805,0.12026441130433,1,-0.406390450248645,-0.615438946303002,-0.0614950537773185,-0.0707358797135052,-0.0485348887900676,-0.0452795445403232,-0.0928518307636556,-0.152351838234623,-0.148757189196477,-0.118238770373766,-0.10507281071872,-0.123579294922274,-0.0673805207925108,-0.0586083238977946,0.030362734378673,-0.127831973120315,-0.0310291366851268,-0.0198827453836733,0.110727260826594,0.0989804956097332,-0.0365570300030765,-0.05075575218348,0.010792596388291
"C%",0.0097374891591521,0.241570953709299,0.00648191856619564,0.0838600782059718,0.00535928841348684,-0.0297040745758551,-0.118914140920812,-0.406390450248645,1,0.179907308008168,0.0304135705337726,0.0286779566521274,0.0134794237215229,0.00887156199896634,0.0537822541934857,0.121879560344618,0.157157870211324,0.0906088772088809,0.0721714682850257,0.137509247965527,0.0671329830196025,0.0546161842784408,-0.0103738816013986,0.0678146027681728,0.0150067173688557,0.00506448032481569,-0.14159239624554,-0.11292202181991,0.0287154756438414,0.0831160247118765,0.00434638806015679
"G%",0.00392609379090506,0.236069728812597,-0.0186130430591745,0.0944698057828849,0.0304051259240002,-0.0115661929255823,-0.124243967300037,-0.615438946303002,0.179907308008168,1,0.0639016459727761,0.0674265833666792,0.046876483050815,0.048386862033078,0.0818844515422421,0.159333020878917,0.157717887724417,0.134431182666792,0.106548061132389,0.129019501841111,0.0858380450913397,0.044346806840057,-0.0161122991723954,0.13639593309735,0.0276945727806115,0.0229185101989447,-0.154081151564206,-0.106022630281753,0.0640876158282578,0.0530113043818341,-0.0138322108142628
"PhyloP-mammals",0.00811249646700565,0.0736795388890723,-0.137628516838128,0.0489650970684076,0.109785627410567,-0.0576794423271966,-0.113306773118661,-0.0614950537773185,0.0304135705337726,0.0639016459727761,1,0.839678957632785,0.829900320903294,0.636799597789875,0.182474961230497,0.173839192801286,0.329770335671488,0.271528343263426,0.254626910698568,0.303014445605906,-0.0412544538802347,0.227575385342868,-0.588745240986646,0.381585817077676,0.0626813370011379,0.777096675132541,-0.0934423221829799,-0.0594355278440897,0.165758541554971,-0.219157255081604,-0.13313837840991
"PhyloP-vertebrates",0.0138359553767575,0.0884800376688457,-0.136581135188108,0.0538294791237465,0.11047458273915,-0.0551444717073838,-0.116383736843344,-0.0707358797135052,0.0286779566521274,0.0674265833666792,0.839678957632785,1,0.876284361528415,0.637875783441443,0.198843228268127,0.184531722491038,0.327794318668645,0.269657480342108,0.250490986556142,0.298764135895413,-0.0505102978016437,0.277082104290449,-0.618816300092134,0.399169821460027,0.0547393908335943,0.740881465892884,-0.0792658285096327,-0.0599415910765088,0.171657525483935,-0.212395294770151,-0.13361998898169
