"","Var1","Var2","value"
"1","Random number","Random number",1
"2","GC%","Random number",0.0104151919643851
"3","Complexity","Random number",-0.00966472869928264
"4","CpG","Random number",-0.00914772479017256
"5","GA","Random number",-0.000664028742020619
"6","GT","Random number",-0.00178108386455365
"7","TA","Random number",0.0044797130896539
"8","T%","Random number",-0.00379853397197844
"9","C%","Random number",0.0138732945782881
"10","G%","Random number",0.00397199155675599
"11","PhyloP-mammals","Random number",-0.00378948902427271
"12","PhyloP-vertebrates","Random number",-0.0117074829397785
"13","GERP-mammals","Random number",-0.00755912612631884
"14","GERP-vertebrates","Random number",-0.00271218463482177
"15","Tissue RPKM","Random number",0.0175483899080151
"16","Primary cell RPKM","Random number",0.00722256506538957
"17","H3K9ac","Random number",0.017892897561544
"18","H3K79me1","Random number",0.00247514994715651
"19","H3K79me2","Random number",-0.00144108873985355
"20","Chromatin Accessibility","Random number",0.00628598757335585
"21","Methylome","Random number",0.00243203742190939
"22","Repeat free","Random number",-0.00889958458689459
"23","Copies","Random number",0.00135096911639488
"24","RNAcode","Random number",0.00593166052549113
"25","Fickett","Random number",0.00277868328079732
"26","Covariance","Random number",0.000393488327256772
"27","MFE","Random number",-0.00165567907357598
"28","Interactions","Random number",-0.00106422524967799
"29","MaxEnt splicing","Random number",0.00103156428485402
"30","SNPs","Random number",-0.00327447777261935
"31","MAF","Random number",0.00506230447333004
"32","Random number","GC%",0.0104151919643851
"33","GC%","GC%",1
"34","Complexity","GC%",-0.125418716403477
"35","CpG","GC%",0.23962221722262
"36","GA","GC%",0.0166083360411879
"37","GT","GC%",-0.102894896057477
"38","TA","GC%",-0.379105851519092
"39","T%","GC%",-0.702029440375051
"40","C%","GC%",0.749140817253363
"41","G%","GC%",0.761435909124814
"42","PhyloP-mammals","GC%",0.174618161787222
"43","PhyloP-vertebrates","GC%",0.150174496304234
"44","GERP-mammals","GC%",0.107711572865392
"45","GERP-vertebrates","GC%",0.128828915560624
"46","Tissue RPKM","GC%",0.0732199536345646
"47","Primary cell RPKM","GC%",0.185360401322043
"48","H3K9ac","GC%",0.28708831934214
"49","H3K79me1","GC%",0.08544439812963
"50","H3K79me2","GC%",0.179894665461254
"51","Chromatin Accessibility","GC%",0.508421037532931
"52","Methylome","GC%",0.282939184502984
"53","Repeat free","GC%",0.18246216663092
"54","Copies","GC%",0.00736011555064065
"55","RNAcode","GC%",0.0266349100098088
"56","Fickett","GC%",0.0240589391781708
"57","Covariance","GC%",0.0685050872182799
"58","MFE","GC%",-0.671113167956465
"59","Interactions","GC%",-0.448772858309288
"60","MaxEnt splicing","GC%",-0.0247713252482128
"61","SNPs","GC%",0.330552105675028
"62","MAF","GC%",0.0352971867053504
