"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Random number",1,0.0104151919643851,-0.00966472869928264,-0.00914772479017256,-0.000664028742020619,-0.00178108386455365,0.0044797130896539,-0.00379853397197844,0.0138732945782881,0.00397199155675599,-0.00378948902427271,-0.0117074829397785,-0.00755912612631884,-0.00271218463482177,0.0175483899080151,0.00722256506538957,0.017892897561544,0.00247514994715651,-0.00144108873985355,0.00628598757335585,0.00243203742190939,-0.00889958458689459,0.00135096911639488,0.00593166052549113,0.00277868328079732,0.000393488327256772,-0.00165567907357598,-0.00106422524967799,0.00103156428485402,-0.00327447777261935,0.00506230447333004
"GC%",0.0104151919643851,1,-0.125418716403477,0.23962221722262,0.0166083360411879,-0.102894896057477,-0.379105851519092,-0.702029440375051,0.749140817253363,0.761435909124814,0.174618161787222,0.150174496304234,0.107711572865392,0.128828915560624,0.0732199536345646,0.185360401322043,0.28708831934214,0.08544439812963,0.179894665461254,0.508421037532931,0.282939184502984,0.18246216663092,0.00736011555064065,0.0266349100098088,0.0240589391781708,0.0685050872182799,-0.671113167956465,-0.448772858309288,-0.0247713252482128,0.330552105675028,0.0352971867053504
"Complexity",-0.00966472869928264,-0.125418716403477,1,0.142195275073114,-0.082229161186769,-0.0711948092468098,-0.0815263048857926,0.0257828411915631,-0.0793331594070415,-0.137799882020159,-0.0385211633496964,-0.0423634609360599,-0.0822546849984053,0.0017784643410523,-0.0307727363234433,-0.0227563897024993,-0.00711607198192028,-0.0187030516884433,0.00499105709036459,-0.0538029549054871,-0.0129569691366191,-0.00155150055377793,0.0609712029074295,0.0250036194497723,-0.146010466424859,-0.135835519618249,0.08848952166519,-0.0059220553593429,-0.0984809003609177,0.314641188636591,0.187664789593153
"CpG",-0.00914772479017256,0.23962221722262,0.142195275073114,1,-0.0125043677170565,-0.0513472517206162,0.00674170131241514,-0.193799340967132,0.194729576354207,0.19154854120778,0.132459776778242,0.12203769623891,0.104840399943016,0.0869983092298197,0.132878716732685,0.178523014684587,0.204306828485921,0.0141946560667649,0.147791481368682,0.245244061929722,0.542195891932141,0.16520155117534,0.0324394553901057,0.0370017500806392,-0.117223916547488,0.00313422526711859,-0.154711031746083,-0.1230717090587,-0.125317486790404,0.436318287963334,0.105135889855617
"GA",-0.000664028742020619,0.0166083360411879,-0.082229161186769,-0.0125043677170565,1,-0.311226582777519,-0.303140442500413,-0.0177824374379172,-0.10410248133123,0.138066667529524,0.0378528917707245,0.0486331236567674,0.0617159134622688,0.0494196111134886,0.0596022513669224,0.019146837147915,-0.00221325164256321,0.0290246773627619,0.03707320760327,-0.0119916360780524,0.0290138250316846,0.064919151558081,-0.0454506421566253,0.0071469207238148,0.0380032597962051,0.0423044796484948,-0.0201637857576276,-0.00871885134087426,0.00282464010221857,-0.00586200674383221,-0.00997807045036292
"GT",-0.00178108386455365,-0.102894896057477,-0.0711948092468098,-0.0513472517206162,-0.311226582777519,1,0.141904944746169,0.130592305040648,-0.14554649726259,-0.016780752297343,-0.0665092358607914,-0.0789114266385585,-0.0572830823122396,-0.0629225311885158,0.0283742085234643,0.0425789152171629,-0.0584136925636445,0.00799394904359306,-0.0470633419307577,-0.0468948237046626,0.026820264349705,-0.0990000692668703,0.0610871064119551,-0.00260161965539709,0.0604613910741338,-0.0144378270381892,0.0308000851631788,0.156450121429095,0.116630154857822,-0.0678399979734491,-0.00474324066469394
"TA",0.0044797130896539,-0.379105851519092,-0.0815263048857926,0.00674170131241514,-0.303140442500413,0.141904944746169,1,0.284924583758486,-0.298454683290633,-0.273355089095425,-0.0713354034353384,-0.0632247658744225,-0.0398919839291125,-0.0700305558104485,-0.0171138256989412,-0.0440860326943434,-0.098209280421468,-0.0392455695111691,-0.0814903736999018,-0.157821266281295,-0.107900332107225,-0.0847323359741564,0.0183942602622671,-0.02013199623625,0.006956181540897,-0.0173876060959549,0.234390377084971,0.161581097788501,0.044697821281008,-0.129745719107708,-0.0410964647247396
"T%",-0.00379853397197844,-0.702029440375051,0.0257828411915631,-0.193799340967132,-0.0177824374379172,0.130592305040648,0.284924583758486,1,-0.471946878771988,-0.601307024066045,-0.112932763826929,-0.100989808056158,-0.0629158597549018,-0.113232972196522,-0.0264563336770393,-0.0940011291844856,-0.215797657101027,-0.0170224211666752,-0.109528498166459,-0.368425237746793,-0.16384692738704,-0.150687137821164,0.00703703206394827,-0.028990005006723,-0.0396670797340798,-0.0225282388357391,0.423754281595385,0.340490759752533,0.0555681704147491,-0.270560236528792,-0.044408463919302
"C%",0.0138732945782881,0.749140817253363,-0.0793331594070415,0.194729576354207,-0.10410248133123,-0.14554649726259,-0.298454683290633,-0.471946878771988,1,0.195694928448022,0.133287837506224,0.104808626127516,0.0775963925941128,0.0896593119850982,0.0215168718179512,0.113857396962272,0.223759316544796,0.069126338101118,0.150195161741317,0.381895713616133,0.220233166747854,0.130443936413013,0.00924396141514364,0.0274960313225398,0.0777210150362009,0.0442725781547688,-0.399810166607687,-0.36523572191033,-0.0178604609005708,0.243097125258408,0.0166920849272291
"G%",0.00397199155675599,0.761435909124814,-0.137799882020159,0.19154854120778,0.138066667529524,-0.016780752297343,-0.273355089095425,-0.601307024066045,0.195694928448022,1,0.14993672007037,0.130321971589065,0.101310542172837,0.125195270236944,0.11376901473151,0.188469083630071,0.222958207917725,0.0630416765904885,0.149125867743756,0.401713681515534,0.217582861121197,0.152319557302493,0.00760036156070472,0.0200161438350566,-0.022636502660459,0.0680533537688484,-0.673184643270677,-0.287263372692397,-0.0157564184175008,0.256684921017843,0.0224614569106082
