"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Random number",0,0.321971052471825,0.362601836040072,0.39060213761701,0.951036465296708,0.87941255630792,0.686826632477151,0.73865087674194,0.17734523095548,0.726159874899671,0.738760167790719,0.262054477521355,0.509926640247116,0.845437721694489,0.0842535771341717,0.506697467181255,0.0786312808553104,0.832532366752256,0.898169259431759,0.562553798161374,0.834259553543116,0.403797847653208,0.903894721833289,0.587839299045166,0.810785023162146,0.969911918965576,0.888010463609271,0.923722616364282,0.924440020839212,0.776909602939269,0.648380378455937
"GC%",0.321971052471825,0,0,0,0.10262089436631,0,0,0,0,0,0,0,0,0,4.55517976280027e-14,0,0,0,0,0,0,0,0.499058362635831,0.00785402618033305,0.0163428572326132,3.86024545662167e-12,0,0,0.0133328631582899,0,0.000384371967724433
"Complexity",0.362601836040072,0,0,0,0,2.40918396343659e-13,0,0.00996049359659064,0,0,9.81223824821909e-05,1.85972100464227e-05,8.82484968291791e-16,0.898169259431759,0.00196216913956039,0.0237583050971762,0.511154865569607,0.0662560349491815,0.650033626039062,3.65893998132407e-08,0.209835778615442,0.89496457849965,4.21191300666385e-10,0.0129404169384424,0,0,0,0.587839299045166,0,0,0
"CpG",0.39060213761701,0,0,0,0.226732710067624,1.47923697457752e-07,0.533346227325371,0,0,0,0,0,0,2.81516306864544e-13,0,0,0,0.167295895457471,0,0,0,0,0.00108033125678111,0.000182656919708495,0,0.788707203272627,0,0,0,0,0
"GA",0.951036465296708,0.10262089436631,0,0.226732710067624,0,0,0,0.0800094653032218,0,0,0.000127408727848127,7.93355632620876e-07,1.96785510772085e-09,4.22061110662427e-05,9.32857250093239e-10,0.0594281698421655,0.845437721694489,0.00353599547108664,0.000167707295004445,0.247050125840885,0.00353599547108664,2.46928432905185e-11,3.64794024454668e-06,0.511154865569607,0.00011358299013256,2.21713454456007e-05,0.0465395872627236,0.414019116298564,0.808771479389781,0.593244272964704,0.349147040974545
"GT",0.87941255630792,0,2.40918396343659e-13,1.47923697457752e-07,0,0,0,0,0,0.0990091051347664,9.18603817351162e-12,8.82484968291791e-16,2.68492150251839e-08,1.54603019970983e-07,0.00437052209198744,1.4461035415132e-05,2.02263864888586e-09,0.458711983672948,1.54815515981867e-06,1.68298803415503e-06,0.00718673916019968,0,3.72690078032472e-10,0.824593532967648,5.31230167586577e-10,0.166849595203432,0.00192297492132347,0,0,4.22171630987123e-12,0.670229300295429
"TA",0.686826632477151,0,0,0.533346227325371,0,0,0,0,0,0,2.43316296073075e-13,1.06896010704645e-10,0.000124610507785992,4.78431626419461e-09,0.0925786676017461,6.95582862297722e-06,0,6.63018888814852e-05,0,0,0,0,0.0709708392465188,0.0477108713726891,0.51932057494428,0.0925786676017461,0,0,5.15556745199756e-06,0,3.30537980008197e-05
"T%",0.73865087674194,0,0.00996049359659064,0,0.0800094653032218,0,0,0,0,0,0,0,9.35106000123446e-10,0,0.00802702113260087,0,0,0.0942991258400791,0,0,0,0,0.515577422309427,0.00369092728215584,5.49110541319091e-05,0.0273144381062172,0,0,1.20904899717249e-08,0,6.95582862297722e-06
"C%",0.17734523095548,0,0,0,0,0,0,0,0,0,0,0,3.65951994446064e-14,5.09773534403199e-14,0.0327051251112515,0,0,1.11687082346773e-12,0,0,0,0,0.386582991650204,0.00602281616830492,8.82484968291791e-16,8.78931131953139e-06,0,0,0.0789869550707896,0,0.103246315233387
"G%",0.726159874899671,0,0,0,0,0.0990091051347664,0,0,0,0,0,0,0,0,0,0,0,9.27276025095457e-11,0,0,0,0,0.484860049591712,0.0488615233251943,0.0243148149877208,5.3155620675346e-12,0,0,0.122946571263427,0,0.0265838668158651
"PhyloP-mammals",0.738760167790719,0,9.81223824821909e-05,0,0.000127408727848127,9.18603817351162e-12,2.43316296073075e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662560349491815,2.37220711393874e-13,0,0,0.000293634815502801,2.50895236345225e-11,0.923722616364282,0
"PhyloP-vertebrates",0.262054477521355,0,1.85972100464227e-05,0,7.93355632620876e-07,8.82484968291791e-16,1.06896010704645e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190777120560345,6.75810322615094e-07,0,0,0.0253187004345899,2.25719239215665e-05,0.253647145214273,0
"GERP-mammals",0.509926640247116,0,8.82484968291791e-16,0,1.96785510772085e-09,2.68492150251839e-08,0.000124610507785992,9.35106000123446e-10,3.65951994446064e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740039361424763,2.48735951144098e-06,0,0,0.553835786671731,1.69151558425631e-06,0.00703709939184552,0
"GERP-vertebrates",0.845437721694489,0,0.898169259431759,2.81516306864544e-13,4.22061110662427e-05,1.54603019970983e-07,4.78431626419461e-09,0,5.09773534403199e-14,0,0,0,0,0,0,1.78912215676841e-12,0,0,0,0,0,0,0,0.00189256051286717,1.14325233282592e-06,0,0,0.00878407848815378,3.5996827754976e-07,0.126695856934928,0
"Tissue RPKM",0.0842535771341717,4.55517976280027e-14,0.00196216913956039,0,9.32857250093239e-10,0.00437052209198744,0.0925786676017461,0.00802702113260087,0.0327051251112515,0,0,0,0,0,0,0,0,0,0,4.4697290601792e-16,0.171473723212294,0,0.988060174035727,0.15484302322023,0.245853391870396,5.66709684230398e-10,7.58179459385662e-09,0,0.614369325578479,0,4.80692699186824e-11
"Primary cell RPKM",0.506697467181255,0,0.0237583050971762,0,0.0594281698421655,1.4461035415132e-05,6.95582862297722e-06,0,0,0,0,0,0,1.78912215676841e-12,0,0,0,0,0,0,0,0,0.642674395491628,0.498175930758985,0.0709708392465188,1.44379667281232e-13,0,2.62323598740557e-10,0.898169259431759,0,1.44376036549771e-14
"H3K9ac",0.0786312808553104,0,0.511154865569607,0,0.845437721694489,2.02263864888586e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19098396699526e-05,0,0,0.0142562993889983,1.66118546931315e-05,0,0,0,0.743999367624069,0,2.51979142435075e-05
"H3K79me1",0.832532366752256,0,0.0662560349491815,0.167295895457471,0.00353599547108664,0.458711983672948,6.63018888814852e-05,0.0942991258400791,1.11687082346773e-12,9.27276025095457e-11,0,0,0,0,0,0,0,0,0,0,3.87957403819496e-12,1.75745942621514e-15,1.07150540292385e-07,0.938203270941837,0.000127408727848127,0,0,0.143778268529504,2.34977425171855e-09,0.839172889048754,0.0172898735401442
"H3K79me2",0.898169259431759,0,0.650033626039062,0,0.000167707295004445,1.54815515981867e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04749831877006e-08,0,0,0.00286896642368615,0.00160013783495138,0,0,7.01994567358283e-05,0.617049583251482,0,1.29585135351821e-06
"Chromatin Accessibility",0.562553798161374,0,3.65893998132407e-08,0,0.247050125840885,1.68298803415503e-06,0,0,0,0,0,0,0,0,4.4697290601792e-16,0,0,0,0,0,0.000313301397917089,0,0,0.0735691894984086,0.209835778615442,0,0,0,0.0163428572326132,0,0.00443744951518738
"Methylome",0.834259553543116,0,0.209835778615442,0,0.00353599547108664,0.00718673916019968,0,0,0,0,0,0,0,0,0.171473723212294,0,5.19098396699526e-05,3.87957403819496e-12,2.04749831877006e-08,0.000313301397917089,0,5.62251421440137e-08,0,0.398400181095128,0,0,0,0,0.441803337525594,0,0
"Repeat free",0.403797847653208,0,0.89496457849965,0,2.46928432905185e-11,0,0,0,0,0,0,0,0,0,0,0,0,1.75745942621514e-15,0,0,5.62251421440137e-08,0,0,0.019439905860395,4.58222740796961e-11,0,0,3.24193871631235e-06,0.845437721694489,0,0.0020207737242514
"Copies",0.903894721833289,0.499058362635831,4.21191300666385e-10,0.00108033125678111,3.64794024454668e-06,3.72690078032472e-10,0.0709708392465188,0.515577422309427,0.386582991650204,0.484860049591712,0,0,0,0,0.988060174035727,0.642674395491628,0,1.07150540292385e-07,0,0,0,0,0,0.19311482222406,0,0,0.000323023907061197,0.0129218787695509,9.37860900052101e-14,0,0
"RNAcode",0.587839299045166,0.00785402618033305,0.0129404169384424,0.000182656919708495,0.511154865569607,0.824593532967648,0.0477108713726891,0.00369092728215584,0.00602281616830492,0.0488615233251943,0.0662560349491815,0.190777120560345,0.0740039361424763,0.00189256051286717,0.15484302322023,0.498175930758985,0.0142562993889983,0.938203270941837,0.00286896642368615,0.0735691894984086,0.398400181095128,0.019439905860395,0.19311482222406,0,0.228294307308239,0.540377406995223,0.00325542442923697,0.95307054070107,0.156241915049304,0.0015586884782119,0.0477740329815987
