"RNAID","Dataset","GC_percentage","GA","GT","CpG","TA","phyloP_max_241w","phyloP_max_100w","RPKM_tissue","RPKM_primary.cell","copy_number","repeat_distance","Interaction_ave","MFE","SNP_density","MAF_avg","fickett","GERP_91_mammals_max","GERP_63_amniotes_max","lowComplexity_density","Max_covariance","coding_potential","methylome","H3K9ac_MaxScaledSignal","H3K79me2_MaxScaledSignal","chrm_acc_MaxScaledSignal","H3K79me1_MaxScaledSignal","Random","T","C","G","MaxEnt_splicing"
"RNA1001","lncrna-exon1-negative-control",1.83076063286504,1.85484958856064,0.706609367070719,2.25378619629984,-2.07343455690953,-1.30431997882231,NA,-0.211982810121216,3.51999865101848,7.2507756643734,-0.771055597058928,0.213782083470469,0.424352147898292,9.19758115699656,-0.59009826791552,-0.472058237031461,NA,NA,0,-0.952450708905247,0,-0.162200431828035,0,0,15.1751247687517,0,-0.575076489380663,-1.94429017424413,1.59363729393212,2.65452452892245,-0.585748233642756
"RNA1002","lncrna-exon1-negative-control",2.50525139234164,0.674490759476596,-0.192711645564742,3.09278689711219,-2.12339683538928,-1.30431997882231,NA,-0.635948430363647,1.28574801025226,14.3329286388776,-0.917365957032159,-0.560970815928323,-1.29017409702584,5.3912047167704,9.35458310303921,-1.24331098406259,NA,NA,8.14716496793096,-0.959456822699065,0,-0.40224716071277,0,0,15.1751247687517,0,-0.146481358137202,-1.04541891153377,2.31164306424707,1.8285502938224,-0.585748233642756
"RNA1003","lncrna-exon1-negative-control",2.3125397467769,-1.48387967084851,-2.3125397467769,1.62864841922397,0.149886835439243,-1.30431997882231,-1.54607546458762,-0.635948430363647,0,5.39592607581276,-0.58231523269346,-0.377018790616524,-0.96438650137198,-2.93708957641538,-0.69136925778881,-0.380508697386331,NA,NA,0,-0.931736981167002,0,-2.39619333593219,0,0,-0.674490759476595,0,1.14499663695137,-0.768594291295458,1.16218257934375,1.610843177551,-0.96105016799655
"RNA1004","lncrna-exon1-negative-control",1.73440481008267,-2.63051396195872,-0.160593037970618,0.904804677346652,1.27403810123357,-0.823193387412368,-0.633461475074096,-0.55886377213775,0.189700526102792,5.39592607581276,-0.54427453910042,0.440821970567012,-0.472944196063613,-3.40487786408585,-0.69136925778881,-1.13697704671079,NA,NA,0,-0.941332310928101,0,-2.37249330776882,0,0,-0.674490759476595,0,1.13963404146902,-0.621632305926886,0.989600693508419,1.610843177551,-0.96105016799655
"RNA1005","lncrna-exon1-negative-control",0.385423291129483,-1.68622689869149,0.289067468347112,0.855451694945926,1.32400037971332,-0.625261561832329,-0.426397796781111,-0.327609797460061,0,5.73317145555106,-0.326272102740305,-0.0787182090298243,-0.141634776754602,-3.51430050838587,-0.69136925778881,-0.777223369181895,NA,NA,0,-0.511674767181127,0,-2.35768085636094,0,0,-0.674490759476595,0,0.453799330010521,0.89618475801423,-0.493118949313505,1.41071073203711,0.122528109467561
"RNA1006","lncrna-exon1-negative-control",-1.15626987338845,1.45015513287468,-1.02779544301195,-0.641588771209445,0.399698227837982,-0.36389004856638,-1.01461202363563,1.92711645564741,0.126467017401862,-0.505868069607446,1.2816787533655,0.261013008888363,0.507179502725545,0.938452104192263,0.284337779259623,0.864413406939164,-0.607041683528936,NA,0,0.237065567827779,0,-2.40211836188567,0,0,-0.484665502739703,0,0.847991348697961,0.994949533127525,-0.563636279009669,-1.08533364682528,-1.19982449705372
"RNA1007","lncrna-exon1-negative-control",-1.15626987338845,1.38270605692702,-1.6380489873003,-0.625137777075869,-0.0749434177196218,-0.36389004856638,-1.01461202363563,1.92711645564741,0.126467017401862,-0.505868069607446,-0.763740079060266,1.47824510430743,0.302872027484988,1.0209042709902,0.412224862625253,-0.069278171304958,-0.607041683528936,NA,0,-0.0421128361737109,0,-2.40211836188567,0,0,-0.570273277833757,0,0.51922299489523,0.774506555074654,-0.736218164844998,-0.998360200877661,-0.717019498342936
"RNA1008","lncrna-exon1-negative-control",2.50525139234164,0.472143531633617,-0.610253544288348,0.789647718411624,-0.149886835439244,0.649114884402231,0.289122247097983,1.92711645564741,3.39353163361662,-0.674490759476595,11.5848543026804,-0.829441339356354,-1.60215713354183,1.84548695814949,-0.392100499252997,-0.633738894003088,0.556159047287719,1.29709761437807,0,-0.064501938949608,0,-0.282446965363784,8.19981465072648,0,26.3741707114196,11.1433797308347,-0.305461688821735,-0.842075283979757,1.67992823684978,2.39360419107959,-0.270690401062288
"RNA1009","lncrna-exon1-negative-control",2.89067468347112,-5.22730338594361,-1.73440481008267,1.6780014016247,-0.5745662025171,-1.28300424375984,-0.121170596927006,5.35738374669981,3.03520841764468,209.766626197221,-0.0936386303828679,0.98936359559589,0.0599117866583796,2.80040661350889,6.72737992344173,-0.289717331982569,-1.14426765686643,-1.02399147529557,0,-0.970118300211397,0,0.570149752003061,1.13643705174015,0,2.10164774866073,0,0.510807845061383,-0.419362046494856,2.76830754913395,0.026617183623344,0.896562995596899
"RNA1010","lncrna-exon1-negative-control",1.73440481008267,-1.58505328477,0.0321186075941236,0.690941753610171,-1.97350999995004,-0.00964283252825839,-0.460141507317746,4.93341812645738,7.96742209631728,-0.674490759476595,1.51138601852348,-0.859271397515024,0.507179502725545,0.011906367471932,-0.64268128188819,0.744432333242751,-0.5265761192405,-0.93480483243109,0,0.148270690832215,0,0.26224070609521,2.53062764536402,0,7.63217804992029,0,-0.180059456003629,-2.31959631967465,4.14153975900656,-0.838441284135258,-3.77273320731609
"RNA1011","lncrna-exon1-negative-control",1.73440481008267,-1.65250236071766,-1.57381177211206,-1.05286362454883,-2.1983402531089,-0.00964283252825839,-0.354308960634664,4.93341812645738,7.7355658977472,-0.674490759476595,1.51138601852348,0.486395670531648,0.418830324243142,-0.808252429146854,-0.634242032732082,-0.341841811076587,-0.5265761192405,-0.93480483243109,0,0.185738168946981,0,0.210386043363483,3.37417547444163,0,9.77183452265996,0,-0.940227990994437,-0.857877647997885,2.76830754913395,-0.838441284135258,-0.289435924958289
"RNA1012","lncrna-exon1-negative-control",2.89067468347112,-1.48387967084851,0.417541898723607,1.87541333122761,-3.24754810118361,-0.489246871433738,-0.78990958756213,5.1454009365786,6.091494671523,-0.674490759476595,9.11220921913283,-0.186437863491688,0.485092208104944,11.3299726714925,-0.40573313250517,-0.0992260538389751,-0.420077578270511,0.0536730047328856,0,0.33956805876777,0,-0.107474831098396,0.543833929342363,0.266493341213364,2.08079754133177,0,-0.0249566943601823,-1.44256511666859,3.1116156016021,0.372640570726785,-0.140272323485518
"RNA1013","lncrna-exon1-negative-control",2.79431886068875,0.843113449345744,-0.513897721505977,0.0493529824007262,-0.749434177196217,-0.122311717858435,0.72242216648886,4.93341812645738,6.091494671523,-0.674490759476595,9.11220921913283,-0.523683243229986,-0.0588074219273494,1.98026307168507,-0.501810738282395,-1.54923429045439,0.496993191193281,0.152073513409842,1.35056035303775,-0.0316036654829838,0,-0.287220514445952,0.947031668543567,5.60437250331666,7.96911125287502,0,0.305791694697572,-2.31959631967465,1.56672936549541,3.83287444176119,-0.160207139478164
"RNA1014","lncrna-exon1-negative-control",2.60160721512401,-2.59678942398489,-0.642372151882472,1.49704046615537,-3.57230291130197,0.985091470386811,0.309061712415086,4.93341812645738,10.7707743153919,-0.674490759476595,18.5872681309993,0.678633823109744,0.231088319968035,0.175925922959716,-0.553095406231048,-0.966008755282412,0.810572228493803,0.751422066260398,0,0.934630810777492,0,0.271318770910743,1.64151860166001,7.31407921524428,6.15185175132203,0,1.15374179266105,-1.88108071817162,2.59665352289987,1.41071073203711,-1.27492498237012
"RNA1015","lncrna-exon1-negative-control",1.73440481008267,0.775664373398085,0.578134936694225,1.23382456001816,-1.92354772147029,-0.205544588102348,-0.362744888268823,3.29536913915708,4.97436935113989,-0.674490759476595,23.6027872708816,0.230354338003063,-0.564054286373592,2.25570364961359,-0.674490759476595,0.909145687179848,0.378661479004404,0.42043853707427,0,1.25873972715238,0,-0.832959728412745,2.18177385284378,0,38.8005356764059,0,-0.149616413957655,-1.90038643647678,1.8096360063927,1.32257269947303,1.55741002416128
"RNA1016","lncrna-exon1-negative-control",1.15626987338845,-0.978011601241063,0.289067468347112,-1.31607953068604,-3.39743493662285,-1.12821140580622,-1.50082821636805,2.52452255689811,4.40526777283151,1.01173613921489,-0.73447800706562,0.753208968506419,-0.481226931546339,-0.238790933019719,-0.490125624066246,0.894929920154207,NA,-0.974165035901873,0,-0.775927102665352,0,0.839193332919411,0.144474041273076,4.75388183253508,7.07207846938131,9.58706314679624,0.375505435968164,-1.72939293148818,0.404016244400447,2.33452788817177,-0.900310358688934
"RNA1017","lncrna-exon1-negative-control",0,0.370969917712127,-2.02347227842979,0.312568888537934,0.32475481011836,-1.12821140580622,-1.50082821636805,2.52452255689811,4.40526777283151,310.434372049103,0.0453562115917016,0.0778895963031936,0.322198410278013,-0.0469008671267849,0.00194751903602479,0.250102727871117,-1.08214350796727,-0.849822574937355,1.35420102082615,-0.77714555723819,0,0.899274991890215,0,4.75388183253508,2.57537521726696,8.07010649066506,-1.21429787087717,-0.0194578816021486,1.40803036010919,0.513008548514041,-1.50081330922391
"RNA1018","lncrna-exon1-negative-control",0.578134936694224,0.438418993659787,-1.83076063286504,0.460627835740114,-1.47388721515256,-1.18759095348024,-1.4494457480509,2.52452255689811,3.56215432348577,60276.5412113854,-0.55744247149801,0.89821619566662,-0.0781338047203751,2.35165630995754,4.66820312935149,1.5560578586267,-1.05492721416383,-0.949117633693193,0,-0.707998260229638,0,0.822035790418054,4.08648926250212,13.4003527393498,-0.402243147527012,0,0.198044776236752,-1.30190916901668,0.604819067542193,0.816595105123649,-1.13693048314304
"RNA1019","lncrna-exon1-negative-control",1.05991405060608,0.708215297450425,-0.289067468347112,-0.361921870938661,-3.82211430370071,-0.856689542510529,-0.836690640806101,2.52452255689811,3.56215432348577,51398.8938351545,-0.655470412680075,0.0265156072521504,-0.37907319392606,3.40701353538126,1.62682756809273,-0.961838796954891,-0.130164883407764,-0.178910015776285,2.8212573601437,-0.771510204838815,0,0.54178079945452,0.0970278026799059,13.4003527393498,2.09521850782588,10.8288827803739,0.887427050860497,-1.30190916901668,0.303614832829566,1.4237682183429,-0.497794447114271
"RNA1020","lncrna-exon1-negative-control",3.08338632903586,0,1.57381177211206,2.15508023149839,-1.02422670883483,-0.707986914574756,-0.0958628140245303,0.732304253146018,3.56215432348577,-0.674490759476595,2.08199642241908,0.367904050623597,-1.13280212285406,2.83135859249743,-0.669297375380529,-0.862897058456427,-0.130164883407764,0.885604578092612,0,-0.720030499136413,0,-1.38472829042786,4.73515042178344,3.52523124127961,18.7908683394595,19.1740915233381,0.772667507538139,-1.55839942649958,2.31164306424707,2.03094133156215,-1.17243967830596
"RNA1021","lncrna-exon1-negative-control",1.05991405060608,1.48387967084851,-0.513897721505977,1.82606034882688,-0.624528480996848,-1.09116262819765,-1.45251335809968,5.87770518972462,7.08215297450425,57774.0118710374,-0.450635908717552,-0.190580927124837,0.333242057588314,3.95800147480307,-0.450526070333741,-0.120454932597266,NA,NA,1.36709856644616,NA,0,-1.48552128756932,0.925277614327645,5.06295735000576,-0.674490759476595,0,-1.26165371405979,-0.156252685593031,2.36614668767126,1.16355116982037,0.446152075236793
"RNA1022","lncrna-exon1-negative-control",0.674490759476595,0.269796303790638,0.224830253158865,-0.213862923736482,-0.424679367077857,-0.134492137894129,0.333602592805366,0.192711645564741,1.18035882908404,-0.674490759476595,3.13835722142581,-1.50641793701284,-1.13280212285406,0.193255370042502,-0.464158703585915,-0.183952025311798,0.183414153892758,0.313092527608499,0.334343929202125,0.00296998302129234,0,0.77648281767911,0.572029287406371,9.40097460732467,-0.423489098963138,8.98644177341194,1.29481930458142,-0.657231793065858,1.24900949085097,0.713828227265127,-0.237814355478523
"RNA1023","lncrna-exon1-negative-control",0.385423291129483,0.505868069607447,-1.31686291135907,1.8096093546933,-0.274792531638613,-1.00488465294481,-1.10894103263577,1.7151336455262,3.03520841764468,55234.554161608,0.93053388942975,-0.133406648987386,-0.470183284236039,5.72102863875713,-0.356395983592542,-0.211625385121713,-0.945470380389122,0.527784546540041,1.26087145239553,-0.794965455365945,0,0.75807325873861,0,0,-0.674490759476595,0,0.589349243510618,-1.42992322545409,0.817018807673074,2.65452452892245,-1.52515061827298
