Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,827590,827775,RNA1,Yes,12323.8,54.9742,25.9566
chr1,1137017,1137110,RNA2,Yes,2575.82,31.44391,31.4439
chr1,1399530,1399689,RNA3,Yes,14500.6,85.7235,28.9224
chr1,3067337,3067725,RNA4,Yes,88.0257,7.70236,7.70236
chr1,4571487,4571629,RNA5,Yes,3.80448,1.19517,0.614418
chr1,6724745,6724850,RNA6,Yes,686.571,17.56210,17.5621
chr1,6784658,6784980,RNA7,Yes,13346.3,60.0411,18.3214
chr1,9182204,9182316,RNA8,Yes,3421.94,10.79900,10.799
chr1,11099675,11099910,RNA9,Yes,16333.5,42.2462,34.3684
chr1,11609531,11610113,RNA10,Yes,6.53947,3.61103,1.53252
chr1,11840319,11841207,RNA11,Yes,26.3786,8.73446,5.4492
chr1,12525738,12525959,RNA12,Yes,612.865,15.29358,15.2936
chr1,12823036,12823223,RNA13,Yes,1.68128,0.590924,0.318496
chr1,14419494,14419973,RNA14,Yes,16.1861,3.98258,2.68341
chr1,15749430,15749890,RNA15,Yes,649.545,11.71126,11.7113
chr1,16155176,16155755,RNA16,Yes,2188.04,13.87063,11.7984
chr1,18065657,18065847,RNA17,Yes,0,0,0
chr1,19210386,19210559,RNA18,Yes,16833.3,55.015,29.8925
chr1,20243095,20243214,RNA19,Yes,52.9752,7.48977,7.48977
chr1,20428584,20428794,RNA20,Yes,1.44676,3.02581,0.389033
chr1,22025964,22026048,RNA21,Yes,14868.3,26.9487,26.9487
chr1,23627333,23627537,RNA22,Yes,1234.76,21.52717,21.5272
chr1,24200240,24200391,RNA23,Yes,8.21975,3.76825,3.54365
chr1,28643256,28643763,RNA24,Yes,6157.36,44.0261,18.2507
chr1,30718772,30719565,RNA25,Yes,10761.5,61.1374,20.9234
chr1,33868956,33869049,RNA26,Yes,0.502869,0.178965,0.178965
chr1,35365966,35366077,RNA27,Yes,0,0,0
chr1,35577322,35577779,RNA28,Yes,3474.22,23.99630,23.9963
chr1,37474144,37474443,RNA29,Yes,2835.8,40.6949,13.8549
chr1,38047134,38047614,RNA30,Yes,5785.11,20.96000,19.7665
chr1,38873401,38873579,RNA31,Yes,20255,53.7368,41.4204
chr1,43358419,43358676,RNA32,Yes,7488.34,36.50271,34.0475
chr1,43453927,43454053,RNA33,Yes,8329.83,15.81985,15.8199
chr1,46674036,46674219,RNA34,Yes,229.586,27.86959,27.8696
chr1,51518289,51518483,RNA35,Yes,3941.6,17.13691,17.1369
chr1,60970548,60970740,RNA36,Yes,578.944,20.05017,18.0147
chr1,69055898,69056047,RNA37,Yes,35.7142,10.84061,8.56338
chr1,73674679,73674776,RNA38,Yes,1.62037,0.486148,0.486148
chr1,83446054,83446674,RNA39,Yes,18.5668,2.66161,1.79571
chr1,87371569,87371655,RNA40,Yes,20.2875,6.08743,6.08743
chr1,90851759,90852279,RNA41,Yes,2964.1,33.72852,27.8057
chr1,94819955,94820232,RNA42,Yes,3493.29,25.24467,25.2447
chr1,95352032,95352107,RNA43,Yes,0,0,0
chr1,95510116,95510362,RNA44,Yes,38.1504,5.52587,4.97804
chr1,97941573,97941740,RNA45,Yes,0,0,0
chr1,101025846,101026061,RNA46,Yes,15080.7,35.97352,35.9735
chr1,101236325,101236528,RNA47,Yes,6896.99,12.12625,12.1263
chr1,105618775,105618935,RNA48,Yes,5.54058,5.42760,3.08695
chr1,106027806,106028253,RNA49,Yes,1.5042,0.442343,0.217708
chr1,108050325,108050735,RNA50,Yes,417.132,14.87144,6.34136
chr1,112956415,112957722,RNA51,Yes,4940.97,31.6572,13.1974
chr1,115099580,115099751,RNA52,Yes,6382.06,44.7762,28.9928
chr1,115919376,115919559,RNA53,Yes,0.313217,2.72946,0.313217
chr1,117295466,117295703,RNA54,Yes,0,0,0
chr1,117605646,117605770,RNA55,Yes,10141.9,59.3059,24.7009
chr1,119140396,119140793,RNA56,Yes,21102.4,46.046,25.1445
chr1,145926831,145926946,RNA57,Yes,5000.28,29.74608,29.1714
chr1,146052595,146052948,RNA58,Yes,3092.66,26.05650,20.1879
chr1,147517443,147517875,RNA59,Yes,10.0361,4.4559,2.93217
chr1,148162710,148162992,RNA60,Yes,2.22949,2.28783,0.257421
chr1,151281543,151281929,RNA61,Yes,9544.94,89.2983,22.3998
chr1,151347010,151347188,RNA62,Yes,9451.2,26.22155,26.2216
chr1,151790749,151791245,RNA63,Yes,6379.21,78.2177,28.2057
chr1,151838277,151838737,RNA64,Yes,1632.25,11.45088,11.4509
