Chromosome,Start,End,ID,Functional,methylome
chr1,30366,30503,RNA1,Yes,0
chr1,1167863,1167952,RNA2,Yes,70.6447
chr1,1169005,1169087,RNA3,Yes,68.5482
chr1,1304729,1304812,RNA4,Yes,0
chr1,3560695,3560790,RNA5,Yes,48.9987
chr1,8494800,8494913,RNA6,Yes,0
chr1,11908154,11908272,RNA7,Yes,0.578195
chr1,15542166,15542304,RNA8,Yes,87.015
chr1,16520585,16520658,RNA9,Yes,47.8722
chr1,16532398,16532471,RNA10,Yes,49.8755
chr1,16535279,16535350,RNA11,Yes,12.4718
chr1,16545939,16546009,RNA12,Yes,19.8812
chr1,16678271,16678341,RNA13,Yes,16.3353
chr1,16680006,16680078,RNA14,Yes,79.0483
chr1,16725566,16725638,RNA15,Yes,69.4286
chr1,16727285,16727355,RNA16,Yes,39.4333
chr1,16872583,16872654,RNA17,Yes,16.6527
chr1,16875463,16875536,RNA18,Yes,54.9737
chr1,16889677,16889750,RNA19,Yes,18.633
chr1,28578743,28578822,RNA20,Yes,84.1955
chr1,28579764,28579893,RNA21,Yes,62.4323
chr1,28580381,28580512,RNA22,Yes,72.4812
chr1,28580920,28581053,RNA23,Yes,2.58045
chr1,30968163,30968237,RNA24,Yes,0
chr1,36418448,36418578,RNA25,Yes,0
chr1,38089231,38089329,RNA26,Yes,64.6241
chr1,39567374,39567510,RNA27,Yes,76.9887
chr1,44670957,44671056,RNA28,Yes,0
chr1,44721786,44721901,RNA29,Yes,25.6792
chr1,44731069,44731168,RNA30,Yes,5.06861
chr1,44762035,44762107,RNA31,Yes,0
chr1,44775865,44775938,RNA32,Yes,0.426065
chr1,44776492,44776589,RNA33,Yes,5.02256
chr1,44777842,44777912,RNA34,Yes,39.3195
chr1,54957869,54957941,RNA35,Yes,71.9474
chr1,66628440,66628517,RNA36,Yes,82.7707
chr1,75787072,75787149,RNA37,Yes,0
chr1,75787889,75787972,RNA38,Yes,0
chr1,75789477,75789547,RNA39,Yes,0
chr1,85133794,85133873,RNA40,Yes,0
chr1,92837289,92837383,RNA41,Yes,83.109
chr1,93516277,93516349,RNA42,Yes,82.1748
chr1,93846832,93846911,RNA43,Yes,0.459273
chr1,93847573,93847657,RNA44,Yes,0.37594
chr1,112882050,112882129,RNA45,Yes,72.4887
chr1,120476852,120476923,RNA46,Yes,0
chr1,120844262,120844335,RNA47,Yes,5.35639
chr1,120945289,120945362,RNA48,Yes,86.8675
chr1,120952291,120952364,RNA49,Yes,52.4662
chr1,121006695,121006768,RNA50,Yes,43.194
chr1,121016845,121016915,RNA51,Yes,10.4263
chr1,121020729,121020801,RNA52,Yes,10.434
chr1,121048432,121048505,RNA53,Yes,26.3749
chr1,143661182,143661253,RNA54,Yes,28.4607
chr1,143691474,143691545,RNA55,Yes,28.6006
chr1,143720510,143720644,RNA56,Yes,17.9812
chr1,143735920,143735993,RNA57,Yes,17.9057
chr1,143789868,143789941,RNA58,Yes,7.68479
chr1,143800041,143800111,RNA59,Yes,0.413534
chr1,143803994,143804066,RNA60,Yes,9.32801
chr1,143831708,143831781,RNA61,Yes,26.2051
chr1,144419267,144419340,RNA62,Yes,5.60526
chr1,144567515,144567588,RNA63,Yes,6.72531
chr1,145129239,145129312,RNA64,Yes,54.4989
chr1,145157157,145157229,RNA65,Yes,10.8766
chr1,145459658,145459729,RNA66,Yes,0.880639
chr1,145475381,145475454,RNA67,Yes,10.6316
chr1,146035692,146035763,RNA68,Yes,0.575188
chr1,146038044,146038115,RNA69,Yes,0.382989
chr1,146039401,146039473,RNA70,Yes,1.88471
chr1,146049198,146049273,RNA71,Yes,90.1043
chr1,146370101,146370174,RNA72,Yes,7.05532
chr1,146486572,146486645,RNA73,Yes,34.6217
chr1,147005201,147005272,RNA74,Yes,0
chr1,147084616,147084756,RNA75,Yes,2.18355
chr1,148048516,148048589,RNA76,Yes,19.5654
chr1,148328812,148328883,RNA77,Yes,52.8722
chr1,149740248,149740321,RNA78,Yes,16.5461
chr1,150045406,150045476,RNA79,Yes,90.453
chr1,150261694,150261797,RNA80,Yes,88.2105
chr1,150551929,150552014,RNA81,Yes,0
chr1,153671250,153671321,RNA82,Yes,0.376692
chr1,153689705,153689793,RNA83,Yes,82.4178
chr1,154193665,154193743,RNA84,Yes,0
chr1,154259727,154259862,RNA85,Yes,83.1203
chr1,155195177,155195272,RNA86,Yes,1.04675
chr1,155919909,155920042,RNA87,Yes,85.4361
chr1,155925958,155926086,RNA88,Yes,0
chr1,156936131,156936244,RNA89,Yes,83.104
chr1,161440171,161440242,RNA90,Yes,2.25113
chr1,161440825,161440896,RNA91,Yes,0.243891
chr1,161441533,161441615,RNA92,Yes,1.28303
chr1,161443304,161443374,RNA93,Yes,0.250627
chr1,161480566,161480636,RNA94,Yes,66.4737
chr1,161523145,161523216,RNA95,Yes,70.2359
chr1,161523847,161523917,RNA96,Yes,0.736842
chr1,161540241,161540314,RNA97,Yes,2.69361
chr1,161604798,161604869,RNA98,Yes,48.6447
chr1,161611946,161612029,RNA99,Yes,5.5188
chr1,161612718,161612789,RNA100,Yes,1.01065
chr1,161621675,161621748,RNA101,Yes,7.10761
chr1,167714725,167714796,RNA102,Yes,0.308271
chr1,173864146,173864222,RNA103,Yes,0
chr1,173864369,173864445,RNA104,Yes,49.9925
chr1,173864833,173864903,RNA105,Yes,82.844
chr1,173865350,173865430,RNA106,Yes,0
chr1,173866205,173866290,RNA107,Yes,0
chr1,173866635,173866715,RNA108,Yes,0
chr1,173867674,173867745,RNA109,Yes,0.827068
chr1,180215141,180215213,RNA110,Yes,85.2293
chr1,193057281,193057415,RNA111,Yes,73.4135
chr1,193136503,193136583,RNA112,Yes,90.5564
chr1,198858873,198858982,RNA113,Yes,87.5602
chr1,201808611,201808702,RNA114,Yes,80.1316
chr1,201978461,201978595,RNA115,Yes,58.2256
chr1,202003124,202003236,RNA116,Yes,90.4962
chr1,203729581,203729705,RNA117,Yes,86.9812
chr1,204506527,204506599,RNA118,Yes,0.333647
chr1,205474143,205474215,RNA119,Yes,78.1228
chr1,212352818,212352950,RNA120,Yes,0
chr1,220200546,220200676,RNA121,Yes,0
chr1,222465005,222465077,RNA122,Yes,25.1523
chr1,231019828,231019924,RNA123,Yes,78.1353
chr1,235127803,235127937,RNA124,Yes,3.75564
chr1,241132272,241132346,RNA125,Yes,0
chr1,244854087,244854217,RNA126,Yes,0
chr10,5853711,5853783,RNA127,Yes,73.797
chr10,7186680,7186784,RNA128,Yes,0
chr10,12725254,12725353,RNA129,Yes,82.782
chr10,20551970,20552046,RNA130,Yes,76.2068
chr10,22563650,22563722,RNA131,Yes,88.4774
chr10,28073237,28073378,RNA132,Yes,70.9925
chr10,32901334,32901472,RNA133,Yes,0
chr10,67764503,67764584,RNA134,Yes,0.362312
chr10,73126080,73126207,RNA135,Yes,0
chr10,100974985,100975084,RNA136,Yes,81.9248
chr10,104048089,104048186,RNA137,Yes,82.6316
chr10,112634170,112634254,RNA138,Yes,76.2256
chr10,119060011,119060138,RNA139,Yes,0
chr11,568089,568198,RNA140,Yes,10.2058
chr11,811681,811814,RNA141,Yes,70.5338
chr11,1880045,1880147,RNA142,Yes,71.8596
chr11,2134134,2134209,RNA143,Yes,49.218
chr11,2173063,2173138,RNA144,Yes,0
chr11,2963771,2963893,RNA145,Yes,90.6504
chr11,8684227,8684356,RNA146,Yes,47.6109
chr11,8685439,8685569,RNA147,Yes,71.1485
chr11,9275243,9275316,RNA148,Yes,86.3083
chr11,10801467,10801608,RNA149,Yes,81.047
chr11,12163683,12163767,RNA150,Yes,54.9135
chr11,16925938,16926022,RNA151,Yes,2.76541
chr11,17074653,17074744,RNA152,Yes,87.0639
chr11,17075778,17075868,RNA153,Yes,83.7368
chr11,27514970,27515047,RNA154,Yes,0
chr11,34941837,34941920,RNA155,Yes,89.1289
chr11,43581394,43581483,RNA156,Yes,7.46867
chr11,46451805,46451889,RNA157,Yes,0
chr11,46451807,46451887,RNA158,Yes,0
chr11,46762389,46762499,RNA159,Yes,0
chr11,47179611,47179737,RNA160,Yes,0
chr11,50274708,50274779,RNA161,Yes,70.9925
chr11,59550629,59550701,RNA162,Yes,0.377193
chr11,59551755,59551837,RNA163,Yes,3.34887
chr11,59556429,59556501,RNA164,Yes,1.98571
chr11,59566380,59566452,RNA165,Yes,1.62312
chr11,62854621,62854695,RNA166,Yes,0
chr11,62855012,62855083,RNA167,Yes,0
chr11,62855292,62855366,RNA168,Yes,0.327068
chr11,64891137,64891246,RNA169,Yes,72.0442
chr11,64898363,64898437,RNA170,Yes,0
chr11,66053144,66053228,RNA171,Yes,17.8158
chr11,66348120,66348201,RNA172,Yes,0.960526
chr11,70283955,70284070,RNA173,Yes,90.2726
chr11,74399237,74399333,RNA174,Yes,16.6053
chr11,76235513,76235584,RNA175,Yes,0.255013
chr11,76235825,76235896,RNA176,Yes,0.386591
chr11,79402022,79402109,RNA177,Yes,0
chr11,83041464,83041598,RNA178,Yes,83.5714
chr11,88176502,88176593,RNA179,Yes,86.8289
chr11,90869121,90869202,RNA180,Yes,0
chr11,93730513,93730646,RNA181,Yes,84.7519
chr11,93730979,93731099,RNA182,Yes,0
chr11,93731503,93731573,RNA183,Yes,85.2155
chr11,93732004,93732133,RNA184,Yes,0
chr11,93732361,93732499,RNA185,Yes,67.0489
chr11,93733228,93733300,RNA186,Yes,76.2782
chr11,93733466,93733597,RNA187,Yes,62.6767
chr11,93735110,93735236,RNA188,Yes,78.6128
chr11,100934274,100934378,RNA189,Yes,79.6861
chr11,109165311,109165393,RNA190,Yes,62.2256
chr11,119190567,119190641,RNA191,Yes,72.7556
chr11,122559947,122560019,RNA192,Yes,49.5451
chr11,123058077,123058161,RNA193,Yes,75.4568
chr11,123058909,123058995,RNA194,Yes,50.3584
chr11,123059335,123059422,RNA195,Yes,49.8471
chr11,133898504,133898581,RNA196,Yes,37.3033
chr11,134151288,134151363,RNA197,Yes,0
chr12,6581473,6581609,RNA198,Yes,81.0583
chr12,27690373,27690445,RNA199,Yes,0
chr12,47187812,47187891,RNA200,Yes,79.0865
chr12,48654382,48654518,RNA201,Yes,0
chr12,48654444,48654530,RNA202,Yes,0
