Chromosome,Start,End,ID,Functional,methylome
chr1,10499,10591,RNA1001,No,59.2175
chr1,10507,10691,RNA1002,No,52.8713
chr1,11146,11330,RNA1003,No,0.156642
chr1,11326,11484,RNA1004,No,0.783208
chr1,11390,11574,RNA1005,No,1.17481
chr1,859755,859939,RNA1006,No,0
chr1,859826,860010,RNA1007,No,0
chr1,965955,966139,RNA1008,No,56.0385
chr1,1018553,1018645,RNA1009,No,78.5789
chr1,1124463,1124555,RNA1010,No,70.4386
chr1,1124507,1124599,RNA1011,No,69.0677
chr1,1198805,1198897,RNA1012,No,60.6643
chr1,1202922,1203014,RNA1013,No,55.9123
chr1,1241442,1241534,RNA1014,No,70.6786
chr1,1292123,1292281,RNA1015,No,41.4844
chr1,1384818,1384976,RNA1016,No,85.6917
chr1,1384994,1385152,RNA1017,No,87.2801
chr1,1411181,1411339,RNA1018,No,85.2381
chr1,1411419,1411577,RNA1019,No,77.8289
chr1,1540843,1541001,RNA1020,No,26.8971
chr1,1747722,1747826,RNA1021,No,24.2324
chr1,1784750,1785071,RNA1022,No,84.0338
chr1,1902492,1902676,RNA1023,No,83.5471
chr1,2048018,2048110,RNA1024,No,75.9699
chr1,2048519,2048906,RNA1025,No,73.2086
chr1,2312022,2312180,RNA1026,No,0
chr1,2956835,2957222,RNA1027,No,58.7932
chr1,3028053,3028440,RNA1028,No,71.1582
chr1,3048276,3048663,RNA1029,No,41.7387
chr1,3441849,3442236,RNA1030,No,67.114
chr1,3443283,3443670,RNA1031,No,60.6273
chr1,3443555,3443942,RNA1032,No,63.2914
chr1,3612649,3612790,RNA1033,No,64.1429
chr1,4093299,4093686,RNA1034,No,64.3765
chr1,4182575,4182686,RNA1035,No,41.235
chr1,4469987,4470128,RNA1036,No,74.8976
chr1,4558209,4558350,RNA1037,No,75.5113
chr1,4558509,4558650,RNA1038,No,70.0451
chr1,4598876,4599017,RNA1039,No,68.032
chr1,4599302,4599443,RNA1040,No,70.2857
chr1,4634840,4634981,RNA1041,No,48.9674
chr1,5502299,5502440,RNA1042,No,62.6278
chr1,5776055,5776159,RNA1043,No,83.6617
chr1,5815087,5815408,RNA1044,No,64.5559
chr1,5859168,5859352,RNA1045,No,73.7116
chr1,6101335,6101427,RNA1046,No,68.0865
chr1,6101510,6101744,RNA1047,No,43.0827
chr1,6401482,6401640,RNA1048,No,74.4173
chr1,6624050,6624631,RNA1049,No,83.0414
chr1,6624616,6624720,RNA1050,No,39.4718
chr1,6703726,6703830,RNA1051,No,78.3972
chr1,6710227,6710548,RNA1052,No,66.9803
chr1,6720127,6720231,RNA1053,No,7.65414
chr1,6751012,6751116,RNA1054,No,84.6861
chr1,6751401,6751505,RNA1055,No,86.5624
chr1,6772929,6773033,RNA1056,No,84.9323
chr1,6779264,6779585,RNA1057,No,70.8365
chr1,6780128,6780449,RNA1058,No,0
chr1,7769760,7770081,RNA1059,No,79.3436
chr1,7770166,7771053,RNA1060,No,42.5753
chr1,7770228,7770549,RNA1061,No,82.8474
chr1,7770366,7770687,RNA1062,No,81.4079
chr1,7770516,7770620,RNA1063,No,0
chr1,7770749,7771070,RNA1064,No,9.76907
chr1,7770933,7771153,RNA1065,No,3.99524
chr1,7854377,7854563,RNA1066,No,69.6667
chr1,7986728,7987115,RNA1067,No,85.8358
chr1,8252985,8253096,RNA1068,No,81.7699
chr1,9029016,9029127,RNA1069,No,0
