chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable
chr1	10328	10518	RNA1001	76	0				0.0
chr1	10377	10595	RNA1002	60	0				0.0
chr1	10397	10469	RNA1003	54	0				0.0
chr1	10525	10743	RNA1004	84	0				0.0
chr1	10557	10697	RNA1005	39	0				0.0
chr1	10557	10815	RNA1006	118	0				0.0
chr1	10895	11035	RNA1007	0	0				
chr1	10960	11067	RNA1008	0	0				
chr1	10997	11132	RNA1009	0	0				
chr1	11032	11172	RNA1010	0	0				
chr1	11066	11284	RNA1011	0	0				
chr1	11076	11211	RNA1012	0	0				
chr1	11080	11255	RNA1013	0	0				
chr1	11089	11264	RNA1014	0	0				
chr1	11112	11212	RNA1015	0	0				
chr1	11149	11339	RNA1016	0	0				
chr1	11235	11370	RNA1017	0	0				
chr1	11383	11540	RNA1018	0	0				
chr1	11475	11632	RNA1019	0	0				
chr1	11492	11675	RNA1020	0	0				
chr1	11513	11771	RNA1021	0	0				
chr1	11530	11637	RNA1022	0	0				
chr1	11558	11733	RNA1023	0	0				
chr1	11590	11848	RNA1024	0	0				
chr1	11642	11749	RNA1025	0	0				
chr1	859953	860021	RNA1026	68	0				0.0
chr1	859963	860077	RNA1027	114	0				0.0
chr1	959369	959460	RNA1028	91	30	1.3233680207728564e-05	1.4700700376124589e-05	1.0	329670.32967032964
chr1	1057443	1057531	RNA1029	79	15	0.00041797858945451667	1.470159986638464e-05	1.0	189873.417721519
chr1	1118720	1118898	RNA1030	178	0				0.0
chr1	1120633	1120733	RNA1031	100	29	1.3686820678008172e-05	1.469590006308863e-05	1.0	290000.0
chr1	1198896	1198996	RNA1032	100	22	1.9375099823677366e-05	0.0	1.0	220000.0
chr1	1201423	1201687	RNA1033	264	80	2.061605865719613e-05	1.4704599834658438e-05	1.0	303030.30303030304
chr1	1209420	1209520	RNA1034	100	24	0.04039030930395408	1.469744984206045e-05	0.9583333333333334	240000.0
chr1	1210849	1210921	RNA1035	72	19	0.001573711546514359	1.4704999557579868e-05	1.0	263888.8888888889
chr1	1214293	1214393	RNA1036	100	30	7.936390863202465e-05	0.0	1.0	300000.0
chr1	1216374	1216474	RNA1037	100	26	2.0361349785301347e-05	1.4704200111737007e-05	1.0	260000.0
chr1	1292045	1292117	RNA1038	72	24	1.5926649931921175e-05	1.4697199731017465e-05	1.0	333333.3333333333
chr1	1292246	1292318	RNA1039	72	13	6.831792304113221e-06	0.0	1.0	180555.55555555556
chr1	1330296	1330368	RNA1040	72	16	0.06261854395899036	0.0	0.9375	222222.22222222222
chr1	1330300	1330372	RNA1041	72	15	9.800173393159639e-06	0.0	1.0	208333.33333333334
chr1	1330565	1330665	RNA1042	100	30	6.859618300343516e-05	0.0	1.0	300000.0
chr1	1363026	1363094	RNA1043	68	17	1.3027135216415285e-05	0.0	1.0	250000.0
chr1	1417805	1417877	RNA1044	72	23	0.0001598984959539061	0.0	1.0	319444.44444444444
chr1	1417824	1417892	RNA1045	68	19	7.738389573014023e-06	0.0	1.0	279411.76470588235
chr1	1417905	1417973	RNA1046	68	7	1.8895271750807296e-05	1.469509970775107e-05	1.0	102941.17647058822
chr1	1512028	1512096	RNA1047	68	0				0.0
chr1	1512056	1512124	RNA1048	68	0				0.0
chr1	1578469	1578537	RNA1049	68	16	6.452025047565257e-06	0.0	1.0	235294.11764705883
chr1	1584173	1584287	RNA1050	112	44	0.0009051869943629075	1.5297399841074366e-05	1.0	392857.14285714284
chr1	1584476	1584590	RNA1051	114	35	0.0011067758594175926	1.4725400433235336e-05	1.0	307017.54385964916
chr1	1590087	1590201	RNA1052	114	37	1.3903297135461447e-05	0.0	1.0	324561.40350877197
chr1	1748749	1748863	RNA1053	114	0				0.0
chr1	1750016	1750130	RNA1054	114	0				0.0
chr1	1785001	1785115	RNA1055	114	18	1.959681144903871e-05	1.4697250207973411e-05	1.0	157894.73684210525
chr1	1900873	1900964	RNA1056	91	21	0.012878035949879196	0.0	0.9523809523809523	230769.23076923078
chr1	1919431	1919519	RNA1057	88	38	0.0011634596044132154	7.36245010557468e-06	1.0	431818.1818181818
chr1	1919899	1919990	RNA1058	91	21	1.3996962046626708e-05	0.0	1.0	230769.23076923078
chr1	1921508	1921599	RNA1059	91	26	4.127092982413424e-05	7.349050065386109e-06	1.0	285714.2857142857
chr1	2009765	2009938	RNA1060	173	21	0.007255217486350115	1.4697199731017465e-05	0.9523809523809523	121387.28323699422
chr1	2047560	2047824	RNA1061	264	66	0.0049153583172758765	1.4698749964736635e-05	0.9696969696969697	250000.0
chr1	2047924	2048188	RNA1062	264	48	0.0018203677554803682	0.0	0.9791666666666666	181818.18181818182
chr1	2047980	2048068	RNA1063	88	12	1.714625811169711e-05	0.0	1.0	136363.63636363635
chr1	2048211	2048475	RNA1064	264	39	0.006368822576708524	0.0	0.9743589743589743	147727.27272727274
chr1	2048560	2048648	RNA1065	88	23	0.0005559767747083307	1.4698500308440998e-05	1.0	261363.63636363635
chr1	2310407	2310495	RNA1066	88	18	1.061527220574337e-05	0.0	1.0	204545.45454545456
chr1	2310819	2310891	RNA1067	72	17	0.0020911917817476654	1.470159986638464e-05	1.0	236111.1111111111
