Chromosome,Start,End,ID,Functional,methylome
chr1,827590,827775,RNA1,Yes,0.526942
chr1,1137017,1137110,RNA2,Yes,14.6659
chr1,1399530,1399689,RNA3,Yes,0.473877
chr1,3067337,3067725,RNA4,Yes,26.8874
chr1,4571487,4571629,RNA5,Yes,69.9574
chr1,6724745,6724850,RNA6,Yes,50.9267
chr1,6784658,6784980,RNA7,Yes,0.454604
chr1,9182204,9182316,RNA8,Yes,3.09812
chr1,11099675,11099910,RNA9,Yes,0.344568
chr1,11609531,11610113,RNA10,Yes,70.6834
chr1,11840319,11841207,RNA11,Yes,84.1319
chr1,12525738,12525959,RNA12,Yes,64.0539
chr1,12823036,12823223,RNA13,Yes,48.6128
chr1,14419494,14419973,RNA14,Yes,83.9861
chr1,15749430,15749890,RNA15,Yes,52.402
chr1,16155176,16155755,RNA16,Yes,2.4591
chr1,18065657,18065847,RNA17,Yes,64.2586
chr1,19210386,19210559,RNA18,Yes,0.393945
chr1,20243095,20243214,RNA19,Yes,73.6388
chr1,20428584,20428794,RNA20,Yes,68.4185
chr1,22025964,22026048,RNA21,Yes,1.65602
chr1,23627333,23627537,RNA22,Yes,50.9408
chr1,24200240,24200391,RNA23,Yes,82.2801
chr1,28643256,28643763,RNA24,Yes,6.73204
chr1,30718772,30719565,RNA25,Yes,0.770374
chr1,33868956,33869049,RNA26,Yes,66.3703
chr1,35365966,35366077,RNA27,Yes,81.7782
chr1,35577322,35577779,RNA28,Yes,17.8061
chr1,37474144,37474443,RNA29,Yes,0.718623
chr1,38047134,38047614,RNA30,Yes,2.05326
chr1,38873401,38873579,RNA31,Yes,0.485252
chr1,43358419,43358676,RNA32,Yes,0.444219
chr1,43453927,43454053,RNA33,Yes,5.28376
chr1,46674036,46674219,RNA34,Yes,0
chr1,51518289,51518483,RNA35,Yes,0.492679
chr1,60970548,60970740,RNA36,Yes,59.7707
chr1,69055898,69056047,RNA37,Yes,0
chr1,73674679,73674776,RNA38,Yes,0
chr1,83446054,83446674,RNA39,Yes,52.0451
chr1,87371569,87371655,RNA40,Yes,79.782
chr1,90851759,90852279,RNA41,Yes,9.04678
chr1,94819955,94820232,RNA42,Yes,4.84236
chr1,95352032,95352107,RNA43,Yes,0
chr1,95510116,95510362,RNA44,Yes,60.5521
chr1,97941573,97941740,RNA45,Yes,71.9173
chr1,101025846,101026061,RNA46,Yes,0.530075
chr1,101236325,101236528,RNA47,Yes,1.57499
chr1,105618775,105618935,RNA48,Yes,27.9436
chr1,106027806,106028253,RNA49,Yes,69.2331
chr1,108050325,108050735,RNA50,Yes,71.4953
chr1,112956415,112957722,RNA51,Yes,5.39442
chr1,115099580,115099751,RNA52,Yes,26
chr1,115919376,115919559,RNA53,Yes,54.0414
chr1,117295466,117295703,RNA54,Yes,79.782
chr1,117605646,117605770,RNA55,Yes,0.57477
chr1,119140396,119140793,RNA56,Yes,0.388221
chr1,145926831,145926946,RNA57,Yes,5.27497
chr1,146052595,146052948,RNA58,Yes,9.30639
chr1,147517443,147517875,RNA59,Yes,89.1869
chr1,148162710,148162992,RNA60,Yes,86.5462
chr1,151281543,151281929,RNA61,Yes,0.452799
chr1,151347010,151347188,RNA62,Yes,0.472431
chr1,151790749,151791245,RNA63,Yes,0.951855
chr1,151838277,151838737,RNA64,Yes,13.751
chr1,155050607,155051165,RNA65,Yes,0.689112
chr1,155324078,155324176,RNA66,Yes,0.306391
chr1,155562026,155562286,RNA67,Yes,0.481203
chr1,156661315,156661440,RNA68,Yes,49.6729
chr1,158025550,158025686,RNA69,Yes,45.0439
chr1,158140498,158140640,RNA70,Yes,0
chr1,159961224,159961405,RNA71,Yes,55.8534
chr1,160261749,160261922,RNA72,Yes,0.598496
chr1,161765830,161766127,RNA73,Yes,3.79407
chr1,168786941,168787228,RNA74,Yes,81.7293
chr1,170174379,170174706,RNA75,Yes,74.1028
chr1,170532448,170532609,RNA76,Yes,0.451128
chr1,173460378,173461362,RNA77,Yes,84.2253
chr1,174159164,174159287,RNA78,Yes,0.461936
chr1,180558974,180559055,RNA79,Yes,52.5602
chr1,180954668,180954887,RNA80,Yes,68.5539
chr1,181174484,181174575,RNA81,Yes,76.183
chr1,183141142,183141270,RNA82,Yes,88.0047
chr1,183470720,183471982,RNA83,Yes,0.619789
chr1,185001527,185001627,RNA84,Yes,85.0197
chr1,188905672,188905926,RNA85,Yes,71.9511
chr1,191228323,191228498,RNA86,Yes,74.4436
chr1,196088503,196088715,RNA87,Yes,76.5414
chr1,202009800,202010353,RNA88,Yes,24.7204
chr1,203083795,203083979,RNA89,Yes,80.8709
chr1,203287152,203287311,RNA90,Yes,57.0075
chr1,205456057,205456223,RNA91,Yes,5.5391
chr1,205569129,205569305,RNA92,Yes,2.73997
chr1,206635096,206635433,RNA93,Yes,2.08971
