Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,URS000075CC93_9606,32.00,0,4.115,4.53,13.07,166,363,-4.483,4.35,0.00,129.21,-61.90,.101449,.000208
Yes,URS000075A884_9606,54.00,0,8.555,640.87,5972.87,1,11824,-4.686,9.52,0.00,64.84,-47.10,.222222,.000155
Yes,URS000075B715_9606,57.00,0,8.686,518.50,1566.62,1,11831,-4.825,5.97,-5.62,83.90,-38.80,.289156,.000420
Yes,URS0000ABD8DD_9606,60.00,0,8.338,15.50,62.37,1,14414,-5.960,4.55,0.00,123.14,-31.50,.261904,.000570
Yes,URS000075E701_9606,61.00,0,4.796,12.88,13.44,1,2797,-6.975,3.44,0.00,129.53,-54.30,.208333,.000285
Yes,URS00008E3A15_9606,46.00,0,4.189,16.36,11.00,1,465,-4.283,2.03,0.00,108.60,-33.10,.131578,.000014
Yes,URS000075DD00_9606,40.00,0,6.814,7271.54,2691.00,89,640,-5.753,4.13,-0.54,125.94,-37.10,2.739495,.004860
Yes,URS0000BC45E9_9606,61.00,0,8.903,6.23,8.00,2,413,-6.148,6.70,-1.75,192.94,-59.70,.323741,.006040
Yes,URS00006E0DA7_9606,58.00,0,2.916,79.00,946.42,60,1571,-6.411,2.97,0.00,58.40,-28.50,.702702,.000930
Yes,URS00006A56A1_9606,53.00,0,4.613,23.14,31.71,54,715,-5.514,2.48,0.00,89.00,-28.80,.445945,.020687
Yes,URS0000287398_9606,65.00,0,1.105,2020.42,19652.00,51,1568,-5.972,1.81,-0.34,51.15,-29.40,1.694444,.000144
Yes,URS00004BF687_9606,59.00,0,3.64,265429.85,14326.28,53,2334,-4.985,2.52,0.00,106.90,-28.30,2.028169,.001190
Yes,URS00006B479B_9606,59.00,0,3.64,243.71,1428.14,39,2334,-4.790,8.17,0.00,107.00,-24.80,1.887323,.007977
