chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable	rna_type	pol_class
chr1	30365	30503	RNA1	0	1	0.0	0.0	1.0		pre_miRNA	Pol II
chr1	1167862	1167952	RNA2	90	17	0.0001305488335406	1.4698100130772218e-05	1.0	188888.88888888888	pre_miRNA	Pol II
chr1	1169004	1169087	RNA3	83	20	8.157284514708355e-05	1.469984999857843e-05	1.0	240963.85542168675	pre_miRNA	Pol II
chr1	1304728	1304812	RNA4	84	19	0.0005477098123408	1.469590006308863e-05	1.0	226190.47619047615	snoRNA	Pol II
chr1	3560694	3560790	RNA5	96	18	4.08453332864964e-06	0.0	1.0	187500.0	pre_miRNA	Pol II
chr1	8494799	8494913	RNA6	114	13	2.0352976697232895e-05	1.4698999621032272e-05	1.0	114035.08771929824	snoRNA	Pol II
chr1	11908153	11908272	RNA7	119	252	0.0238926384874849	4.409755092638079e-05	0.9642857142857144	2117647.0588235296	snRNA	Pol II
chr1	15542165	15542304	RNA8	139	31	0.0099569100292419	1.4699399798701052e-05	0.967741935483871	223021.58273381292	scaRNA	Pol II
chr1	16520584	16520658	RNA9	74	0				0.0	tRNA	Pol III
chr1	16532397	16532471	RNA10	74	0				0.0	tRNA	Pol III
chr1	16535278	16535350	RNA11	72	0				0.0	tRNA	Pol III
chr1	16545938	16546009	RNA12	71	0				0.0	tRNA	Pol III
chr1	16678270	16678341	RNA13	71	0				0.0	tRNA	Pol III
chr1	16680005	16680078	RNA14	73	0				0.0	tRNA	Pol III
chr1	16725565	16725638	RNA15	73	0				0.0	tRNA	Pol III
chr1	16727284	16727355	RNA16	70	0				0.0	tRNA	Pol III
chr1	16872582	16872654	RNA17	72	0				0.0	tRNA	Pol III
chr1	16875462	16875536	RNA18	74	0				0.0	tRNA	Pol III
chr1	16889676	16889750	RNA19	74	0				0.0	tRNA	Pol III
chr1	28578742	28578822	RNA20	80	21	1.2600000055889332e-05	1.4698999621032272e-05	1.0	262500.0	snoRNA	Pol II
chr1	28579763	28579893	RNA21	130	22	1.137311817894277e-05	7.351649855991127e-06	1.0	169230.76923076925	snoRNA	Pol II
chr1	28580380	28580512	RNA22	132	27	0.001552727819284	0.0	1.0	204545.45454545456	snoRNA	Pol II
chr1	28580919	28581053	RNA23	134	24	3.123767028985334e-05	7.348200142587302e-06	1.0	179104.4776119403	snoRNA	Pol II
