chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable
chr1	1213662	1213785	RNA1	123	40	3.380970260877498e-05	1.4699399798701052e-05	1.0	325203.2520325203
chr1	1320995	1321093	RNA2	98	19	2.939987356703602e-05	1.4700300198455809e-05	1.0	193877.55102040817
chr1	1452045	1452122	RNA3	77	0				0.0
chr1	1722707	1722831	RNA4	100	6	2.598316617271242e-06	0.0	1.0	60000.0
chr1	2055440	2055562	RNA5	122	35	1.553978017909685e-05	1.4697199731017465e-05	1.0	286885.24590163934
chr1	3602465	3602600	RNA6	135	46	3.8991068994731294e-05	1.4698300219606608e-05	1.0	340740.74074074073
chr1	3773062	3773181	RNA7	119	32	6.292415466191408e-05	7.347950031544315e-06	1.0	268907.56302521005
chr1	3852294	3852421	RNA8	127	32	2.5264240292694858e-05	1.4698999621032272e-05	1.0	251968.50393700786
chr1	6168149	6168277	RNA9	128	26	2.374609626852898e-05	7.348200142587302e-06	1.0	203125.0
chr1	7962762	7962875	RNA10	113	33	1.850395170604586e-05	0.0	1.0	292035.3982300885
chr1	8874823	8874917	RNA11	94	17	1.0375506034881041e-05	0.0	1.0	180851.06382978725
chr1	9069503	9069594	RNA12	91	12	0.004725431724940171	0.0	0.9166666666666666	131868.13186813187
chr1	10469176	10469338	RNA13	162	20	0.00025501272875771524	0.0	1.0	123456.79012345678
chr1	11046890	11047119	RNA14	229	62	0.016159871786972105	1.4699199709866662e-05	0.9838709677419355	270742.35807860264
chr1	12580522	12580666	RNA15	144	31	0.03903269385908413	1.4696400285174605e-05	0.9354838709677419	215277.77777777778
chr1	14960683	14960875	RNA16	192	49	2.2497369265728477e-05	1.4696799553348685e-05	1.0	255208.3333333333
chr1	14960683	14960875	RNA17	192	49	2.2497369265728477e-05	1.4696799553348685e-05	1.0	255208.3333333333
chr1	15440299	15440391	RNA18	92	18	5.644686633685247e-05	1.5101200006029105e-05	1.0	195652.1739130435
chr1	15737928	15737994	RNA19	66	13	5.3135739318127835e-05	0.0	1.0	196969.69696969696
chr1	15764963	15765233	RNA20	270	68	0.014722955755065839	1.4698100130772218e-05	0.9852941176470589	251851.85185185182
chr1	18634302	18634538	RNA21	236	46	1.9489147926714714e-05	1.469724975322606e-05	1.0	194915.25423728814
chr1	18890011	18890105	RNA22	94	23	2.044896522736572e-05	1.4696400285174605e-05	1.0	244680.8510638298
chr1	19201717	19201815	RNA23	98	14	0.000154364242722034	1.4697900041937828e-05	1.0	142857.14285714284
chr1	21290069	21290156	RNA24	87	0				0.0
chr1	21560625	21560745	RNA25	120	26	9.045703896285537e-06	0.0	1.0	216666.6666666667
chr1	23524382	23524488	RNA26	106	23	1.6007965195572268e-05	1.4699399798701052e-05	1.0	216981.13207547172
chr1	23978712	23978817	RNA27	105	8	1.1026112247236597e-05	1.470199958930607e-05	1.0	76190.4761904762
chr1	24180730	24180854	RNA28	124	18	1.3887872278748873e-05	0.0	1.0	145161.29032258067
chr1	24595423	24595512	RNA29	89	18	9.798300046289418e-06	0.0	1.0	202247.19101123596
chr1	25823018	25823128	RNA30	110	12	1.4699808313404597e-05	1.4698999621032272e-05	1.0	109090.90909090909
chr1	25904663	25904738	RNA31	75	12	2.2047258047071017e-05	7.347950031544315e-06	1.0	160000.0
chr1	26066267	26066440	RNA32	173	46	0.0021033987468992697	7.347549853875535e-06	0.9782608695652174	265895.9537572254
chr1	26432890	26433008	RNA33	118	18	4.7357032700444004e-05	1.4696999642183075e-05	1.0	152542.37288135593
chr1	27789561	27789631	RNA34	70	5	1.4698519953526556e-05	1.4698500308440998e-05	1.0	71428.57142857142
chr1	27914062	27914169	RNA35	107	22	0.00032286863291697645	7.349699899350526e-06	1.0	205607.476635514
chr1	32154587	32154721	RNA36	134	0				0.0
chr1	32361729	32361876	RNA37	147	38	3.0963444619132156e-05	0.0	1.0	258503.40136054423
chr1	33270486	33270612	RNA38	126	13	1.243842283516782e-05	1.4698100130772218e-05	1.0	103174.60317460317
chr1	35093913	35094083	RNA39	170	24	1.837143319486479e-05	0.0	1.0	141176.4705882353
chr1	36084869	36085077	RNA40	208	53	0.018921447542901277	1.4696799553348685e-05	0.9811320754716981	254807.69230769228
chr1	38998170	38998311	RNA41	141	17	1.1240147186441718e-05	0.0	1.0	120567.37588652481
chr1	40092397	40092507	RNA42	110	21	1.0499280896120971e-05	0.0	1.0	190909.0909090909
chr1	40454202	40454288	RNA43	86	0				0.0
chr1	40738835	40738948	RNA44	113	21	0.02769929300016624	0.0	0.9523809523809523	185840.70796460178
chr1	40983277	40983456	RNA45	179	12	1.1023325138618626e-05	1.4696800008096034e-05	1.0	67039.1061452514
chr1	42767508	42767624	RNA46	116	0				0.0
chr1	43270680	43270793	RNA47	113	16	1.8377537287502104e-05	7.350150099227904e-06	1.0	141592.9203539823
chr1	46080641	46080750	RNA48	109	18	7.021978096114311e-05	0.0	1.0	165137.6146788991
chr1	47229653	47229771	RNA49	118	23	3.323670847273582e-05	1.4698500308440998e-05	1.0	194915.25423728814
chr1	51112463	51112569	RNA50	106	10	3.235849935662877e-05	0.0	1.0	94339.62264150944
chr1	53326872	53326992	RNA51	120	23	0.027996260025484724	1.4696799553348685e-05	0.9565217391304348	191666.6666666667
chr1	57883998	57884162	RNA52	164	41	0.0244264603902704	1.4701099644298664e-05	0.975609756097561	250000.0
chr1	58695128	58695207	RNA53	79	9	8.169788897147453e-06	0.0	1.0	113924.05063291139
chr1	62439798	62440037	RNA54	239	46	1.9812197993100277e-05	0.0	1.0	192468.61924686193
chr1	66754655	66754777	RNA55	122	24	3.553837533823848e-05	1.4697900041937828e-05	1.0	196721.31147540984
chr1	66926141	66926242	RNA56	101	0				0.0
chr1	68193954	68194227	RNA57	273	59	4.285282267442835e-05	0.0	1.0	216117.21611721613
chr1	77641521	77641655	RNA58	134	29	2.9908530042779466e-05	0.0	1.0	216417.91044776118
chr1	77745420	77745599	RNA59	179	26	1.6958861509080565e-05	1.4697199731017465e-05	1.0	145251.3966480447
chr1	89171745	89171954	RNA60	209	42	0.0317544261570003	0.0	0.9523809523809523	200956.93779904305
chr1	94540256	94540368	RNA61	112	17	0.05885551642426007	1.4696799553348685e-05	0.9411764705882353	151785.71428571426
chr1	103617953	103618100	RNA62	147	0				0.0
chr1	103656284	103656498	RNA63	0	0				
chr1	108659863	108659962	RNA64	99	11	1.0690390974394342e-05	0.0	1.0	111111.11111111111
chr1	109223977	109224048	RNA65	71	10	1.3231710181571543e-05	7.347950031544315e-06	1.0	140845.0704225352
chr1	109625302	109625433	RNA66	131	36	1.2662794410466126e-05	1.4703300166729605e-05	1.0	274809.1603053435
chr1	110009033	110009145	RNA67	112	11	2.2716590633944463e-05	1.4697199731017465e-05	1.0	98214.28571428571
chr1	111691333	111691417	RNA68	84	15	2.4501206219910338e-05	1.4698100130772218e-05	1.0	178571.42857142858
chr1	114780109	114780215	RNA69	106	14	1.3651357026641822e-05	7.350549822149332e-06	1.0	132075.4716981132
chr1	120029905	120029987	RNA70	82	8	2.4980138050521648e-05	0.0	1.0	97560.9756097561
chr1	120763627	120763709	RNA71	82	22	0.045471780577331214	1.6530700122530106e-05	0.9545454545454546	268292.68292682926
chr1	144459365	144459483	RNA72	118	0				0.0
chr1	145724800	145724906	RNA73	106	21	1.5405933395197192e-05	1.470200004405342e-05	1.0	198113.20754716982
chr1	150694655	150694850	RNA74	195	40	5.6248303485515406e-05	0.0	1.0	205128.20512820513
chr1	153636571	153636653	RNA75	82	20	0.05001985039511965	1.4703050055686617e-05	0.95	243902.43902439025
chr1	153776517	153776727	RNA76	210	51	6.340380352020136e-06	0.0	1.0	242857.14285714284
chr1	153955064	153955166	RNA77	102	18	1.960049414467152e-05	1.4698999621032272e-05	1.0	176470.58823529413
