Chromosome,Start,End,Length_exon1,Length_exon2,Strand,GeneID
chr1,827589,859446,186,103,+,URS000075B941_9606
chr1,1137016,1144054,94,208,+,URS000075ABDA_9606
chr1,1399529,1402046,160,146,+,URS000075B363_9606
chr1,3059616,3067725,389,91,-,URS000075CF92_9606
chr1,4571486,4583704,143,123,+,URS0000BC45E4_9606
chr1,6724744,6730012,106,293,+,URS000075CC1C_9606
chr1,6783891,6784980,323,75,-,URS0000BC442D_9606
chr1,9182203,9192085,113,175,+,URS00008E3A18_9606
chr1,11099674,11102105,236,305,+,URS0000A76A99_9606
chr1,11609530,11613354,583,136,+,URS000075A243_9606
chr1,11840318,11847616,889,370,+,URS000075D3D8_9606
chr1,12525737,12530691,222,348,+,URS00025E99F8_9606
chr1,12822685,12823223,188,254,-,URS0000BC43E0_9606
chr1,14348954,14419973,480,120,-,URS0000BC44CB_9606
chr1,15740050,15749890,461,172,-,URS0000BC43B5_9606
chr1,16155175,16158148,580,1178,+,URS00022B48B9_9606
chr1,18065656,18074411,191,87,+,URS00007E4488_9606
chr1,19210385,19240704,174,448,+,URS0000A77184_9606
chr1,20243094,20244654,120,359,+,URS0000BC45AC_9606
chr1,20359800,20428794,211,83,-,URS000075A082_9606
chr1,22023993,22026048,85,161,-,URS000075BDEA_9606
chr1,23627332,23640568,205,219,+,URS0000D64BA3_9606
chr1,24200239,24211690,152,136,+,URS0000759DFB_9606
chr1,28643255,28648799,508,607,+,URS0000BC450F_9606
chr1,30718771,30726746,794,435,+,URS000075AA67_9606
chr1,33868955,33885458,94,135,+,URS000075D4C3_9606
chr1,35358823,35366077,112,345,-,URS0000BC45CD_9606
chr1,35569806,35577779,458,339,-,URS00025F1626_9606
chr1,37454878,37474443,300,93,-,URS000075ABAD_9606
chr1,38047133,38119530,481,80,+,URS0001BBE517_9606
chr1,38873400,38876226,179,286,+,URS0000A76875_9606
chr1,43354683,43358676,258,98,-,URS00022AF296_9606
chr1,43453926,43456999,127,422,+,URS00025E3446_9606
chr1,46674035,46692097,184,84,+,URS000075DB8C_9606
chr1,51518288,51561649,195,142,+,URS00025EAAEC_9606
chr1,60940243,60970740,193,239,-,URS00022AE7C0_9606
chr1,69055897,69185002,150,119,+,URS0000BC465A_9606
chr1,73674678,73738642,98,93,+,URS0000BC44E7_9606
chr1,83446053,83454771,621,114,+,URS0000BC43FD_9606
chr1,87353526,87371655,87,103,-,URS000075B9B0_9606
chr1,90851758,90854899,521,672,+,URS0000BC4441_9606
chr1,94657531,94820232,278,181,-,URS0000D5B53B_9606
chr1,95351250,95352107,76,379,-,URS0000BC4588_9606
chr1,95510115,95515464,247,103,+,URS000075A32F_9606
chr1,97933473,97941740,168,696,-,URS0000BC4572_9606
chr1,101025845,101087379,216,322,+,URS0000759A5E_9606
chr1,101234872,101236528,204,1009,-,URS000075BD3C_9606
chr1,105602151,105618935,161,155,-,URS00007E44BA_9606
chr1,105927623,106028253,448,80,-,URS0000BC4479_9606
chr1,108050324,108076020,411,151,+,URS00025E9D43_9606
chr1,112956414,112964068,1308,99,+,URS000075C4CF_9606
chr1,115099579,115102686,172,439,+,URS00022B374C_9606
chr1,115919375,115925908,184,79,+,URS00007E3F30_9606
chr1,117295465,117321336,238,114,+,URS00007E3714_9606
chr1,117596831,117605770,125,148,-,URS000075D717_9606
chr1,119140395,119183823,398,182,+,URS00007E486B_9606
chr1,145926830,145941203,116,406,+,URS0000BC45C1_9606
chr1,146052594,146058799,354,296,+,URS00007E3AAF_9606
chr1,147382191,147517875,433,156,-,URS000075DFB4_9606
chr1,148162709,148163412,283,271,+,URS0000A767CE_9606
chr1,151280024,151281929,387,234,-,URS0000A76C56_9606
chr1,151347009,151347891,179,260,+,URS00008E3A53_9606
chr1,151790748,151794402,497,588,+,URS0000BC4629_9606
chr1,151838276,151851535,461,291,+,URS0000CCDFFE_9606
chr1,155045191,155051165,559,93,-,URS000075A153_9606
chr1,155316853,155324176,99,195,-,URS0000ABD863_9606
chr1,155562025,155563944,261,964,+,URS00022B5F5C_9606
chr1,156645735,156661440,126,1419,-,URS00026179B9_9606
chr1,158025549,158032098,137,1382,+,URS0000ABD7E1_9606
chr1,158132043,158140640,143,79,-,URS000075ACC9_9606
chr1,159961223,159979086,182,469,+,URS000075A942_9606
chr1,160261748,160262778,174,378,+,URS0000BC445D_9606
chr1,161749451,161766127,298,74,-,URS00025F7C6D_9606
chr1,168786940,168792888,288,109,+,URS000075C630_9606
chr1,170174378,170241570,328,140,+,URS0000BC448B_9606
chr1,170461316,170532609,162,211,-,URS00007E4946_9606
chr1,173417788,173461362,985,834,-,URS00007E3E18_9606
chr1,174121637,174159287,124,104,-,URS000029FF6C_9606
chr1,180558973,180566518,82,141,+,URS00007E36BD_9606
chr1,180949690,180954887,220,1228,-,URS0000ABD817_9606
chr1,181174483,181182206,92,130,+,URS00007E4C95_9606
chr1,183138402,183141270,129,159,-,URS0000BC460C_9606
chr1,183460875,183471982,1263,76,-,URS000075EEAE_9606
chr1,185001526,185008678,101,985,+,URS0000BC4633_9606
chr1,188905671,189037814,255,1097,+,URS00025E3479_9606
chr1,191221158,191228498,176,154,-,URS0000BC462A_9606
chr1,196044879,196088715,213,120,-,URS0000BC4644_9606
chr1,202000050,202010353,554,277,-,URS0000BC45EE_9606
chr1,203083794,203088340,185,202,+,URS0000E42B0E_9606
chr1,203287151,203288796,160,318,+,URS000075B295_9606
chr1,205456056,205469024,167,187,+,URS00008BDA32_9606
chr1,205554271,205569305,177,100,-,URS0000CCE071_9606
chr1,206634184,206635433,338,799,-,URS00022B2827_9606
chr1,207801517,207822703,500,176,-,URS0000A77143_9606
chr1,209372054,209379690,160,161,+,URS0000BC43D7_9606
chr1,209428819,209432547,269,228,+,URS0000ABD848_9606
chr1,210231455,210233885,251,316,-,URS0000D77F5A_9606
chr1,211132278,211133374,187,748,-,URS0000BC4558_9606
chr1,211382754,211432535,171,82,+,URS000075ACB7_9606
chr1,211639807,211654621,82,142,+,URS00008E39CF_9606
chr1,211675761,211687459,105,88,+,URS0000BC44A0_9606
chr1,219080974,219173788,319,80,-,URS000075B5F8_9606
chr1,219435157,219557324,134,179,-,URS0000A77289_9606
chr1,221913644,221978520,161,121,-,URS0000BC4493_9606
chr1,230002716,230007162,277,390,+,URS0000A774BF_9606
chr1,231184096,231187627,112,99,-,URS0000380C69_9606
chr1,234957342,234963999,233,76,-,URS00025E764C_9606
chr1,234959307,234960022,246,326,+,URS00007E4015_9606
chr1,238480383,238486017,233,1298,-,URS000075A909_9606
chr1,245206443,245234517,131,126,-,URS0000CCDFB1_9606
chr10,650076,669581,366,93,+,URS0000E86FC5_9606
chr10,1526629,1557008,270,398,+,URS0000CCE155_9606
chr10,2005472,2014348,214,212,-,URS000075B9DB_9606
chr10,3052501,3066933,181,404,-,URS0000E60B5B_9606
chr10,3141600,3148629,169,117,+,URS000075BE06_9606
chr10,4656155,4662414,165,130,+,URS000075E9C9_9606
chr10,5594984,5596118,108,595,-,URS0000A77231_9606
chr10,6737381,6738939,247,583,+,URS0000A76D17_9606
chr10,9275612,9287056,248,465,+,URS000075DB9C_9606
chr10,10419536,10462349,162,109,-,URS00003D754F_9606
chr10,11849607,11894710,529,107,-,URS000075BA57_9606
chr10,17214238,17229985,641,108,-,URS000075B948_9606
chr10,21173989,21174923,118,442,+,URS000075AE68_9606
chr10,23343956,23345159,134,736,+,URS0000D78001_9606
chr10,26577685,26579307,114,138,-,URS0000A76C06_9606
chr10,26589864,26594322,473,104,+,URS000075BC29_9606
chr10,27744614,27767799,334,442,+,URS000075DE1B_9606
chr10,30723218,30723740,118,322,+,URS0000A76472_9606
chr10,31706717,31707487,182,375,-,URS00025E7734_9606
chr10,32347363,32374488,112,186,+,URS000075BE23_9606
chr10,33074025,33116807,337,122,-,URS0000E60B05_9606
chr10,33904130,33917804,260,167,+,URS0002123126_9606
chr10,38428145,38452153,151,124,+,URS000075E54A_9606
chr10,42475490,42495337,390,182,+,URS000075BFEF_9606
chr10,43777566,43778902,321,284,-,URS0000A77064_9606
chr10,44292749,44294649,184,189,+,URS00007BE1A3_9606
chr10,44993931,45000803,274,131,-,URS0000EEACA5_9606
chr10,46582168,46598145,312,970,-,URS0000D78064_9606
chr10,52296847,52314128,495,88,-,URS000075EB1A_9606
chr10,62520447,62672011,150,222,+,URS0000DBA8AE_9606
chr10,78267341,78280213,145,96,+,URS0000D78019_9606
chr10,79691499,79826594,397,104,-,URS0000759C3A_9606
chr10,79716444,79826517,125,191,-,URS000075A46C_9606
chr10,85431942,85432772,370,290,-,URS0000759F36_9606
chr10,85449591,85492001,585,321,+,URS000075B6C0_9606
chr10,89829492,89840861,253,335,+,URS000075A40C_9606
chr10,89888133,89914956,154,321,+,URS0000BC456D_9606
chr10,91306961,91611460,110,194,-,URS000075B789_9606
chr10,94099648,94108794,437,138,-,URS000075B5EB_9606
chr10,99927204,99958998,95,81,+,URS0000CCE041_9606
chr10,100373575,100388354,437,233,+,URS000075C0D0_9606
chr10,101229593,101238859,221,181,+,URS000075A252_9606
chr10,101819067,101828889,181,80,+,URS000075ABA8_9606
chr10,102449816,102456293,206,174,+,URS000075B6B9_9606
chr10,104664607,104666216,768,526,-,URS0000759BD2_9606
chr10,107871576,108069293,112,147,-,URS00007E3821_9606
chr10,117238761,117241998,114,123,-,URS00022B774E_9606
chr10,118046820,118210153,283,106,+,URS000075B07A_9606
chr11,559476,560107,207,329,+,URS0000BC4643_9606
chr11,1049879,1055764,83,221,+,URS0000E60B51_9606
chr11,1760347,1762486,847,1168,+,URS000027B716_9606
chr11,1995175,1997875,1358,135,-,URS0000812128_9606
chr11,2140511,2148666,436,283,+,URS0000A76E5D_9606
chr11,2328748,2377992,407,212,-,URS0000759B3A_9606
chr11,2887344,2903575,117,126,-,URS0001BBE583_9606
chr11,15552772,15705372,141,351,+,URS0001BBE4A4_9606
chr11,17695266,17696939,121,434,-,URS00008E39AE_9606
chr11,19978698,19981374,138,497,-,URS00025E3453_9606
chr11,22445671,22492019,105,137,-,URS000075E984_9606
chr11,35132649,35138032,335,281,-,URS000075AE0C_9606
