Chromosome,Start,End,ID,Functional,methylome
chr1,10303,10382,RNA1001,No,0
chr1,10326,10410,RNA1002,No,0
chr1,10367,10559,RNA1003,No,53.8633
chr1,10392,10495,RNA1004,No,48.6241
chr1,10393,10509,RNA1005,No,50.6617
chr1,10396,10534,RNA1006,No,53.1702
chr1,10517,10709,RNA1007,No,52.8528
chr1,10518,10621,RNA1008,No,57.7192
chr1,10533,10740,RNA1009,No,54.4874
chr1,10550,10742,RNA1010,No,54.37
chr1,10730,10815,RNA1011,No,61.7316
chr1,10753,10832,RNA1012,No,58.8339
chr1,10865,10960,RNA1013,No,23.8935
chr1,10899,10978,RNA1014,No,18.1511
chr1,10907,11114,RNA1015,No,8.18824
chr1,10929,11118,RNA1016,No,5.66093
chr1,11136,11220,RNA1017,No,0.268528
chr1,11317,11420,RNA1018,No,0.125313
chr1,11408,11546,RNA1019,No,1.4411
chr1,11413,11497,RNA1020,No,1.4411
chr1,11477,11615,RNA1021,No,1.31579
chr1,11506,11626,RNA1022,No,0
chr1,11577,11766,RNA1023,No,0
chr1,11652,11737,RNA1024,No,0
chr1,11660,11849,RNA1025,No,0
chr1,859729,859850,RNA1026,No,0
chr1,860028,860102,RNA1027,No,0
chr1,959328,959419,RNA1028,No,0.572133
chr1,1056283,1056402,RNA1029,No,61.2401
chr1,1118667,1118792,RNA1030,No,72.3543
chr1,1119571,1119691,RNA1031,No,70.6284
chr1,1199704,1199824,RNA1032,No,78.8474
chr1,1199825,1199969,RNA1033,No,83.7256
chr1,1207625,1207745,RNA1034,No,34.2068
chr1,1208775,1208870,RNA1035,No,32.9104
chr1,1215147,1215267,RNA1036,No,0
chr1,1216328,1216448,RNA1037,No,74.8534
chr1,1292043,1292138,RNA1038,No,30.8823
chr1,1292146,1292241,RNA1039,No,46.9041
chr1,1330329,1330424,RNA1040,No,0
chr1,1330832,1330952,RNA1041,No,38.6015
chr1,1331000,1331095,RNA1042,No,56.7707
chr1,1365112,1365186,RNA1043,No,81.3496
chr1,1417772,1417846,RNA1044,No,72.0226
chr1,1417783,1417857,RNA1045,No,72.0226
chr1,1417858,1417953,RNA1046,No,75.4436
chr1,1512050,1512124,RNA1047,No,0.390664
chr1,1512052,1512126,RNA1048,No,0.414217
chr1,1577122,1577196,RNA1049,No,0
chr1,1586006,1586127,RNA1050,No,56.9594
chr1,1588014,1588135,RNA1051,No,71.0689
chr1,1589113,1589234,RNA1052,No,75.0815
chr1,1748469,1748590,RNA1053,No,72.8534
chr1,1750640,1750761,RNA1054,No,46.0692
chr1,1781945,1782066,RNA1055,No,61.1391
chr1,1899792,1899883,RNA1056,No,42.4361
chr1,1919494,1919613,RNA1057,No,0.525974
chr1,1921310,1921401,RNA1058,No,32.6579
chr1,1921489,1921580,RNA1059,No,75.0865
chr1,2011510,2011627,RNA1060,No,80.2481
chr1,2047528,2047672,RNA1061,No,41.9424
chr1,2048067,2048211,RNA1062,No,69.8741
