chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable
chr1	10332	10469	RNA1001	75	0				0.0
chr1	10524	10613	RNA1002	0	0				
chr1	10607	10744	RNA1003	85	0				0.0
chr1	10893	10975	RNA1004	0	0				
chr1	11579	11662	RNA1005	0	0				
chr1	859624	859761	RNA1006	137	0				0.0
chr1	859954	860091	RNA1007	137	0				0.0
chr1	860077	860214	RNA1008	130	0				0.0
chr1	1019981	1020118	RNA1009	127	65	0.015633761055477615	1.512949984316947e-05	0.9846153846153847	511811.0236220472
chr1	1070610	1070699	RNA1010	89	26	0.004221605007667396	1.4703699889651034e-05	0.9615384615384616	292134.8314606742
chr1	1070625	1070707	RNA1011	82	23	0.004770330943440215	1.4703699889651034e-05	0.9565217391304348	280487.80487804883
chr1	1124182	1124271	RNA1012	89	24	0.041738744424984965	1.480745004300843e-05	0.9583333333333334	269662.9213483146
chr1	1124855	1124944	RNA1013	89	14	1.0497992726803724e-05	1.4696150174131617e-05	1.0	157303.37078651684
chr1	1125122	1125204	RNA1014	82	30	1.0779566794856995e-05	0.0	1.0	365853.65853658534
chr1	1125479	1125561	RNA1015	82	27	4.083281143080701e-05	0.0	1.0	329268.29268292687
chr1	1198855	1198937	RNA1016	82	26	2.2678049880104254e-05	7.348849976551719e-06	1.0	317073.1707317073
chr1	1199332	1199415	RNA1017	83	20	1.1764329974539578e-05	0.0	1.0	240963.85542168675
chr1	1199443	1199532	RNA1018	89	20	0.050008089205039144	7.35100002202671e-06	0.95	224719.1011235955
chr1	1199949	1200031	RNA1019	82	24	0.0003308636072081993	1.47044002005714e-05	1.0	292682.9268292683
chr1	1200446	1200535	RNA1020	89	28	2.310409968231064e-05	7.349250154220499e-06	1.0	314606.7415730337
chr1	1273877	1273966	RNA1021	89	40	0.025028531222096716	1.4726449990121182e-05	0.975	449438.202247191
chr1	1273894	1273976	RNA1022	81	39	2.963521497944159e-05	1.4729300346516538e-05	1.0	481481.48148148146
chr1	1292190	1292273	RNA1023	83	25	0.04001234650433617	0.0	0.96	301204.8192771085
chr1	1292301	1292384	RNA1024	83	23	3.578725195635799e-05	1.4697199731017465e-05	1.0	277108.4337349398
chr1	1330567	1330650	RNA1025	83	19	9.670305716051056e-05	0.0	1.0	228915.6626506024
chr1	1330759	1330842	RNA1026	83	12	8.576916722328557e-06	1.4700900010211626e-05	1.0	144578.31325301205
chr1	1399349	1399432	RNA1027	83	32	3.2621950055043674e-05	1.4698749964736635e-05	1.0	385542.1686746988
chr1	2050238	2050320	RNA1028	82	17	1.4730411749040953e-05	0.0	1.0	207317.0731707317
chr1	2050256	2050345	RNA1029	89	12	1.9640899987884837e-05	1.4731650026078569e-05	1.0	134831.4606741573
chr1	2310539	2310622	RNA1030	83	28	0.0013569754434489079	1.4698100130772218e-05	1.0	337349.3975903614
chr1	2565863	2565958	RNA1031	95	0				0.0
chr1	3441697	3441792	RNA1032	87	20	0.0011797792241850396	1.4703499800816644e-05	1.0	229885.05747126436
chr1	3487769	3487864	RNA1033	95	32	0.0033563151466182643	1.4698300219606608e-05	0.96875	336842.10526315786
chr1	3487808	3487903	RNA1034	95	24	3.429784950033194e-05	1.4696400285174605e-05	1.0	252631.57894736843
chr1	3614028	3614123	RNA1035	95	22	0.04628613169895535	1.4705650301038986e-05	0.9545454545454546	231578.94736842104
chr1	3616703	3616798	RNA1036	95	19	1.5471389384689055e-05	1.4696799553348685e-05	1.0	200000.0
chr1	3619056	3619169	RNA1037	113	25	0.08001611135878192	0.0	0.88	221238.93805309734
chr1	3630669	3630764	RNA1038	95	22	2.204887294448477e-05	7.348399776674342e-06	1.0	231578.94736842104
chr1	4557122	4557217	RNA1039	95	15	2.6455053193779154e-05	1.4697699953103438e-05	1.0	157894.73684210525
chr1	5028193	5028330	RNA1040	137	16	5.511843710337416e-06	0.0	1.0	116788.3211678832
chr1	6101207	6101296	RNA1041	89	29	0.03239545886230315	0.0	0.9310344827586207	325842.6966292135
chr1	6101427	6101509	RNA1042	82	19	2.1665042224505312e-05	0.0	1.0	231707.31707317074
chr1	6261274	6261357	RNA1043	83	17	3.806573551949371e-05	1.470929964852985e-05	1.0	204819.27710843371
chr1	7769730	7769843	RNA1044	113	22	1.0690413587739881e-05	7.348200142587302e-06	1.0	194690.26548672566
chr1	7770249	7770367	RNA1045	118	21	3.644146168620395e-05	1.4699399798701052e-05	1.0	177966.10169491524
chr1	8344674	8344787	RNA1046	97	17	0.058849835182466934	1.471189989388222e-05	0.9411764705882353	175257.7319587629
chr1	8345348	8345461	RNA1047	113	20	0.00015945661139084725	0.0	1.0	176991.15044247787
chr1	8346101	8346196	RNA1048	95	16	2.0214637743262025e-05	0.0	1.0	168421.05263157893
chr1	8348553	8348666	RNA1049	113	28	6.981553808925194e-05	0.0	1.0	247787.61061946902
chr1	8860841	8860954	RNA1050	113	22	7.3487999543431215e-06	0.0	1.0	194690.26548672566
chr1	8860843	8860956	RNA1051	113	22	7.3487999543431215e-06	0.0	1.0	194690.26548672566
chr1	8860849	8860962	RNA1052	113	21	7.698742809311842e-06	0.0	1.0	185840.70796460178
chr1	9824110	9824223	RNA1053	113	47	7.631431168540382e-05	1.4835000001767185e-05	1.0	415929.203539823
chr1	10631101	10631239	RNA1054	138	42	9.098330922695044e-06	0.0	1.0	304347.82608695654
chr1	10905536	10905654	RNA1055	118	21	0.0004850789033038603	1.4696799553348685e-05	1.0	177966.10169491524
chr1	11537959	11538032	RNA1056	73	17	0.05069816430343908	1.4701099644298664e-05	0.8823529411764706	232876.7123287671
chr1	11538067	11538138	RNA1057	71	21	0.13746815661038236	1.4698100130772218e-05	0.8571428571428571	295774.6478873239
chr1	11539618	11539691	RNA1058	73	21	2.062981911876304e-05	0.0	1.0	287671.23287671234
chr1	11549410	11549480	RNA1059	70	10	0.10001322794987573	1.4698749964736637e-05	0.9	142857.14285714284
chr1	11731967	11732039	RNA1060	72	13	0.07695474289945335	1.4700700376124589e-05	0.9230769230769231	180555.55555555556
chr1	11733063	11733135	RNA1061	72	15	2.091550025700902e-05	1.4794200069445653e-05	1.0	208333.33333333334
chr1	11733689	11733759	RNA1062	70	9	6.548866723379533e-06	0.0	1.0	128571.42857142857
chr1	11733930	11734000	RNA1063	70	13	9.048599937299374e-06	0.0	1.0	185714.2857142857
chr1	11852406	11852524	RNA1064	118	20	1.5447984924321646e-05	1.4708649814565433e-05	1.0	169491.5254237288
chr1	11873697	11873768	RNA1065	71	9	0.00012901129887014264	1.4701099644298664e-05	1.0	126760.56338028169
chr1	11877378	11877451	RNA1066	73	16	1.6569687545597844e-05	0.0	1.0	219178.08219178082
chr1	11890894	11890967	RNA1067	73	0				0.0
chr1	11898352	11898470	RNA1068	114	0				0.0
chr1	11902778	11902896	RNA1069	118	0				0.0
chr1	11916919	11917037	RNA1070	118	27	0.037077319159127195	1.4696400285174605e-05	0.9629629629629629	228813.5593220339
chr1	11919101	11919219	RNA1071	118	33	0.0035450421304576	0.0	0.9696969696969697	279661.0169491525
chr1	12016081	12016199	RNA1072	118	25	0.03963725583402265	0.0	0.92	211864.40677966102
chr1	12907762	12907880	RNA1073	118	0				0.0
chr1	13466578	13466691	RNA1074	113	14	6.405442016848626e-05	1.4698100130772218e-05	1.0	123893.80530973451
chr1	13882512	13882650	RNA1075	138	16	0.06251648234450613	0.0	0.875	115942.02898550725
chr1	15435279	15435417	RNA1076	138	0				0.0
chr1	15526539	15526609	RNA1077	70	24	4.349497036552162e-05	1.4697900041937828e-05	1.0	342857.14285714284
chr1	15526600	15526673	RNA1078	73	20	2.4252189723482355e-05	1.4696399830427254e-05	1.0	273972.602739726
chr1	15526632	15526770	RNA1079	138	41	2.7602653728267948e-05	1.469509970775107e-05	1.0	297101.4492753623
chr1	15526651	15526789	RNA1080	138	45	0.006864607772533618	0.0	0.9777777777777777	326086.95652173914
chr1	15526695	15526766	RNA1081	71	19	3.171633168101839e-05	1.469549988541985e-05	1.0	267605.63380281685
chr1	15526730	15526803	RNA1082	73	27	0.031332174132061213	0.0	0.9259259259259259	369863.0136986301
chr1	15669162	15669300	RNA1083	138	29	0.03451164934179767	1.4697699953103438e-05	0.9655172413793104	210144.92753623187
