Chromosome,Start,End,Length_exon1,Length_exon2,Strand
chr1,21155,12063303,117,153,+
chr1,68423,155273201,170,229,-
chr1,80662,120415035,269,142,+
chr1,109258,20787195,196,100,-
chr1,137283,9943349,159,109,-
chr1,152856,156591776,109,111,+
chr1,157207,44213471,150,92,+
chr1,4485357,6496959,77,130,-
chr1,11980444,12013508,145,179,+
chr1,18107798,18378483,113,122,+
chr1,19312326,19329300,161,242,+
chr1,31181712,31239494,138,81,-
chr1,33147727,33181025,96,257,-
chr1,35931105,36072500,172,121,+
chr1,36341973,36385723,237,120,-
chr1,37494107,37514657,116,88,-
chr1,41511266,41918413,80,199,-
chr1,45329437,45340219,121,182,-
chr1,45500300,45513382,195,153,+
chr1,46175087,46185962,133,65,+
chr1,52373375,52404246,100,128,-
chr1,63523525,63572693,188,212,+
chr1,71407570,72282319,233,126,-
chr1,74733152,74766677,81,99,+
chr1,77282019,77559966,187,168,+
chr1,94983306,95072763,152,132,-
chr1,97079146,97920884,111,83,-
chr1,99646113,99694535,81,125,+
chr1,109114115,109206781,121,193,+
chr1,143956481,143970990,78,125,-
chr1,145892863,145909963,112,110,-
chr1,150926363,150964737,271,152,+
chr1,151406464,151442081,176,109,-
chr1,151540309,151583583,75,102,+
chr1,151847414,151853443,202,139,-
chr1,155033824,155050930,126,126,+
chr1,156061160,156070504,196,194,+
chr1,156293209,156295526,258,201,-
chr1,157093127,157099466,238,190,-
chr1,161766320,161964070,77,88,+
chr1,184387029,184629019,218,95,+
chr1,200042591,200177415,119,142,+
chr1,202010587,202017183,171,222,+
chr1,204155177,204166196,151,124,-
chr1,205770453,205775273,254,72,-
chr1,207752054,207795504,189,103,+
chr1,217631344,217871696,90,82,+
chr1,220058992,220089686,128,105,-
chr1,228083150,228099212,185,111,+
chr1,230907019,230978560,95,76,-
chr1,236550990,236604422,174,217,-
chr10,213793,47999693,63,190,-
chr10,1019834,1025816,163,93,-
chr10,13222200,13234201,66,96,-
chr10,14820158,14837832,128,142,-
chr10,34111562,34814876,102,181,-
chr10,35247025,35572667,103,105,+
chr10,43606438,43617904,78,127,+
chr10,46286997,46330129,72,72,+
chr10,69124178,69174412,150,76,+
chr10,70478767,70568450,214,103,+
chr10,73008292,73096766,108,97,-
chr10,73110455,73131823,92,140,+
chr10,73676074,73697533,69,69,-
chr10,92291167,92353964,203,131,+
chr10,93669868,93702375,77,96,-
chr10,97849843,97871578,126,153,+
chr10,100523929,100529767,127,100,-
chr10,101031234,101041241,169,164,+
chr10,102830985,102837065,139,230,-
chr10,119831600,119872527,86,141,-
chr10,123154402,123165365,195,70,+
chr10,131901008,131959834,93,98,+
chr10,133394157,133422520,65,105,+
