chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable
chr1	829001	829104	RNA1	103	0				0.0
chr1	1140824	1141032	RNA2	208	50	4.7976653531798024e-05	1.4713899872731417e-05	1.0	240384.6153846154
chr1	1400157	1400303	RNA3	146	46	1.6935156449818513e-05	0.0	1.0	315068.4931506849
chr1	3060229	3060320	RNA4	91	22	0.00945751847480509	1.4699399798701052e-05	0.9545454545454546	241758.24175824175
chr1	4572469	4572592	RNA5	123	33	0.013974241147259429	0.0	0.9696969696969697	268292.68292682926
chr1	6729719	6730012	RNA6	293	65	1.266503379436156e-05	0.0	1.0	221843.0034129693
chr1	6784148	6784223	RNA7	75	16	2.9397062519356916e-05	1.4695949630549876e-05	1.0	213333.33333333334
chr1	9183632	9183807	RNA8	175	34	0.01095921594338399	7.348849976551719e-06	0.9705882352941176	194285.7142857143
chr1	11101800	11102105	RNA9	305	50	0.0001472843917690583	0.0	1.0	163934.4262295082
chr1	11611842	11611978	RNA10	136	29	0.06898072118944802	1.4697699953103438e-05	0.9310344827586207	213235.29411764705
chr1	11843703	11844073	RNA11	370	75	0.022980433148513835	1.4696799553348685e-05	0.96	202702.70270270272
chr1	12527444	12527792	RNA12	348	96	0.004740714508045582	1.469549988541985e-05	0.9895833333333334	275862.0689655172
chr1	12823035	12823289	RNA13	254	0				0.0
chr1	14350868	14350988	RNA14	120	0				0.0
chr1	15749429	15749601	RNA15	172	37	0.03784657705745229	1.4699799976369832e-05	0.918918918918919	215116.27906976742
chr1	16156970	16158148	RNA16	1178	219	0.02284293464934258	1.4696799553348685e-05	0.9771689497716894	185908.31918505943
chr1	18068191	18068278	RNA17	87	14	0.21420797427910138	1.4702450243930798e-05	0.7857142857142857	160919.54022988505
chr1	19240256	19240704	RNA18	448	85	0.0139740585885888	0.0	0.9764705882352941	189732.14285714284
chr1	20244295	20244654	RNA19	359	63	0.0008651381687221656	0.0	0.9841269841269841	175487.46518105848
chr1	20362143	20362226	RNA20	83	12	8.573349911481879e-06	0.0	1.0	144578.31325301205
chr1	22024805	22024966	RNA21	161	27	0.027903936591630756	0.0	0.9629629629629629	167701.86335403728
chr1	23627779	23627998	RNA22	219	34	0.00037365149222857053	7.350350188062294e-06	1.0	155251.1415525114
chr1	24202463	24202599	RNA23	136	23	3.834848607568725e-05	1.469590006308863e-05	1.0	169117.64705882355
chr1	28648192	28648799	RNA24	607	486	0.010628527660042854	1.4704200111737007e-05	0.9897119341563786	800658.9785831961
chr1	30721287	30721722	RNA25	435	98	0.020442958171269288	1.4696599919261644e-05	0.9795918367346939	225287.3563218391
chr1	33869202	33869337	RNA26	135	27	7.6222296330444e-06	0.0	1.0	200000.0
chr1	35365965	35366310	RNA27	345	61	0.00024359965185585908	1.4697699953103438e-05	1.0	176811.59420289856
chr1	35574359	35574698	RNA28	339	54	0.018348155842179234	1.4697199731017465e-05	0.9814814814814815	159292.03539823007
chr1	37456366	37456459	RNA29	93	17	7.004133685232811e-05	1.470460028940579e-05	1.0	182795.6989247312
chr1	38102416	38102496	RNA30	80	15	0.015027164733631552	1.4698100130772218e-05	0.8666666666666667	187500.0
chr1	38875940	38876226	RNA31	286	46	9.171407426670143e-05	0.0	1.0	160839.16083916085
chr1	43357802	43357900	RNA32	98	23	0.04349168332634651	0.0	0.9565217391304348	234693.8775510204
