Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,10408,10614,RNA1001,No,1022.91,12.37545,12.3755
chr1,10859,10960,RNA1002,No,0,0,0
chr1,11054,11155,RNA1003,No,0,0,0
chr1,11262,11406,RNA1004,No,0,0,0
chr1,11532,11633,RNA1005,No,0,0,0
chr1,859734,859835,RNA1006,No,0.177619,0.267371,0.145598
chr1,859796,859897,RNA1007,No,0.227662,0.267371,0.227662
chr1,966339,966440,RNA1008,No,5507.94,26.05173,26.0517
chr1,1018857,1019063,RNA1009,No,0.726084,0.69877,0.349385
chr1,1124791,1124997,RNA1010,No,511.267,9.09446,9.09446
chr1,1124948,1125154,RNA1011,No,464.8,9.09446,9.09446
chr1,1200105,1200311,RNA1012,No,45.5658,3.09239,3.09239
chr1,1202323,1202529,RNA1013,No,0.889768,0.350278,0.151334
chr1,1241449,1241655,RNA1014,No,14.1054,5.33006,4.21747
chr1,1292104,1292248,RNA1015,No,2236.35,30.82239,30.8224
chr1,1384395,1384539,RNA1016,No,27.6408,6.04858,6.04858
chr1,1385351,1385495,RNA1017,No,11.4533,2.53752,2.53752
chr1,1410885,1411029,RNA1018,No,19.9404,7.10295,6.65902
chr1,1410893,1411037,RNA1019,No,18.4389,7.10295,6.26441
chr1,1541137,1541281,RNA1020,No,797.931,15.19871,10.9831
chr1,1749268,1749559,RNA1021,No,11.3625,5.06741,5.06741
chr1,1785036,1785109,RNA1022,No,2.48226,0.905001,0.855412
chr1,1899730,1899831,RNA1023,No,123.168,8.14332,5.98309
chr1,2048374,2048580,RNA1024,No,53.8316,5.48812,5.48812
chr1,2048720,2048809,RNA1025,No,1.39971,0.637077,0.58697
chr1,2310814,2310958,RNA1026,No,6.91663,3.65433,1.47188
chr1,2959091,2959180,RNA1027,No,6.1023,3.70647,2.49874
chr1,3030987,3031076,RNA1028,No,30.1113,3.78115,3.78115
chr1,3033946,3034035,RNA1029,No,4.61756,0.558334,0.558334
chr1,3442060,3442149,RNA1030,No,6.72322,1.36623,1.36623
chr1,3443051,3443140,RNA1031,No,3.48845,0.442689,0.442689
chr1,3444435,3444524,RNA1032,No,11.3579,5.22044,4.92716
chr1,3613327,3613448,RNA1033,No,84.5009,11.13422,8.23654
chr1,4096678,4096767,RNA1034,No,0,0,0
chr1,4182422,4182595,RNA1035,No,0.885711,0.437169,0.144043
chr1,4468265,4468386,RNA1036,No,3.39962,2.59687,2.59687
chr1,4557963,4558084,RNA1037,No,1.88916,3.10505,1.38572
chr1,4559535,4559656,RNA1038,No,6.79208,4.45928,3.16941
chr1,4600567,4600688,RNA1039,No,35.6663,14.87720,14.8772
chr1,4600770,4600891,RNA1040,No,17.3361,14.87720,3.56561
chr1,4634576,4634697,RNA1041,No,41.2084,8.62476,8.62476
chr1,5495788,5495909,RNA1042,No,16.5523,5.27894,3.3419
chr1,5782297,5782588,RNA1043,No,0.997721,0.314866,0.152828
chr1,5812636,5812709,RNA1044,No,0.142187,0.142187,0.142187
chr1,5854732,5854833,RNA1045,No,0.0931053,0.195909,0.0931053
chr1,6101442,6101745,RNA1046,No,169.7,5.64137,4.14603
chr1,6101464,6101670,RNA1047,No,209.399,5.64137,5.34573
chr1,6401902,6402046,RNA1048,No,411.722,18.93524,18.9352
chr1,6624455,6624746,RNA1049,No,2262.78,34.14501,14.5637
chr1,6624542,6624676,RNA1050,No,1341.32,34.14501,17.6151
chr1,6703636,6703927,RNA1051,No,3.21482,3.30324,1.45297
chr1,6711998,6712071,RNA1052,No,0,0,0
chr1,6719206,6719497,RNA1053,No,0,0,0
chr1,6751412,6751703,RNA1054,No,0.299827,0.447473,0.115328
chr1,6751880,6752171,RNA1055,No,4.08272,3.06558,1.65394
chr1,6770739,6770812,RNA1056,No,652.898,21.86813,21.8681
chr1,6771496,6771787,RNA1057,No,521.969,32.49681,32.4968
chr1,6772809,6772882,RNA1058,No,0,0,0
chr1,7769887,7769960,RNA1059,No,0.136435,0.248993,0.136435
chr1,7770011,7770302,RNA1060,No,14.4848,3.63837,3.63837
chr1,7770295,7770368,RNA1061,No,20.4979,7.69446,4.74316
chr1,7770445,7770518,RNA1062,No,13.9678,7.69446,7.69446
chr1,7770530,7770876,RNA1063,No,3939.23,32.74566,19.9049
chr1,7770543,7770911,RNA1064,No,4458.88,32.74566,21.3777
chr1,7771212,7771285,RNA1065,No,14921.6,32.74566,32.7457
chr1,7854444,7854696,RNA1066,No,3.18129,7.08919,2.8413
chr1,7986538,7986627,RNA1067,No,18.0183,6.33994,6.33994
chr1,8252140,8252313,RNA1068,No,22.4397,13.89854,3.81074
chr1,9031096,9031217,RNA1069,No,148.37,13.69353,12.8615
chr1,9031299,9031472,RNA1070,No,592.213,14.14119,14.1412
chr1,9031774,9031947,RNA1071,No,1011.28,14.14119,14.1412
chr1,9033133,9033306,RNA1072,No,1.1555,0.311515,0.242498
chr1,9824426,9824599,RNA1073,No,5261.32,19.26804,19.268
chr1,9824598,9824771,RNA1074,No,3612.33,19.26804,13.8889
chr1,9824634,9824807,RNA1075,No,2787.15,19.26804,11.5393
chr1,9824692,9824810,RNA1076,No,1977.71,19.26804,11.5393
chr1,10030291,10030594,RNA1077,No,1.54868,1.56829,0.486532
chr1,10193389,10193562,RNA1078,No,28.2956,9.07034,5.57276
chr1,10631965,10632099,RNA1079,No,83.3167,5.11871,5.11871
chr1,10800275,10800445,RNA1080,No,2.12754,0.951527,0.811597
chr1,10839619,10839987,RNA1081,No,4.32417,2.96128,1.11243
chr1,11005580,11005883,RNA1082,No,1.22603,0.320167,0.193368
chr1,11047359,11047662,RNA1083,No,149.876,12.84648,8.35116
chr1,11049358,11049661,RNA1084,No,1.30499,0.361649,0.213445
chr1,11102392,11102695,RNA1085,No,0.70831,0.30261,0.124065
chr1,11105999,11106302,RNA1086,No,14.9249,3.12833,3.12833
chr1,11264422,11265598,RNA1087,No,0.184672,0.212433,0.025691
chr1,11265719,11266022,RNA1088,No,0.0613352,0.109244,0.0436255
chr1,11538556,11538902,RNA1089,No,1.6804,1.60109,0.851447
chr1,11539775,11539909,RNA1090,No,4.7859,2.20901,2.20901
chr1,11597458,11597592,RNA1091,No,0.0225246,0.251525,0.0225246
chr1,11601878,11602012,RNA1092,No,0.237551,0.237551,0.237551
chr1,11617046,11617337,RNA1093,No,104.118,24.38453,16.4239
chr1,11618049,11618183,RNA1094,No,0,0,0
chr1,11619537,11619671,RNA1095,No,0,0,0
chr1,11732412,11732546,RNA1096,No,0,0,0
chr1,11732763,11733131,RNA1097,No,29.8773,3.75565,1.52063
chr1,11757780,11758148,RNA1098,No,0.0468597,0.0942763,0.0381717
chr1,11759167,11759535,RNA1099,No,1.6526,4.74532,1.54739
chr1,11759523,11759596,RNA1100,No,5.2027,4.74532,4.74532
chr1,11850134,11850502,RNA1101,No,21.578,5.08811,4.63184
chr1,11852665,11852917,RNA1102,No,25.2511,3.82189,3.33192
chr1,11860631,11860999,RNA1103,No,35.6785,5.30150,5.3015
chr1,11928861,11929229,RNA1104,No,0,0,0
chr1,12149274,12149577,RNA1105,No,240.335,6.89567,4.57033
chr1,12512397,12512743,RNA1106,No,32.8311,11.57091,9.21615
chr1,12517548,12517894,RNA1107,No,0.662684,0.266688,0.184986
chr1,12517699,12518045,RNA1108,No,0.909262,0.267038,0.121726
chr1,12547471,12547817,RNA1109,No,124.757,6.10056,5.83122
chr1,12549867,12550213,RNA1110,No,2701.1,23.7274,21.6127
chr1,12632141,12632275,RNA1111,No,0,0,0
chr1,12632638,12632984,RNA1112,No,0.239978,0.400842,0.0486571
chr1,12693250,12693502,RNA1113,No,586.176,15.28530,15.2853
chr1,12813690,12813942,RNA1114,No,0,0,0
chr1,12819331,12819699,RNA1115,No,0.376987,2.63326,0.207512
chr1,12821405,12821657,RNA1116,No,0,0,0
chr1,12877964,12878216,RNA1117,No,0,0,0
chr1,12878867,12879119,RNA1118,No,0,0,0
chr1,12925002,12925254,RNA1119,No,16.785,14.49880,6.13139
chr1,13067999,13068084,RNA1120,No,0,0,0
chr1,13352270,13352388,RNA1121,No,0.044246,0.0647575,0.026342
chr1,13525247,13525593,RNA1122,No,2.37779,2.39952,1.63667
chr1,13825204,13825456,RNA1123,No,18.5022,4.77739,2.84368
chr1,13872550,13872668,RNA1124,No,0.73632,0.242081,0.242081
chr1,13873521,13873639,RNA1125,No,86.4299,12.90170,12.9017
chr1,13877823,13877996,RNA1126,No,5.1147,3.63273,1.15491
chr1,13883323,13883441,RNA1127,No,0.0231426,0.0650198,0.0231426
chr1,15220625,15220743,RNA1128,No,122.531,15.14379,15.1438
chr1,15220649,15220819,RNA1129,No,131.594,15.14379,15.1438
chr1,15221208,15221326,RNA1130,No,305.441,15.14379,15.1438
chr1,15222774,15223950,RNA1131,No,7.85294,8.42190,1.53781
chr1,15224898,15225016,RNA1132,No,24.6503,12.39114,12.3911
chr1,15225345,15225791,RNA1133,No,34.6489,5.37217,5.37217
chr1,15430477,15430558,RNA1134,No,30.7606,3.94591,3.94591
chr1,15431099,15431456,RNA1135,No,3411.54,19.33439,19.3344
chr1,15431398,15431516,RNA1136,No,2037.12,19.33439,19.3344
chr1,15673986,15674156,RNA1137,No,1.24555,0.262818,0.241174
chr1,15679180,15679350,RNA1138,No,2.45326,14.24674,1.75989
chr1,15680062,15680232,RNA1139,No,230.279,11.85823,8.44027
chr1,15752862,15753032,RNA1140,No,0,0,0
chr1,15754099,15754269,RNA1141,No,11.9134,4.77612,4.77612
chr1,15804367,15804537,RNA1142,No,2.15872,2.70889,1.16323
chr1,16087294,16088470,RNA1143,No,71.6834,8.36820,2.20856
chr1,16100850,16101153,RNA1144,No,0.610037,0.581926,0.178611
chr1,16121926,16123102,RNA1145,No,497.038,22.49047,7.4012
chr1,16121981,16123157,RNA1146,No,598.721,22.49047,8.45305
chr1,16189807,16190983,RNA1147,No,176.694,10.54299,8.74996
chr1,16190187,16191363,RNA1148,No,77.4401,10.54299,7.02866
chr1,16195916,16197092,RNA1149,No,26.6642,9.81046,5.78114
chr1,16460561,16460695,RNA1150,No,0.72816,0.150635,0.141317
chr1,16737636,16738004,RNA1151,No,0,0,0
chr1,16738692,16738862,RNA1152,No,0,0,0
chr1,17054094,17054253,RNA1153,No,27806.9,69.7508,69.7508
chr1,17061453,17061538,RNA1154,No,1.32222,5.53724,1.0423
chr1,17159769,17160945,RNA1155,No,1.59122,0.742863,0.151726
chr1,17404979,17405325,RNA1156,No,29.4479,12.11578,12.1158
chr1,17750182,17750434,RNA1157,No,78.7294,18.75820,18.7582
chr1,17975993,17976078,RNA1158,No,4.22581,4.96037,3.38472
chr1,18056546,18056631,RNA1159,No,21.4552,7.73045,6.82099
chr1,18062985,18063070,RNA1160,No,0.729533,0.79349,0.326731
chr1,18076138,18076223,RNA1161,No,0.89632,0.89632,0.89632
chr1,18096317,18096763,RNA1162,No,7.40782,2.90734,1.61012
chr1,18096941,18097026,RNA1163,No,6.1445,3.75796,3.75796
chr1,18105167,18105252,RNA1164,No,3.5122,3.51220,3.5122
chr1,18749468,18749685,RNA1165,No,1.89869,3.29134,1.41057
chr1,19069287,19069372,RNA1166,No,4.50202,2.97518,2.59016
chr1,19069928,19070374,RNA1167,No,75.1513,8.59969,4.93614
chr1,19070928,19071374,RNA1168,No,48.8018,3.87682,3.87682
chr1,19071602,19072048,RNA1169,No,34.9424,5.24444,3.87682
chr1,19263966,19264412,RNA1170,No,0.180715,0.229306,0.0827764
chr1,19263995,19264352,RNA1171,No,0.225767,0.229306,0.103413
chr1,19264040,19264486,RNA1172,No,0.185644,0.229306,0.0827764
chr1,19264471,19264605,RNA1173,No,0.214552,0.202082,0.0980249
chr1,19334902,19335020,RNA1174,No,11.7778,2.58325,2.58325
chr1,19334943,19335389,RNA1175,No,4.07878,2.58325,0.938311
chr1,19336493,19336574,RNA1176,No,283.587,20.77373,20.7737
chr1,20121607,20121964,RNA1177,No,1.22221,0.432232,0.125916
chr1,20214843,20215289,RNA1178,No,0.228075,0.197167,0.0442078
chr1,20215140,20215497,RNA1179,No,2.24213,3.36054,1.76028
chr1,20215546,20215627,RNA1180,No,0.30875,3.36054,0.11392
chr1,20217191,20217272,RNA1181,No,0.122886,0.122886,0.122886
chr1,20220148,20220229,RNA1182,No,100.542,5.62011,5.62011
chr1,20220527,20220884,RNA1183,No,1.01824,1.36253,0.320595
chr1,20431518,20431875,RNA1184,No,7.24765,18.78965,3.68425
chr1,20431841,20431922,RNA1185,No,3.48148,0.759687,0.740929
chr1,20432757,20433114,RNA1186,No,56.1682,10.97249,10.9725
