Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,1212992,1213093,RNA1,Yes,1589.3,20.3421,20.0183
chr1,1320456,1320529,RNA2,Yes,0,0,0
chr1,1452365,1452434,RNA3,Yes,39.0636,12.68467,12.6847
chr1,1721596,1721711,RNA4,Yes,27.8111,4.01985,4.01985
chr1,2056484,2056573,RNA5,Yes,5.68437,1.96003,1.80587
chr1,3595338,3595447,RNA6,Yes,25.205,6.67244,6.67244
chr1,3775299,3775483,RNA7,Yes,298.538,11.89128,9.56924
chr1,3848608,3848781,RNA8,Yes,0,0,0
chr1,6159336,6159515,RNA9,Yes,0.215048,0.699883,0.215048
chr1,7965324,7965425,RNA10,Yes,0.830248,0.246263,0.246263
chr1,8871891,8871986,RNA11,Yes,86.8138,10.11996,8.5208
chr1,9058152,9058250,RNA12,Yes,144.372,6.44767,6.44767
chr1,10467190,10467332,RNA13,Yes,26.1066,2.80862,2.80862
chr1,11046556,11046733,RNA14,Yes,428.727,18.52861,18.5286
chr1,12579293,12579412,RNA15,Yes,111.974,5.98591,4.62776
chr1,15034749,15034885,RNA16,Yes,7.3053,2.26382,1.01539
chr1,15034749,15034885,RNA17,Yes,7.3053,2.26382,1.01539
chr1,15440493,15440590,RNA18,Yes,24.3052,2.68998,2.68998
chr1,15738093,15738245,RNA19,Yes,6.35732,1.70692,1.70692
chr1,15767376,15767563,RNA20,Yes,1.15217,0.723475,0.557114
chr1,18635111,18635240,RNA21,Yes,0.873414,0.428644,0.307249
chr1,18889362,18889454,RNA22,Yes,4.69092,2.08184,2.08184
chr1,19199651,19199754,RNA23,Yes,74.7615,7.49866,7.49866
chr1,21279191,21279332,RNA24,Yes,373.098,28.80107,28.8011
chr1,21563110,21563284,RNA25,Yes,27.7608,5.60345,3.18817
chr1,23521837,23522056,RNA26,Yes,83.7594,13.80500,11.8509
chr1,23974974,23975077,RNA27,Yes,0.231169,0.99088,0.163543
chr1,24169417,24169601,RNA28,Yes,51.569,4.66384,4.66384
chr1,24600940,24601024,RNA29,Yes,45.2625,11.65714,11.6571
chr1,25823644,25823748,RNA30,Yes,1.17217,0.310967,0.269106
chr1,25903641,25903813,RNA31,Yes,1.01706,0.288358,0.288358
chr1,26061166,26061334,RNA32,Yes,128.921,9.27931,8.01733
chr1,26438168,26438284,RNA33,Yes,7.36786,1.9192,1.9192
chr1,27793533,27793632,RNA34,Yes,23.3508,5.06060,5.0606
chr1,27907181,27907282,RNA35,Yes,34.4879,10.69546,10.6955
chr1,32156853,32156945,RNA36,Yes,0.0625668,0.119912,0.0586526
