Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,10303,10382,RNA1001,No,674.627,12.37545,12.0058
chr1,10326,10410,RNA1002,No,731.997,12.37545,12.0058
chr1,10367,10559,RNA1003,No,943.306,12.37545,12.311
chr1,10392,10495,RNA1004,No,872.559,12.37545,12.3755
chr1,10393,10509,RNA1005,No,896.572,12.37545,12.3755
chr1,10396,10534,RNA1006,No,940.712,12.37545,12.3755
chr1,10517,10709,RNA1007,No,912.36,12.37545,12.3755
chr1,10518,10621,RNA1008,No,1133.31,12.37545,12.3755
chr1,10533,10740,RNA1009,No,770.064,12.37545,11.7178
chr1,10550,10742,RNA1010,No,728.55,12.37545,11.5375
chr1,10730,10815,RNA1011,No,2.85846,4.04948,2.85846
chr1,10753,10832,RNA1012,No,1.89659,4.04948,1.89659
chr1,10865,10960,RNA1013,No,0,0,0
chr1,10899,10978,RNA1014,No,0,0,0
chr1,10907,11114,RNA1015,No,0,0,0
chr1,10929,11118,RNA1016,No,0,0,0
chr1,11136,11220,RNA1017,No,0,0,0
chr1,11317,11420,RNA1018,No,0,0,0
chr1,11408,11546,RNA1019,No,0,0,0
chr1,11413,11497,RNA1020,No,0,0,0
chr1,11477,11615,RNA1021,No,0,0,0
chr1,11506,11626,RNA1022,No,0,0,0
chr1,11577,11766,RNA1023,No,0,0,0
chr1,11652,11737,RNA1024,No,0,0,0
chr1,11660,11849,RNA1025,No,0,0,0
chr1,859729,859850,RNA1026,No,0.184311,0.267371,0.154677
chr1,860028,860102,RNA1027,No,0,0,0
chr1,959328,959419,RNA1028,No,15957.3,53.6572,53.6572
chr1,1056283,1056402,RNA1029,No,0.793427,0.779306,0.779306
chr1,1118667,1118792,RNA1030,No,9.16883,1.87340,0.63905
chr1,1119571,1119691,RNA1031,No,11.9309,1.83514,0.503239
chr1,1199704,1199824,RNA1032,No,82.8589,3.71953,3.50256
chr1,1199825,1199969,RNA1033,No,36.7393,3.44359,1.71347
chr1,1207625,1207745,RNA1034,No,15.3948,1.48015,1.17179
chr1,1208775,1208870,RNA1035,No,661.867,15.69027,13.8785
chr1,1215147,1215267,RNA1036,No,179.634,7.69944,7.05782
chr1,1216328,1216448,RNA1037,No,30.8377,3.09536,2.62634
chr1,1292043,1292138,RNA1038,No,4345.78,30.82239,30.8224
chr1,1292146,1292241,RNA1039,No,1819.05,30.82239,30.8224
chr1,1330329,1330424,RNA1040,No,46.6756,7.47883,7.47883
chr1,1330832,1330952,RNA1041,No,358.82,11.18734,11.1873
chr1,1331000,1331095,RNA1042,No,394.687,11.18734,11.1873
chr1,1365112,1365186,RNA1043,No,0.303563,0.147563,0.147563
chr1,1417772,1417846,RNA1044,No,1.02521,5.05769,1.02521
chr1,1417783,1417857,RNA1045,No,4.15471,6.43436,1.77703
chr1,1417858,1417953,RNA1046,No,47.8441,6.49281,6.43436
chr1,1512050,1512124,RNA1047,No,24224.9,40.5774,40.5774
chr1,1512052,1512126,RNA1048,No,24208.7,40.5774,40.5774
chr1,1577122,1577196,RNA1049,No,0,0,0
chr1,1586006,1586127,RNA1050,No,85.4046,16.56489,15.1444
chr1,1588014,1588135,RNA1051,No,0.128877,0.577561,0.128877
chr1,1589113,1589234,RNA1052,No,0,0,0
chr1,1748469,1748590,RNA1053,No,0.0571329,0.153624,0.0571329
chr1,1750640,1750761,RNA1054,No,0.445894,0.314733,0.171175
chr1,1781945,1782066,RNA1055,No,23.7154,6.08608,2.57226
chr1,1899792,1899883,RNA1056,No,113.216,8.14332,5.98309
chr1,1919494,1919613,RNA1057,No,26119.7,91.4911,91.4911
chr1,1921310,1921401,RNA1058,No,21.8429,1.57872,1.41379
chr1,1921489,1921580,RNA1059,No,11.8304,1.52891,1.52891
chr1,2011510,2011627,RNA1060,No,0,0,0
chr1,2047528,2047672,RNA1061,No,125.567,7.80300,7.803
chr1,2048067,2048211,RNA1062,No,4.93635,1.2774,1.02567
chr1,2048315,2048434,RNA1063,No,28.6018,5.48812,4.28903
chr1,2048869,2049013,RNA1064,No,0.469711,0.302991,0.279846
chr1,2048904,2049023,RNA1065,No,0.419485,0.302991,0.302991
chr1,2311650,2311759,RNA1066,No,2424.9,14.04682,14.0468
chr1,2312660,2312755,RNA1067,No,318.805,7.47865,7.47865
chr1,2313315,2313434,RNA1068,No,178.388,7.18748,7.18748
chr1,2313806,2313926,RNA1069,No,149.914,4.97217,4.34111
chr1,2314489,2314608,RNA1070,No,2300.26,15.34381,15.3438
chr1,2314706,2314825,RNA1071,No,1886.06,15.34381,15.3438
chr1,2507783,2507857,RNA1072,No,229.951,3.82217,3.60754
chr1,2586237,2586369,RNA1073,No,5291.57,39.1049,16.5276
chr1,2803312,2803433,RNA1074,No,16.433,1.24689,0.700732
chr1,2837496,2837620,RNA1075,No,3.90599,2.07352,1.00332
chr1,2894758,2894875,RNA1076,No,874.765,23.82561,23.8256
chr1,2971746,2971856,RNA1077,No,37.4018,2.77512,2.13136
chr1,2977895,2978012,RNA1078,No,4.23646,0.296273,0.247838
chr1,2982808,2982925,RNA1079,No,38.3322,6.42628,6.42628
chr1,3023112,3023231,RNA1080,No,15.2335,2.65503,0.665146
chr1,3037014,3037123,RNA1081,No,46.7774,6.67884,6.67884
chr1,3042879,3042988,RNA1082,No,0.0368997,0.257445,0.0345378
chr1,3043916,3044025,RNA1083,No,0.25164,0.202968,0.0719471
chr1,3487631,3487763,RNA1084,No,0,0,0
chr1,3487748,3487880,RNA1085,No,0,0,0
chr1,3487768,3487900,RNA1086,No,0,0,0
chr1,3772182,3772306,RNA1087,No,5696.39,25.51534,25.5153
chr1,3776026,3776142,RNA1088,No,1713.8,12.4217,10.9225
chr1,3776461,3776577,RNA1089,No,29.0073,7.38302,7.38302
chr1,3797573,3797697,RNA1090,No,2.02315,3.33167,0.310537
chr1,3805727,3805851,RNA1091,No,17.1975,4.86309,4.86309
chr1,3888795,3888886,RNA1092,No,0.104697,0.386149,0.0834797
chr1,3888936,3889060,RNA1093,No,0.129631,0.180869,0.0831414
chr1,3888944,3889068,RNA1094,No,0.134996,0.180869,0.0948104
chr1,3888949,3889065,RNA1095,No,0.135417,0.180869,0.0966714
chr1,3955577,3955701,RNA1096,No,133.746,22.84069,22.8407
chr1,4096731,4096819,RNA1097,No,0,0,0
chr1,4794864,4794980,RNA1098,No,45.7443,7.23387,7.23387
chr1,4856573,4856697,RNA1099,No,16.9661,4.40027,4.40027
chr1,5082489,5082614,RNA1100,No,25.3817,5.00636,5.00636
chr1,5462405,5462564,RNA1101,No,2.67051,3.16623,2.42943
chr1,6101286,6101512,RNA1102,No,266.315,5.76194,5.64137
chr1,6101291,6101411,RNA1103,No,276.651,5.76194,5.64137
chr1,6101334,6101459,RNA1104,No,264.87,5.76194,5.64137
chr1,6101427,6101552,RNA1105,No,251.824,5.64137,5.64137
chr1,6101539,6101664,RNA1106,No,188.441,5.64137,5.34573
chr1,6242402,6242527,RNA1107,No,93.7236,3.88965,3.67183
chr1,6243876,6244001,RNA1108,No,2.17826,0.695822,0.486169
chr1,6262220,6262345,RNA1109,No,102.161,6.90083,6.16233
chr1,6263643,6263738,RNA1110,No,15.22,6.59848,6.59848
chr1,6466428,6466502,RNA1111,No,885.607,20.70103,20.701
chr1,6722766,6722887,RNA1112,No,29.8895,10.05614,10.0561
chr1,6770249,6770359,RNA1113,No,0.0331171,0.242859,0.0331171
chr1,6772023,6772148,RNA1114,No,44.4117,10.69788,10.6979
chr1,6777244,6777363,RNA1115,No,2.00585,7.29914,1.96279
chr1,7770085,7770226,RNA1116,No,15.5939,3.63837,3.63837
chr1,7854109,7854219,RNA1117,No,0.326523,6.88553,0.187787
chr1,7854783,7854874,RNA1118,No,0,0,0
chr1,7953041,7953151,RNA1119,No,2.02979,1.01058,0.542038
chr1,7953054,7953164,RNA1120,No,1.67449,1.01058,0.422606
chr1,7986685,7986795,RNA1121,No,19.8246,6.33994,6.33994
chr1,7989114,7989202,RNA1122,No,7.64307,5.84148,3.39864
chr1,7989912,7990022,RNA1123,No,214.955,10.71246,10.7125
chr1,7990302,7990412,RNA1124,No,71.9369,10.71246,5.80517
chr1,8344562,8344686,RNA1125,No,0.0255859,0.0881292,0.0255859
chr1,8347896,8348012,RNA1126,No,45.5058,6.01762,3.49771
chr1,8860803,8860894,RNA1127,No,0.932562,0.445865,0.445865
chr1,8860839,8860930,RNA1128,No,1.28532,2.28488,0.445865
chr1,8860901,8860992,RNA1129,No,3.91844,2.28488,1.68227
chr1,8886960,8887051,RNA1130,No,0,0,0
chr1,8889306,8889397,RNA1131,No,457.039,18.56366,18.5637
chr1,8975306,8975394,RNA1132,No,0.183774,0.190576,0.149429
chr1,8979127,8979218,RNA1133,No,0.0217701,0.11006,0.0217701
chr1,8980146,8980256,RNA1134,No,1.28344,0.21935,0.217084
chr1,9027160,9027248,RNA1135,No,0.458841,0.259031,0.259031
chr1,9033566,9033654,RNA1136,No,10.6832,5.32824,5.32824
chr1,9824351,9824510,RNA1137,No,5370.37,19.26804,19.268
chr1,9915865,9915956,RNA1138,No,1.07664,0.246646,0.232915
chr1,9990757,9990946,RNA1139,No,473.943,10.78859,10.7886
chr1,10025250,10025476,RNA1140,No,0.159648,0.600005,0.0796467
chr1,10421037,10421169,RNA1141,No,0.33526,3.15969,0.23937
chr1,10421186,10421345,RNA1142,No,4.28399,3.15969,3.15969
chr1,10424551,10424683,RNA1143,No,61.2002,6.86843,6.02891
chr1,10424866,10424998,RNA1144,No,38.1614,5.78847,4.96776
chr1,10452984,10453143,RNA1145,No,0.0354135,0.144378,0.0354135
chr1,10453471,10453560,RNA1146,No,0,0,0
chr1,10454157,10454316,RNA1147,No,0,0,0
chr1,10632464,10632623,RNA1148,No,29.9573,3.32564,3.32564
chr1,10634520,10634679,RNA1149,No,737.672,12.28421,12.2842
chr1,10635045,10635204,RNA1150,No,822.173,12.28421,12.2842
chr1,10797045,10797312,RNA1151,No,6.41898,7.09871,3.19043
chr1,10797956,10798019,RNA1152,No,0.284331,0.140615,0.140615
chr1,10942744,10942970,RNA1153,No,4.26846,2.68873,1.42764
chr1,11011325,11011551,RNA1154,No,1.50259,0.455984,0.192933
chr1,11011529,11011755,RNA1155,No,4.73336,3.04590,2.52028
chr1,11048971,11049197,RNA1156,No,0.069269,0.29332,0.0472051
chr1,11049086,11049312,RNA1157,No,0.531444,0.29332,0.17132
chr1,11105320,11105546,RNA1158,No,0.552659,0.109756,0.109756
chr1,11106106,11106231,RNA1159,No,14.7716,3.12833,3.12833
chr1,11303132,11303264,RNA1160,No,0.0519203,0.155761,0.0519203
chr1,11459657,11459816,RNA1161,No,109.559,17.82494,11.9954
chr1,11584414,11584555,RNA1162,No,0,0,0
chr1,12046428,12046654,RNA1163,No,52.8351,4.58659,4.1791
chr1,12517495,12517636,RNA1164,No,0.0896315,0.266688,0.0680906
chr1,12567408,12567549,RNA1165,No,453.923,3.98709,3.98709
chr1,12567430,12567571,RNA1166,No,452.221,3.98709,3.98709
chr1,12631966,12632107,RNA1167,No,0.414871,2.87563,0.163156
chr1,12632203,12632344,RNA1168,No,0.0252244,0.0808327,0.0252244
chr1,12702355,12702496,RNA1169,No,0.717917,2.35410,0.717917
chr1,12951638,12951748,RNA1170,No,0,0,0
chr1,13619272,13619413,RNA1171,No,23.9551,5.35003,5.35003
chr1,13647484,13647717,RNA1172,No,0.142635,0.149476,0.0615867
chr1,13873776,13873865,RNA1173,No,79.7136,12.90170,12.9017
chr1,13874457,13874548,RNA1174,No,0.144085,0.173241,0.0818611
chr1,13874497,13874686,RNA1175,No,0.0358047,0.173241,0.0242464
chr1,13876963,13877152,RNA1176,No,0.504604,0.172481,0.138715
chr1,13885035,13885224,RNA1177,No,0.573329,0.227443,0.125154
chr1,13887517,13887706,RNA1178,No,0,0,0
chr1,15220711,15220900,RNA1179,No,136.243,15.14379,15.1438
chr1,15222148,15222211,RNA1180,No,0.18491,0.107777,0.0976616
chr1,15222494,15222683,RNA1181,No,5.23219,2.07866,0.945845
chr1,15223085,15223352,RNA1182,No,11.3514,7.23387,4.11816
chr1,15223923,15224112,RNA1183,No,183.884,17.36450,8.4219
chr1,15223951,15224140,RNA1184,No,225.348,17.36450,10.0965
chr1,15224171,15224266,RNA1185,No,451.122,18.09955,17.3645
chr1,15224495,15224684,RNA1186,No,445.157,18.09955,18.0996
chr1,15226132,15226321,RNA1187,No,33.4942,9.83648,3.75154
chr1,15229738,15229870,RNA1188,No,421.026,24.09639,24.0964
chr1,15430425,15430514,RNA1189,No,28.1801,3.94591,3.94591
chr1,15430439,15430528,RNA1190,No,28.8124,3.94591,3.94591
chr1,15435837,15435926,RNA1191,No,20.8455,2.99566,2.99566
chr1,15450857,15450946,RNA1192,No,44.3808,3.42744,3.42744
chr1,15452285,15452444,RNA1193,No,90.0637,8.31107,8.31107
chr1,15452409,15452498,RNA1194,No,85.9073,8.31107,8.31107
chr1,15526642,15526731,RNA1195,No,24082.8,88.7406,88.7406
chr1,15670715,15670982,RNA1196,No,11.4906,4.38181,2.82221
chr1,15673336,15673399,RNA1197,No,0.234125,0.132678,0.124254
chr1,15679249,15679312,RNA1198,No,0.250524,0.219521,0.161505
