Chromosome,Start,End,ID,Functional,methylome
chr1,10333,10469,RNA1001,No,36.0226
chr1,10525,10613,RNA1002,No,57.3393
chr1,10608,10744,RNA1003,No,53.8624
chr1,10894,10975,RNA1004,No,18.1511
chr1,11580,11662,RNA1005,No,0
chr1,859625,859761,RNA1006,No,78.235
chr1,859955,860091,RNA1007,No,0
chr1,860078,860214,RNA1008,No,0
chr1,1019982,1020118,RNA1009,No,0.583882
chr1,1070611,1070699,RNA1010,No,40.1323
chr1,1070626,1070707,RNA1011,No,32.9436
chr1,1124183,1124271,RNA1012,No,70.3195
chr1,1124856,1124944,RNA1013,No,60.5301
chr1,1125123,1125204,RNA1014,No,62.9041
chr1,1125480,1125561,RNA1015,No,65.2782
chr1,1198856,1198937,RNA1016,No,61.8534
chr1,1199333,1199415,RNA1017,No,0
chr1,1199444,1199532,RNA1018,No,75.9192
chr1,1199950,1200031,RNA1019,No,87.5323
chr1,1200447,1200535,RNA1020,No,72.5294
chr1,1273878,1273966,RNA1021,No,0.406699
chr1,1273895,1273976,RNA1022,No,0.319549
chr1,1292191,1292273,RNA1023,No,64.1985
chr1,1292302,1292384,RNA1024,No,36.1729
chr1,1330568,1330650,RNA1025,No,52.8233
chr1,1330760,1330842,RNA1026,No,52.9398
chr1,1399350,1399432,RNA1027,No,0.459352
chr1,2050239,2050320,RNA1028,No,1.26897
chr1,2050257,2050345,RNA1029,No,1.18568
chr1,2310540,2310622,RNA1030,No,34.9248
chr1,2565864,2565958,RNA1031,No,80.5602
chr1,3441698,3441792,RNA1032,No,48.0404
chr1,3487770,3487864,RNA1033,No,79.9652
chr1,3487809,3487903,RNA1034,No,83.3496
chr1,3614029,3614123,RNA1035,No,48.2256
chr1,3616704,3616798,RNA1036,No,78.1316
chr1,3619057,3619169,RNA1037,No,2.35338
chr1,3630670,3630764,RNA1038,No,65.6955
chr1,4557123,4557217,RNA1039,No,0
chr1,5028194,5028330,RNA1040,No,0
chr1,6101208,6101296,RNA1041,No,36.2068
chr1,6101428,6101509,RNA1042,No,62.0188
chr1,6261275,6261357,RNA1043,No,2.3379
chr1,7769731,7769843,RNA1044,No,81.9023
chr1,7770250,7770367,RNA1045,No,85.2105
chr1,8344675,8344787,RNA1046,No,73.4154
chr1,8345349,8345461,RNA1047,No,81.8095
chr1,8346102,8346196,RNA1048,No,69.8571
chr1,8348554,8348666,RNA1049,No,82.1889
chr1,8860842,8860954,RNA1050,No,88.1855
chr1,8860844,8860956,RNA1051,No,88.1855
chr1,8860850,8860962,RNA1052,No,88.1855
chr1,9824111,9824223,RNA1053,No,0.311579
chr1,10631102,10631239,RNA1054,No,85.6323
chr1,10905537,10905654,RNA1055,No,82.0451
chr1,11537960,11538032,RNA1056,No,0
chr1,11538068,11538138,RNA1057,No,62.2782
chr1,11539619,11539691,RNA1058,No,62.6128
chr1,11549411,11549480,RNA1059,No,0
chr1,11731968,11732039,RNA1060,No,21.9774
chr1,11733064,11733135,RNA1061,No,0
chr1,11733690,11733759,RNA1062,No,0
chr1,11733931,11734000,RNA1063,No,0
chr1,11852407,11852524,RNA1064,No,73.5921
chr1,11873698,11873768,RNA1065,No,0
chr1,11877379,11877451,RNA1066,No,65.7444
chr1,11890895,11890967,RNA1067,No,0
chr1,11898353,11898470,RNA1068,No,14.599
chr1,11902779,11902896,RNA1069,No,77.2707
chr1,11916920,11917037,RNA1070,No,79.562
chr1,11919102,11919219,RNA1071,No,59.6962
chr1,12016082,12016199,RNA1072,No,84.8195
chr1,12907763,12907880,RNA1073,No,0
chr1,13466579,13466691,RNA1074,No,0
chr1,13882513,13882650,RNA1075,No,0
chr1,15435280,15435417,RNA1076,No,79.4464
chr1,15526540,15526609,RNA1077,No,0.555138
chr1,15526601,15526673,RNA1078,No,0.348872
chr1,15526633,15526770,RNA1079,No,0.643609
chr1,15526652,15526789,RNA1080,No,0.622693
chr1,15526696,15526766,RNA1081,No,0.629699
chr1,15526731,15526803,RNA1082,No,0.433405
chr1,15669163,15669300,RNA1083,No,81.032
chr1,15670978,15671115,RNA1084,No,81.4398
chr1,15673063,15673200,RNA1085,No,87.7243
chr1,15680168,15680237,RNA1086,No,74.812
chr1,15680774,15680845,RNA1087,No,0
chr1,15751734,15751803,RNA1088,No,76.2744
chr1,15752199,15752270,RNA1089,No,75.9286
chr1,15803509,15803579,RNA1090,No,0
chr1,15940558,15940630,RNA1091,No,0
chr1,15941155,15941227,RNA1092,No,0
chr1,16438225,16438297,RNA1093,No,72.1203
chr1,16438284,16438356,RNA1094,No,75.0301
chr1,16439176,16439246,RNA1095,No,0
chr1,16440269,16440338,RNA1096,No,0
chr1,16460407,16460544,RNA1097,No,89.094
chr1,16499263,16499335,RNA1098,No,0.636174
chr1,16499265,16499337,RNA1099,No,0.693985
chr1,16499279,16499349,RNA1100,No,0.47406
chr1,16499280,16499349,RNA1101,No,0.47406
chr1,16499283,16499353,RNA1102,No,0.517723
chr1,16499283,16499354,RNA1103,No,0.515038
chr1,16499285,16499357,RNA1104,No,0.515038
chr1,16499289,16499361,RNA1105,No,0.523923
