chrom	start	end	region_id	callable_bp	n_variants	mean_DAF	median_DAF	fraction_rare	variants_per_Mb_callable
chr1	10540	10747	RNA1001	87	0				0.0
chr1	10968	11070	RNA1002	0	0				
chr1	11105	11207	RNA1003	0	0				
chr1	11275	11420	RNA1004	0	0				
chr1	11663	11765	RNA1005	0	0				
chr1	859842	859944	RNA1006	102	0				0.0
chr1	859899	860001	RNA1007	102	0				0.0
chr1	965998	966100	RNA1008	102	34	0.058829583112048354	1.4700900010211626e-05	0.9411764705882353	333333.3333333333
chr1	1017482	1017689	RNA1009	207	70	1.1968424158632028e-05	0.0	1.0	338164.25120772945
chr1	1124141	1124348	RNA1010	207	54	0.018608974283728857	1.4701800409966381e-05	0.9814814814814815	260869.5652173913
chr1	1125590	1125797	RNA1011	207	46	0.0731667211586445	1.4698300219606608e-05	0.9130434782608695	222222.22222222222
chr1	1198101	1198308	RNA1012	207	65	0.0011992671255379329	1.4705899957334624e-05	0.9846153846153847	314009.6618357488
chr1	1201726	1201933	RNA1013	122	26	3.47199839570012e-05	1.471799987484701e-05	1.0	213114.75409836063
chr1	1242066	1242273	RNA1014	207	65	0.015403256927577156	0.0	0.9692307692307692	314009.6618357488
chr1	1292219	1292364	RNA1015	145	32	0.03126425817799827	0.0	0.96875	220689.6551724138
chr1	1383267	1383412	RNA1016	145	33	7.135009058622403e-06	0.0	1.0	227586.20689655174
chr1	1385321	1385466	RNA1017	145	36	0.05380832266468537	1.469590006308863e-05	0.9444444444444444	248275.8620689655
chr1	1411008	1411153	RNA1018	145	0				0.0
chr1	1411388	1411533	RNA1019	145	0				0.0
chr1	1541475	1541620	RNA1020	145	28	0.03576362607834328	1.4698300219606608e-05	0.9642857142857143	193103.44827586206
chr1	1749901	1750193	RNA1021	292	0				0.0
chr1	1784681	1784755	RNA1022	74	11	8.027454482957678e-06	0.0	1.0	148648.64864864867
chr1	1902036	1902138	RNA1023	102	36	0.0374714559057136	1.47024002217222e-05	0.9166666666666666	352941.17647058825
chr1	2047659	2047749	RNA1024	90	22	1.135901365242634e-05	0.0	1.0	244444.44444444444
chr1	2048740	2048947	RNA1025	207	48	0.02091265128952576	1.4697199731017465e-05	0.9791666666666666	231884.0579710145
chr1	2310421	2310566	RNA1026	145	39	1.3567664096531058e-05	0.0	1.0	268965.5172413793
chr1	2959166	2959256	RNA1027	90	16	4.868224920073211e-05	1.469744984206045e-05	1.0	177777.77777777778
chr1	3034703	3034793	RNA1028	90	21	0.016724202525134988	1.469590006308863e-05	0.9047619047619048	233333.33333333334
chr1	3050220	3050310	RNA1029	90	20	0.00017643267833591087	0.0	1.0	222222.22222222222
chr1	3442444	3442534	RNA1030	90	18	1.7145350233881294e-05	1.4695050140289823e-05	1.0	200000.0
chr1	3443641	3443731	RNA1031	90	13	0.00047164716201781714	0.0	1.0	144444.44444444444
chr1	3444165	3444255	RNA1032	90	18	0.001387086902721215	0.0	1.0	200000.0
chr1	3612019	3612141	RNA1033	122	26	0.03548486322419053	1.469724975322606e-05	0.9230769230769231	213114.75409836063
chr1	4103059	4103149	RNA1034	90	20	0.09998677196472272	0.0	0.9	222222.22222222222
chr1	4182641	4182815	RNA1035	174	40	9.627886031466528e-05	1.469744984206045e-05	1.0	229885.05747126436
chr1	4469400	4469522	RNA1036	122	26	0.0061395785604033215	7.348200142587302e-06	0.9615384615384616	213114.75409836063
chr1	4557344	4557466	RNA1037	122	24	3.307325414425274e-05	7.348200142587302e-06	1.0	196721.31147540984
chr1	4559024	4559146	RNA1038	122	23	1.0225199928200986e-05	1.4696799553348685e-05	1.0	188524.59016393442
chr1	4597251	4597373	RNA1039	122	16	1.929003764189418e-05	1.4696800008096034e-05	1.0	131147.54098360657
chr1	4599972	4600094	RNA1040	122	36	0.027881079797806598	1.4702849966852227e-05	0.9722222222222222	295081.9672131147
chr1	4649060	4649182	RNA1041	122	22	4.663058313201967e-05	7.353799901466118e-06	1.0	180327.868852459
chr1	5495330	5495452	RNA1042	122	41	0.017328480110669127	1.4696400285174605e-05	0.975609756097561	336065.5737704918
chr1	5774608	5774900	RNA1043	292	43	0.04652871992315932	1.4697699953103438e-05	0.9534883720930233	147260.27397260274
chr1	5803297	5803371	RNA1044	74	0				0.0
chr1	5853816	5853918	RNA1045	102	26	0.03936482808001948	0.0	0.9615384615384616	254901.9607843137
chr1	6101367	6101574	RNA1046	207	46	4.953008437555442e-05	0.0	1.0	222222.22222222222
chr1	6101368	6101672	RNA1047	304	69	3.664440257547104e-05	0.0	1.0	226973.68421052632
chr1	6401523	6401668	RNA1048	145	39	0.02377804279860403	1.4706300135003405e-05	0.9743589743589743	268965.5172413793
chr1	6624455	6624747	RNA1049	292	75	0.00015800517798197336	1.4700700376124589e-05	1.0	256849.3150684932
chr1	6624723	6624858	RNA1050	135	39	0.008730208040549022	0.0	0.9743589743589743	288888.8888888889
chr1	6702488	6702780	RNA1051	292	53	0.018876246230182966	0.0	0.9811320754716981	181506.8493150685
chr1	6709635	6709709	RNA1052	74	10	1.7645510251895757e-05	1.4699200164614012e-05	1.0	135135.13513513515
chr1	6717279	6717571	RNA1053	292	67	4.6306501468247915e-05	0.0	1.0	229452.05479452055
chr1	6751557	6751849	RNA1054	291	41	0.0016214504387501488	0.0	1.0	140893.470790378
chr1	6752023	6752315	RNA1055	292	53	0.006646154038328013	1.4705399735248648e-05	0.9811320754716981	181506.8493150685
chr1	6773306	6773598	RNA1056	292	57	0.0024956498799152157	1.471539962949464e-05	0.9824561403508771	195205.4794520548
chr1	6773641	6773715	RNA1057	74	17	0.050534542205883444	0.0	0.9411764705882353	229729.72972972973
chr1	6778965	6779039	RNA1058	74	18	0.00081567030131029	1.4700499832542846e-05	1.0	243243.24324324325
chr1	7769713	7769787	RNA1059	74	14	7.349264381316191e-06	0.0	1.0	189189.1891891892
chr1	7769833	7769907	RNA1060	74	10	1.6170390063052763e-05	1.4698349787067855e-05	1.0	135135.13513513515
chr1	7770048	7770395	RNA1061	347	51	0.003779928446081103	1.4698500308440998e-05	0.9803921568627451	146974.06340057636
chr1	7770248	7770322	RNA1062	74	16	4.323445602948548e-05	1.4699399798701052e-05	1.0	216216.21621621624
chr1	7770248	7770617	RNA1063	369	57	2.3999728064309008e-05	1.4697199731017465e-05	1.0	154471.54471544715
chr1	7770395	7770469	RNA1064	74	10	1.176055011455901e-05	1.4696549897053046e-05	1.0	135135.13513513515
chr1	7770617	7770909	RNA1065	292	52	0.00010288356279138485	0.0	1.0	178082.19178082192
chr1	7854114	7854367	RNA1066	251	32	0.017814067555917745	1.4706300135003405e-05	0.96875	127490.03984063744
chr1	7988535	7988625	RNA1067	90	13	1.2442300011081477e-05	0.0	1.0	144444.44444444444
chr1	8249613	8249787	RNA1068	174	32	1.4243393849255881e-05	0.0	1.0	183908.0459770115
chr1	9027000	9027122	RNA1069	122	0				0.0
chr1	9029320	9029494	RNA1070	174	34	0.05883131098824593	0.0	0.9411764705882353	195402.29885057473
chr1	9030152	9030326	RNA1071	174	30	4.214510460466237e-05	1.4700700376124589e-05	1.0	172413.7931034483
chr1	9031814	9031988	RNA1072	174	53	0.00017421934279689344	0.0	1.0	304597.7011494253
chr1	9824010	9824184	RNA1073	174	65	0.015432798145901377	1.5229000382532831e-05	0.9846153846153847	373563.2183908046
chr1	9824137	9824311	RNA1074	174	51	3.473622277227448e-05	1.4736199773324188e-05	1.0	293103.448275862
chr1	9824663	9824782	RNA1075	119	19	5.647795244024944e-05	1.4697199731017465e-05	1.0	159663.86554621847
chr1	9824978	9825152	RNA1076	174	32	2.112715594648573e-05	1.4696999642183075e-05	1.0	183908.0459770115
chr1	10030435	10030739	RNA1077	302	35	2.176373137834359e-05	0.0	1.0	115894.03973509933
chr1	10192831	10193005	RNA1078	173	0				0.0
chr1	10631005	10631140	RNA1079	135	35	0.00010791961753316647	0.0	1.0	259259.25925925924
chr1	10797863	10798034	RNA1080	171	26	6.501846725698407e-05	7.347950031544315e-06	1.0	152046.78362573098
chr1	10842494	10842863	RNA1081	369	54	0.00046863481982114966	0.0	1.0	146341.46341463414
chr1	11002300	11002604	RNA1082	304	61	6.247232668697719e-05	1.471149971621344e-05	1.0	200657.8947368421
chr1	11048145	11048449	RNA1083	304	64	0.00013864297966392517	1.4707400168845197e-05	1.0	210526.31578947368
chr1	11048639	11048943	RNA1084	304	61	0.016425619166303015	1.470200004405342e-05	0.9836065573770492	200657.8947368421
chr1	11103318	11103622	RNA1085	304	50	0.04007616501317898	0.0	0.96	164473.68421052632
chr1	11105881	11106185	RNA1086	304	65	0.048316982079030325	1.469590006308863e-05	0.9384615384615385	213815.7894736842
chr1	11266773	11267077	RNA1087	304	55	0.02426789868733811	1.4698500308440998e-05	0.9636363636363636	180921.05263157896
chr1	11266915	11268092	RNA1088	1177	196	0.010360777551953533	1.4697199731017465e-05	0.9897959183673469	166525.06372132542
