Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,10333,10469,"RNA1001","No",787.493,12.37545,12.0058
chr1,10525,10613,"RNA1002","No",1135.87,12.37545,12.3755
chr1,10608,10744,"RNA1003","No",545.638,12.37545,11.0105
chr1,10894,10975,"RNA1004","No",0,0,0
chr1,11580,11662,"RNA1005","No",0,0,0
chr1,859625,859761,"RNA1006","No",0.0480776,0.0703071,0.0480776
chr1,859955,860091,"RNA1007","No",0,0,0
chr1,860078,860214,"RNA1008","No",0.298814,2.59355,0.152562
chr1,1019982,1020118,"RNA1009","No",6165.52,22.46716,22.4672
chr1,1070611,1070699,"RNA1010","No",132.508,10.24898,10.249
chr1,1070626,1070707,"RNA1011","No",120.192,10.24898,10.249
chr1,1124183,1124271,"RNA1012","No",18.9464,2.08418,1.8498
chr1,1124856,1124944,"RNA1013","No",525.183,9.09446,9.09446
chr1,1125123,1125204,"RNA1014","No",458.86,9.09446,9.09446
chr1,1125480,1125561,"RNA1015","No",474.401,10.9931,8.82829
chr1,1198856,1198937,"RNA1016","No",66.6831,4.68535,3.81769
chr1,1199333,1199415,"RNA1017","No",84.0833,3.71953,3.71953
chr1,1199444,1199532,"RNA1018","No",91.2753,3.71953,3.71953
chr1,1199950,1200031,"RNA1019","No",34.6885,3.09239,1.71347
chr1,1200447,1200535,"RNA1020","No",37.3347,2.27653,2.06785
chr1,1273878,1273966,"RNA1021","No",18666.7,34.12646,34.1265
chr1,1273895,1273976,"RNA1022","No",18523.2,34.12646,34.1265
chr1,1292191,1292273,"RNA1023","No",1556.69,30.82239,30.8224
chr1,1292302,1292384,"RNA1024","No",1070.15,30.82239,13.9077
chr1,1330568,1330650,"RNA1025","No",151.655,7.47883,7.47883
chr1,1330760,1330842,"RNA1026","No",308.042,11.18734,7.47883
chr1,1399350,1399432,"RNA1027","No",27520.1,85.7235,85.7235
chr1,2050239,2050320,"RNA1028","No",11955.3,56.7193,56.7193
chr1,2050257,2050345,"RNA1029","No",11858.2,56.7193,56.7193
chr1,2310540,2310622,"RNA1030","No",116.552,5.55176,5.55176
chr1,2565864,2565958,"RNA1031","No",0,0,0
chr1,3441698,3441792,"RNA1032","No",78.6888,5.29310,4.16691
chr1,3487770,3487864,"RNA1033","No",0,0,0
chr1,3487809,3487903,"RNA1034","No",0,0,0
chr1,3614029,3614123,"RNA1035","No",102.689,11.13422,5.26316
chr1,3616704,3616798,"RNA1036","No",0.717377,0.608362,0.400555
chr1,3619057,3619169,"RNA1037","No",5359.49,33.23615,33.2362
chr1,3630670,3630764,"RNA1038","No",54.4007,10.37403,8.68812
chr1,4557123,4557217,"RNA1039","No",0.0562256,0.0876283,0.0484752
chr1,5028194,5028330,"RNA1040","No",0,0,0
chr1,6101208,6101296,"RNA1041","No",277.342,5.76194,5.76194
chr1,6101428,6101509,"RNA1042","No",252.626,5.64137,5.64137
chr1,6261275,6261357,"RNA1043","No",3331.78,19.39420,19.3942
chr1,7769731,7769843,"RNA1044","No",0,0,0
chr1,7770250,7770367,"RNA1045","No",17.0965,7.69446,3.63837
chr1,8344675,8344787,"RNA1046","No",1.44886,2.28553,1.44886
chr1,8345349,8345461,"RNA1047","No",2.09599,0.519015,0.365457
chr1,8346102,8346196,"RNA1048","No",3.75486,0.699883,0.699883
chr1,8348554,8348666,"RNA1049","No",65.9174,6.14407,6.14407
chr1,8860842,8860954,"RNA1050","No",1.86627,2.28488,0.591621
chr1,8860844,8860956,"RNA1051","No",1.92082,2.28488,0.632422
chr1,8860850,8860962,"RNA1052","No",2.10115,2.28488,0.754826
chr1,9824111,9824223,"RNA1053","No",7017.29,57.5795,56.0372
chr1,10631102,10631239,"RNA1054","No",18.1885,2.92215,1.57872
chr1,10905537,10905654,"RNA1055","No",1.26486,0.663352,0.35719
chr1,11537960,11538032,"RNA1056","No",0.491276,0.324188,0.278842
chr1,11538068,11538138,"RNA1057","No",2.03016,0.359396,0.338859
chr1,11539619,11539691,"RNA1058","No",0.117188,0.267371,0.115118
chr1,11549411,11549480,"RNA1059","No",0,0,0
chr1,11731968,11732039,"RNA1060","No",2115.22,18.40373,18.4037
chr1,11733064,11733135,"RNA1061","No",0,0,0
chr1,11733690,11733759,"RNA1062","No",0.0917021,0.0917021,0.0917021
chr1,11733931,11734000,"RNA1063","No",0.0630679,0.150058,0.0630679
chr1,11852407,11852524,"RNA1064","No",0.214085,0.174103,0.154758
chr1,11873698,11873768,"RNA1065","No",99.2955,6.71252,6.71252
chr1,11877379,11877451,"RNA1066","No",46.2828,4.52391,3.3984
chr1,11890895,11890967,"RNA1067","No",0.256047,0.351477,0.141567
chr1,11898353,11898470,"RNA1068","No",153.731,14.08438,14.0844
chr1,11902779,11902896,"RNA1069","No",0,0,0
chr1,11916920,11917037,"RNA1070","No",7.59504,3.70800,3.708
chr1,11919102,11919219,"RNA1071","No",1112.07,20.33113,20.3311
chr1,12016082,12016199,"RNA1072","No",0.384227,0.177493,0.177493
chr1,12907763,12907880,"RNA1073","No",0,0,0
