Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,URS000075B941_9606,72.00,0.198925,2.393,3.55,4.72,3,3905,-7.670,12.41,0.00,50.45,-84.40,.634408,.000665
Yes,URS000075ABDA_9606,79.00,0,2.913,30.44,591.55,1,1568,-6.788,2.02,0.00,42.92,-46.30,.563829,.005690
Yes,URS000075B363_9606,70.00,0,7.545,9.93,12.93,1,2525,-7.514,1.28,0.00,50.21,-63.50,.468750,.000188
Yes,URS000075CF92_9606,68.00,0,7.701,4.31,.94,1,21659,-8.898,1.98,0.00,126.85,-167.80,.305912,.004778
Yes,URS0000BC45E4_9606,47.00,0,2.635,.07,0,1,1116,-6.086,3.38,0.00,121.92,-37.40,.237762,.000083
Yes,URS000075CC1C_9606,51.00,0,6.647,.70,.60,1,572,-6.401,3.07,0.00,104.50,-25.10,.169811,.000019
Yes,URS0000BC442D_9606,81.00,0.266254,8.184,.71,1.56,1,5503,-7.319,4.38,0.00,104.98,-196.60,.526315,.000661
Yes,URS00008E3A18_9606,69.00,0,4.135,3.45,25.00,1,2370,-6.565,1.60,0.00,104.68,-50.70,.194690,.000100
Yes,URS0000A76A99_9606,68.00,0,8.464,7.69,21.21,1,560,-7.310,21.84,-0.35,169.37,-103.40,.300847,.001148
Yes,URS000075A243_9606,53.00,0,2.305,.37,.13,4922,1416,-8.177,20.97,-169.56,4.73,-183.60,.351629,.013679
Yes,URS000075D3D8_9606,49.00,0.00787402,6.828,2.82,5.18,1,2589,-9.135,3.69,0.00,207.23,-285.30,.185601,.005060
Yes,URS00025E99F8_9606,59.00,0.283784,2.687,1.22,.40,1,452,-7.996,0.32,0.00,94.06,-78.40,.202702,.000083
Yes,URS0000BC43E0_9606,52.00,0,3.474,.44,8.05,39,1023,-6.221,2.61,0.00,229.04,-57.50,.319148,.001967
Yes,URS0000BC44CB_9606,52.00,0,2.664,.42,1.00,4404,1606,-7.294,11.59,-358.58,7.13,-153.20,.866666,.000585
Yes,URS0000BC43B5_9606,61.00,0,8.549,.50,2.82,1,432,-8.361,1.08,0.00,196.39,-198.80,.242950,.015512
Yes,URS00022B48B9_9606,66.00,0,8.812,2.45,14.24,1,1277,-8.544,4.48,0.00,190.60,-261.20,.353448,.000078
Yes,URS00007E4488_9606,47.00,0,4.363,.63,0,8,787,-6.725,3.52,0.00,97.81,-42.40,.282722,.003478
Yes,URS0000A77184_9606,65.00,0,5.504,2.29,3.52,1,2602,-7.186,1.86,0.00,122.27,-77.30,.396551,.000281
Yes,URS0000BC45AC_9606,73.00,0,2.363,.81,1.36,1,439,-5.815,1.75,0.00,87.15,-55.10,.266666,.009048
Yes,URS000075A082_9606,47.00,0,4.232,.42,.80,1,199,-7.661,3.54,0.00,63.42,-44.20,.184834,.000181
Yes,URS000075BDEA_9606,52.00,0,4.434,8.12,15.00,2,836,-6.473,2.60,0.00,86.42,-20.50,.235294,.000036
Yes,URS0000D64BA3_9606,52.00,0,3.224,.75,1.85,1,666,-8.151,6.46,0.00,107.60,-46.80,.165853,.000029
Yes,URS0000759DFB_9606,44.00,0,0.571,.53,.60,16191,256,-7.249,5.60,-30.75,29.00,-34.30,.348684,.000375
Yes,URS0000BC450F_9606,47.00,0,6.961,.92,1.36,1,1231,-9.025,6.62,0.00,195.13,-152.30,.202755,.000057
Yes,URS000075AA67_9606,67.00,0,8.665,1.07,1.67,2,1159,-9.130,25.12,-2.26,155.31,-383.00,.259445,.004606
Yes,URS000075D4C3_9606,57.00,0,3.17,7.77,5.55,1,653,-7.331,2.19,0.00,93.44,-25.70,.287234,.000698
Yes,URS0000BC45CD_9606,43.00,0,4.258,13.36,13.72,1,1379,-5.451,3.48,0.00,118.86,-22.40,.232142,.000023
Yes,URS00025F1626_9606,68.00,0,3.197,.62,2.00,1,4564,-8.302,4.12,0.00,117.95,-206.50,.240174,.000606
Yes,URS000075ABAD_9606,67.00,0,7.767,1.34,8.13,1,1540,-7.767,3.67,0.00,113.10,-133.30,.333333,.003518
Yes,URS0001BBE517_9606,74.00,0,8.741,.66,6.87,1,5468,-8.215,9.78,-2.06,159.28,-234.50,.237006,.000090
Yes,URS0000A76875_9606,63.00,0,8.885,1.58,5.29,1,1816,-6.125,8.32,-3.21,170.63,-72.80,.391061,.000839
Yes,URS00022AF296_9606,59.00,0,3.67,.24,1.48,1,2644,-6.852,1.11,0.00,208.83,-98.90,.313953,.000037
Yes,URS00025E3446_9606,64.00,0,1.313,1.08,4.75,1,875,-7.529,6.00,0.00,75.02,-39.40,.362204,.000060
Yes,URS000075DB8C_9606,40.00,0,4.141,1.16,.83,1,1625,-5.188,2.63,0.00,137.04,-37.60,.130434,.000056
Yes,URS00025EAAEC_9606,59.00,0,3.659,17.78,34.89,1,2436,-7.774,3.06,0.00,120.49,-55.20,.271794,.000102
Yes,URS00022AE7C0_9606,38.00,0,3.558,3.63,.47,1,1238,-5.945,5.41,0.00,151.84,-40.60,.227979,.000151
Yes,URS0000BC465A_9606,41.00,0,2.438,1.50,.35,1,239,-6.885,5.77,0.00,117.42,-32.00,.166666,.000035
Yes,URS0000BC44E7_9606,43.00,0,3.517,.11,.33,1,2133,-6.136,2.87,0.00,101.44,-17.80,.173469,.000018
Yes,URS0000BC43FD_9606,42.00,0.10467,6.148,.77,.09,2,809,-7.741,3.78,0.00,172.58,-176.40,.228663,.005067
Yes,URS000075B9B0_9606,42.00,0,3.195,.62,.37,1,436,-6.503,4.62,0.00,92.93,-12.50,.298850,.000383
Yes,URS0000BC4441_9606,50.00,0,8.669,.23,.13,1,1693,-6.781,4.66,-0.05,239.85,-162.80,.222648,.003479
Yes,URS0000D5B53B_9606,62.00,0,2.957,4.81,6.11,2,2856,-6.898,1.75,0.00,80.89,-108.90,.284172,.001633
Yes,URS0000BC4588_9606,35.00,0,2.499,.42,3.57,2,876,-5.317,8.88,0.00,111.25,-10.30,.131578,.000023
Yes,URS000075A32F_9606,50.00,0,8.667,6.00,1.04,1,1881,-6.903,5.01,0.00,187.40,-70.60,.263157,.000121
Yes,URS0000BC4572_9606,36.00,0,3.165,8.68,2.06,1700,623,-5.292,0.85,0.00,97.21,-25.50,.202380,.000051
Yes,URS0000759A5E_9606,65.00,0,6.96,5.28,14.52,1,2119,-7.955,1.15,0.00,83.38,-90.90,.356481,.000372
Yes,URS000075BD3C_9606,70.00,0,3.529,3.75,9.40,1,7867,-8.100,1.73,0.00,130.79,-82.90,.343137,.005450
Yes,URS00007E44BA_9606,35.00,0,0.319,.31,.12,1,1688,-5.197,5.82,-9.04,13.71,-30.20,.217391,.012824
Yes,URS0000BC4479_9606,38.00,0,3.392,.47,0,6,372,-9.113,4.08,0.00,129.90,-80.20,.245535,.000047
Yes,URS00025E9D43_9606,45.00,0.0170316,4.498,.17,.19,2,1701,-7.858,3.75,0.00,152.19,-104.80,.184914,.006176
Yes,URS000075C4CF_9606,56.00,0.0611621,8.13,1.77,3.27,8,2194,-9.133,0.91,0.00,80.15,-480.50,.250764,.000653
Yes,URS00022B374C_9606,43.00,0,7.933,1.17,.29,1,430,-5.969,3.05,0.00,132.58,-42.00,.203488,.000300
Yes,URS00007E3F30_9606,40.00,0.0434783,2.862,.77,.27,2780,568,-6.337,2.36,0.00,64.79,-49.40,.288043,.001610
Yes,URS00007E3714_9606,47.00,0.0252101,4.007,.13,.30,1,1691,-7.768,5.63,0.00,138.13,-64.50,.193277,.001163
Yes,URS000075D717_9606,48.00,0,3.447,1.08,3.00,1,4303,-7.615,5.23,0.00,106.46,-17.10,.304000,.009495
Yes,URS00007E486B_9606,60.00,0,8.899,9.56,10.89,1,1021,-7.886,4.84,0.00,167.13,-160.10,.331658,.004388
Yes,URS0000BC45C1_9606,54.00,0,8.903,51.90,143.27,2,2285,-7.225,9.62,0.00,97.88,-17.40,.189655,.000058
Yes,URS00007E3AAF_9606,39.00,0.10452,1.464,2.60,2.88,55,455,-7.580,3.94,0.00,60.68,-81.40,.937853,.006185
Yes,URS000075DFB4_9606,52.00,0,1.558,1.20,.23,4848,172,-8.466,18.84,-60.95,18.52,-125.20,.736720,.005575
Yes,URS0000A767CE_9606,47.00,0,3.938,4.75,3.53,20,732,-6.378,8.70,-178.54,NA,-74.70,.236749,.002098
Yes,URS0000A76C56_9606,56.00,0,8.763,1.89,3.21,1,3239,-8.091,3.98,0.00,154.25,-135.20,.232558,.010355
Yes,URS00008E3A53_9606,52.00,0,8.525,3.82,18.47,1,2244,-6.794,4.51,0.00,195.72,-45.90,.201117,.000098
Yes,URS0000BC4629_9606,53.00,0,7.336,3.46,2.32,1,1898,-8.202,3.97,0.00,159.59,-161.20,.283702,.005439
Yes,URS0000CCDFFE_9606,77.00,0.0889371,8.025,3.60,7.36,1,2657,-6.851,55.76,-0.67,105.79,-279.10,.308026,.000199
Yes,URS000075A153_9606,70.00,0,8.677,.92,1.76,1,2595,-8.855,25.71,-2.81,171.12,-258.80,.261180,.001699
Yes,URS0000ABD863_9606,61.00,0,3.092,4.77,6.00,1,3288,-5.302,3.15,0.00,95.24,-29.00,.242424,.000985
Yes,URS00022B5F5C_9606,64.00,0,8.46,15.11,9.88,2,2161,-8.007,5.11,0.00,175.52,-108.70,.371647,.000528
Yes,URS00026179B9_9606,55.00,0,6.262,.91,1.91,1,3621,-5.536,3.91,0.00,116.89,-42.20,.198412,.000111
Yes,URS0000ABD7E1_9606,51.00,0.423358,2.563,9.15,64.46,1,1776,-7.098,NA,0.00,91.56,-17.00,.226277,.000110
Yes,URS000075ACC9_9606,51.00,0,2.946,.14,.64,1,648,-7.980,5.37,0.00,93.03,-25.21,.167832,.000029
Yes,URS000075A942_9606,49.00,0,3.133,3.50,18.05,1,260,-6.959,2.27,0.00,123.39,-60.90,.186813,.001397
Yes,URS0000BC445D_9606,43.00,0,8.125,27.05,17.23,1,1782,-6.662,5.92,0.00,162.97,-33.50,.218390,.000160
Yes,URS00025F7C6D_9606,33.00,0,3.174,.44,1.72,1,2017,-7.341,1.97,0.00,143.53,-48.90,.221476,.000215
Yes,URS000075C630_9606,42.00,0,2.979,.75,.14,1,861,-6.126,5.10,0.00,97.98,-77.20,.225694,.000076
Yes,URS0000BC448B_9606,43.00,0,3.035,.31,.15,1,329,-7.054,4.15,0.00,187.76,-80.80,.231707,.000082
Yes,URS00007E4946_9606,53.00,0,4.884,2.81,5.62,1,2120,-7.176,1.90,0.00,120.63,-34.90,.302469,.005231
Yes,URS00007E3E18_9606,55.00,0.0548223,0.34,.78,.79,1191,1405,-8.436,17.76,-191.46,22.15,-380.00,.210152,.003094
Yes,URS000029FF6C_9606,74.00,0,3.203,.58,1.00,1,2413,-7.285,2.15,0.00,86.07,-57.60,.467741,.002049
Yes,URS00007E36BD_9606,59.00,0,0.58,1.12,.62,6680,370,-7.425,9.31,-39.85,23.34,-12.10,.304878,.001415
Yes,URS0000ABD817_9606,52.00,0,3.471,2.47,2.71,1,1680,-6.087,2.00,0.00,119.90,-69.10,.263636,.000256
Yes,URS00007E4C95_9606,58.00,0,0.582,1.44,.77,319536,194,-7.079,10.32,-26.88,20.98,-20.90,.423913,.000036
