Chromosome,Start,End,ID,Functional,chrm_acc_SumSignal,chrm_acc_MaxSignal,chrm_acc_MaxScaledSignal
chr1,30366,30503,RNA1,Yes,0,0,0
chr1,1167863,1167952,RNA2,Yes,33.1569,4.45776,4.45776
chr1,1169005,1169087,RNA3,Yes,59.5923,4.13394,4.13394
chr1,1304729,1304812,RNA4,Yes,1604.88,19.0847,7.35796
chr1,3560695,3560790,RNA5,Yes,288.286,9.94484,9.94484
chr1,8494800,8494913,RNA6,Yes,350.15,14.03666,14.0367
chr1,11908154,11908272,RNA7,Yes,11549.8,26.1991,22.1818
chr1,15542166,15542304,RNA8,Yes,21.914,3.07957,2.74771
chr1,16520585,16520658,RNA9,Yes,137.472,17.47212,17.4721
chr1,16532398,16532471,RNA10,Yes,14.746,5.66603,5.66603
chr1,16535279,16535350,RNA11,Yes,4413.59,19.42570,19.4257
chr1,16545939,16546009,RNA12,Yes,1080.28,21.84802,21.848
chr1,16678271,16678341,RNA13,Yes,2655.34,25.03583,25.0358
chr1,16680006,16680078,RNA14,Yes,0.369318,0.0991856,0.0991856
chr1,16725566,16725638,RNA15,Yes,505.027,8.74016,8.74016
chr1,16727285,16727355,RNA16,Yes,2296.36,22.77026,22.7703
chr1,16872583,16872654,RNA17,Yes,5272.62,21.71924,21.7192
chr1,16875463,16875536,RNA18,Yes,40.2897,5.40353,5.40353
chr1,16889677,16889750,RNA19,Yes,5883.2,24.76822,24.7682
chr1,28578743,28578822,RNA20,Yes,4.03755,1.63016,1.63016
chr1,28579764,28579893,RNA21,Yes,1.45386,0.566163,0.384137
chr1,28580381,28580512,RNA22,Yes,32.5634,3.57995,3.57995
chr1,28580920,28581053,RNA23,Yes,1008.2,23.14945,15.7812
chr1,30968163,30968237,RNA24,Yes,57.3725,13.72137,13.7214
chr1,36418448,36418578,RNA25,Yes,0,0,0
chr1,38089231,38089329,RNA26,Yes,81.4922,13.71458,13.7146
chr1,39567374,39567510,RNA27,Yes,53.4248,6.67277,6.67277
chr1,44670957,44671056,RNA28,Yes,9.20221,1.03714,0.869521
chr1,44721786,44721901,RNA29,Yes,6602.39,38.0126,23.0211
chr1,44731069,44731168,RNA30,Yes,10135.2,27.1337,18.0697
chr1,44762035,44762107,RNA31,Yes,26.78,3.57021,3.57021
chr1,44775865,44775938,RNA32,Yes,8099.95,22.11067,22.1107
chr1,44776492,44776589,RNA33,Yes,2740.23,18.02253,18.0225
chr1,44777842,44777912,RNA34,Yes,5.34593,3.96048,1.81051
chr1,54957869,54957941,RNA35,Yes,0.114233,0.13708,0.114233
chr1,66628440,66628517,RNA36,Yes,0,0,0
chr1,75787072,75787149,RNA37,Yes,3.79414,0.945357,0.945357
chr1,75787889,75787972,RNA38,Yes,0.949433,0.583786,0.583786
chr1,75789477,75789547,RNA39,Yes,17.0448,3.60476,3.60476
chr1,85133794,85133873,RNA40,Yes,74.6468,5.31469,5.31469
chr1,92837289,92837383,RNA41,Yes,5.45767,2.69522,2.23646
chr1,93516277,93516349,RNA42,Yes,48.0774,11.47959,11.4796
chr1,93846832,93846911,RNA43,Yes,4446,12.0385,11.7769
chr1,93847573,93847657,RNA44,Yes,16132.4,29.5199,26.6611
chr1,112882050,112882129,RNA45,Yes,532.349,15.87067,15.8707
chr1,120476852,120476923,RNA46,Yes,0,0,0
chr1,120844262,120844335,RNA47,Yes,2477.9,17.8307,17.8307
