Functional,GeneID,GC_percentage,lowComplexity_density,phyloP_max,RPKM_tissue,RPKM_primary-cell,copy_number,repeat_distance,Interaction_ave,coding_potential,RNAalifold_score,Max_covariance,MFE,SNP_density,MAF_avg
Yes,NM_001410709,65.00,0,8.622,3.25,3.16,1,3778,-6.874,35.19,0.00,121.49,-43.50,.341463,.000035
Yes,NM_017871,60.00,0,8.768,33.11,111.77,1,2102,-4.995,34.07,-0.44,57.82,-34.60,.193877,.000048
Yes,NM_001039211,50.00,0,8.664,4.00,9.28,3,908,-5.013,13.53,-0.08,95.03,-20.20,.350649,.000410
Yes,NM_024011,33.00,0,0,23.91,24.41,2,589,-5.729,NA,-274.20,NA,-17.10,.250000,.000007
Yes,NM_002744,60.00,0,8.69,29.00,41.41,1,1360,-5.692,26.94,0.00,104.73,-37.70,.303278,.000238
Yes,NM_001409,71.00,0,8.58,20.30,31.07,1,3942,-8.450,40.59,-8.45,82.68,-63.70,.348148,.000453
Yes,NM_001288,74.00,0,6.229,43.00,8.27,1,2207,-6.516,4.73,0.00,94.94,-55.40,.302521,.000130
Yes,NM_014704,57.00,0,8.886,12.66,34.00,1,726,-6.310,44.11,-1.08,117.40,-37.00,.259842,.000023
Yes,NM_015557,46.00,0.476562,8.617,19.25,1.08,1,1050,-5.955,27.66,-5.30,121.01,-22.90,.203125,.000041
Yes,NM_007262,46.00,0,8.9,90.72,312.63,3,1764,-5.579,11.05,0.00,176.29,-25.90,.548672,.000634
Yes,NM_001428,46.00,0,8.861,518.77,1453.66,2,447,-6.217,27.71,-12.98,76.87,-20.30,.191489,.000010
Yes,NM_001328,54.00,0,8.625,8.77,32.00,1,955,-5.557,2.35,0.00,124.11,-26.20,.142857,.006597
Yes,NM_004401,46.00,0,8.89,27.43,74.87,3,284,-5.591,30.06,-0.05,136.10,-37.60,.141975,.000154
Yes,NM_006610,66.00,0,7.963,31.59,.36,1,916,-8.413,54.08,-10.49,131.76,-80.80,.310043,.000248
Yes,NM_004753,59.00,0,8.867,91.71,487.85,1,566,-7.315,38.11,-3.61,45.72,-49.20,.222222,.004392
Yes,NM_001017999,62.00,0,8.88,14.78,20.63,1,1234,-7.138,25.08,-0.77,127.07,-78.40,.260416,.000048
Yes,NM_001018,62.00,0,8.88,14.78,20.63,1,1234,-7.138,25.08,-0.77,127.07,-78.40,.260416,.000048
